GenBank Accession #	Gene Name	Function	MCF/SOD (Fold)
L33264	cdc2-related kinase	cell cycle regulator	22
X59798	cyclin dl (bcl-1 oncogene)	cell cycle regulator	22
M34225	cytokeratin 8 (ck 8)	intermediate filament markers	26
Y09392	WSL-LR (Apo-3)	apoptosis	23
U69611	TNF-. converting enzyme	apoptosis	224
L07541	Activator-1 38 kd subunit (rfc38)	DNA damage response	28
M35410	IGFBP2	receptor	22
AF000974	zyxin related protein (zrp-1)	cell adhesion	27
U01134	vascular endothelial growth factor receptor 1 precursor	angiogenesis regulator	NA
U36223	fibroblast growth factor-8 (fgf-8)	growth factor	231
K02770	IL-1.	cytokines	233
