Accession no.	Description	Statistics
AA459364	TP53INP1: tumor protein p53 inducible nuclear protein 1	2.91
AA454079	SESN2: sestrin 2	2.36
AI688112	PUMA/BBC3: BCL2 binding component 3	2.34
T89996	FOSL1: FOS-like antigen 1	2.15
AA877845	LIMK2: LIM domain kinase 2	1.86
T89996	FOSL1: FOS-like antigen 1	1.76
AA679864	DLC1: deleted in liver cancer 1	1.41
AA977296	Clone IMAGE: 5314816, mRNA	1.4
N74524	TUBB5: tubulin, beta, 5	1.39
AA504246	ATP5H: ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d	1.34
H13257	FBXO22: F-box only protein 22	1.33
AA669637	PNRC1: proline-rich nuclear receptor coactivator 1	1.33
AA670330	C6orf49: chromosome 6 open reading frame 49	1.29
