Unigenecluster(build168)	Description	T-test1	5%perm2	GeneSymbol	ExemplarAccession
Hs.79404	DNA segment on chromosome 4 (unique) 234 expressed sequence	6.03	5.62	D4S234E	BE262478
Hs.8148	selenoprotein T	5.98	5.06	SELT	AL037800
Hs.145575	ubiquitin-like 3	5.9	4.88	UBL3	AA149707
Hs.277324	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)	5.52	4.67	GALNT1	U41514
Hs.433332	mitogen-activated protein kinase kinase 1 interacting protein 1	5.24	4.51	MAP2K1IP1	W23814
Hs.381430	Homo sapiens cDNA FLJ26252 fis, clone DMC03335	5.23	4.44	-	AA256641
Hs.439599	mannosidase, alpha, class 2A, member 1	4.95	4.39	MAN2A1	AI955579
Hs.438827	leucyl/cystinyl aminopeptidase	4.94	4.31	LNPEP	AW894856
Hs.396161	hypothetical protein FLJ21870	4.9	4.26	FLJ21870	BE176980
Hs.416495	chromosome 1 open reading frame 8	4.89	4.17	C1orf8	AW327695
Hs.55279	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 5	4.89	4.13	SERPINB5	W74001
Hs.131842	chromosome 6 open reading frame 133	4.87	4.08	C6orf133	AB002347
Hs.303154	iduronate 2-sulfatase (Hunter syndrome)	4.86	4.03	IDS	H14843
Hs.443943	KIAA0977 protein	4.86	4	KIAA0977	AB023194
Hs.93354	platelet-activating factor acetylhydrolase, isoform Ib, beta subunit 30kDa	4.82	3.97	PAFAH1B2	AW390601
Hs.408096	fragile X mental retardation, autosomal homolog 1	4.8	3.93	FXR1	AI815732
Hs.183435	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa	4.78	3.92	NDUFB1	AA535762
Hs.512642	necdin-like 2	4.77	3.9	NDNL2	AA356694
Hs.26704	cytoplasmic FMR1 interacting protein 1	4.72	3.86	CYFIP1	AW068349
Hs.439599	mannosidase, alpha, class 2A, member 1	4.71	3.84	MAN2A1	D63998
Hs.372571	muscleblind-like 2 (Drosophila)	4.65	3.82	MBNL2	N71848
Hs.438159	sortilin-related receptor, L(DLR class) A repeats-containing	4.65	3.82	SORL1	T51454
Hs.171262	ets variant gene 6 (TEL oncogene)	4.62	3.79	ETV6	AI301558
Hs.84087	KIAA0143 protein	4.62	3.78	KIAA0143	D63477
Hs.446476	succinate-CoA ligase, GDP-forming, beta subunit	4.61	3.74	SUCLG2	AV650537
Hs.446427	ornithine decarboxylase antizyme 1	4.61	3.74	OAZ1	BE299590
Hs.412707	hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)	4.6	3.7	HPRT1	BE548641
Hs.146180	hypothetical protein LOC161291	4.59	3.68	LOC161291	BE159718
Hs.438159	sortilin-related receptor, L(DLR class) A repeats-containing	4.57	3.66	SORL1	-
Hs.172028	a disintegrin and metalloproteinase domain 10	4.53	3.65	ADAM10	NM_001110
Hs.355983	basic leucine zipper and W2 domains 1 (BZW1)	4.47	3.63	BZW1	N89487
Hs.461178	eukaryotic translation initiation factor 1A, Y-linked	4.45	3.62	EIF1AY	AA321238
Hs.54642	methionine adenosyltransferase II, beta	4.43	3.59	MAT2B	AW966728
Hs.201085	poly(A) polymerase alpha	4.43	3.56	PAPOLA	BE539101
Hs.132955	BCL2/adenovirus E1B 19kDa interacting protein 3-like	4.37	3.56	BNIP3L	AL121317
Hs.28285	ring finger 139	4.37	3.54	RNF139	AF064801
Hs.6856	ash2 (absent, small, or homeotic)-like (Drosophila)	4.37	3.52	ASH2L	AW960782
Hs.271742	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)-like 3	4.36	3.52	ADPRTL3	W19144
Hs.349256	paired immunoglobin-like type 2 receptor beta	4.35	3.51	PILRB	AU077231
Hs.1420	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	4.34	3.5	FGFR3	AL119671
Hs.7037	pallidin homolog (mouse)	4.32	3.49	PLDN	AW340708
Hs.386802	hepatocellular carcinoma susceptibility protein	4.32	3.48	HCCA3	AF168712
Hs.13351	LanC lantibiotic synthetase component C-like 1 (bacterial)	4.31	3.46	LANCL1	NM_006055
Hs.495628	hypothetical protein MGC4248	4.29	3.45	MGC4248	AW410714
Hs.414362	cytochrome b5 reductase b5R.2	4.28	3.44	CYB5R2	AF169802
Hs.418581	FLJ20160 protein	4.28	3.43	FLJ20160	AW369278
Hs.198998	conserved helix-loop-helix ubiquitous kinase	4.28	3.42	CHUK	AF080157
Hs.31731	peroxiredoxin 5	4.27	3.41	PRDX5	AI805664
Hs.112694	CGI-18 protein	4.26	3.4	CGI-18	NM_015947
Hs.83532	membrane cofactor protein (CD46, trophoblast-lymphocyte cross-reactive antigen)	4.26	3.39	MCP	BE243982
Hs.438838	TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa	4.25	3.38	TAF7	AV649864
Hs.278896	UDP glycosyltransferase 1 family, polypeptide A6	4.23	3.37	UGT1A6	AV660038
Hs.101840	major histocompatibility complex, class I-related	4.23	3.37	MR1	AF010446
Hs.136295	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide, olfactory type	4.22	3.35	GNAL	AV647686
Hs.348514	Homo sapiens, clone IMAGE:4052238, mRNA, partial cds	4.21	3.35	-	AA037683
Hs.178470	hypothetical protein FLJ22662	4.21	3.34	FLJ22662	AW970786
Hs.35254	zinc finger CCCH type, antiviral 1	4.16	3.34	ZC3HAV1	AW580830
Hs.437606	HMG-box transcription factor 1	4.15	3.33	HBP1	AF019214
Hs.362974	hypothetical protein FKSG44	4.14	3.32	FKSG44	AW130242
Hs.272210	activating transcription factor 7 interacting protein	4.13	3.31	ATF7IP	AI873871
Hs.96996	heterogeneous nuclear ribonucleoprotein A0	4.1	3.3	HNRPA0	BE386038
Hs.16886	clone IMAGE:3352913, mRNA	4.09	3.29	-	AA053601
Hs.445264	hypothetical protein BC004507	4.09	3.29	LOC90313	AL133649
Hs.440961	calpastatin	4.08	3.28	CAST	D16217
Hs.24758	zinc finger protein 36 (KOX 18)	4.06	3.28	ZNF36	AI167810
Hs.438159	sortilin-related receptor, L(DLR class) A repeats-containing	4.06	3.27	SORL1	-
Hs.136309	SH3-domain GRB2-like endophilin B1	4.05	3.27	SH3GLB1	AA164516
Hs.434283	hypothetical protein MGC14276	4.04	3.27	MGC14276	AA774247
Hs.226581	COX15 homolog, cytochrome c oxidase assembly protein (yeast)	4.04	3.24	COX15	NM_004376
Hs.146668	tumor differentially expressed 2	4.02	3.24	TDE2	AI929568
Hs.94896	transmembrane protein 14A	3.99	3.22	TMEM14A	NM_014051
Hs.77542	Homo sapiens transcribed sequence with weak similarity to protein ref:NP_071385.1 (H.sapiens) hypothetical protein FLJ20958 [Homo sapiens]	3.98	3.21	-	AI458213
Hs.509050	tetraspanin similar to TM4SF9	3.97	3.21	DC-TM4F2	AI751157
Hs.454528	vacuolar protein sorting 35 (yeast)	3.96	3.21	VPS35	AF175265
Hs.356190	ubiquitin B	3.96	3.19	UBB	BE300110
Hs.412597	desmoglein 2	3.95	3.19	DSG2	Z26317
Hs.9343	KIAA1999 protein	3.94	3.18	KIAA1999	BE536739
Hs.167700	MAD, mothers against decapentaplegic homolog 5 (Drosophila)	3.92	3.17	MADH5	AA373452
Hs.356076	baculoviral IAP repeat-containing 4	3.92	3.17	BIRC4	H09548
Hs.438904	retinoic acid induced 1	3.92	3.16	RAI1	AL132665
Hs.104640	HIV-1 inducer of short transcripts binding protein	3.91	3.15	FBI1	AF000561
Hs.46366	zinc finger protein 91 homolog (mouse)	3.91	3.14	ZFP91	AL045404
Hs.79187	coxsackie virus and adenovirus receptor	3.9	3.13	CXADR	N34895
Hs.438159	sortilin-related receptor, L(DLR class) A repeats-containing	3.9	3.13	SORL1	-
Hs.20950	phospholysine phosphohistidine inorganic pyrophosphate phosphatase	3.89	3.12	LHPP	AA379353
Hs.318603	myristoylated alanine-rich protein kinase C substrate	3.88	3.12	MARCKS	C15105
Hs.166994	FAT tumor suppressor homolog 1 (Drosophila)	3.86	3.11	FAT	X87241
Hs.278411	NCK-associated protein 1	3.86	3.1	NCKAP1	AI479813
Hs.422340	sorcin	3.85	3.1	SRI	R20909
Hs.13500	cDNA FLJ31593 fis, clone NT2RI2002481	3.83	3.09	-	AW613780
Hs.360026	baculoviral IAP repeat-containing 6 (apollon)	3.83	3.08	BIRC6	AF265555
Hs.349109	insulin-like growth factor 2 (somatomedin A)	3.83	3.08	IGF2	-
Hs.180479	chromosome 20 open reading frame 42	3.82	3.08	C20orf42	AK000123
Hs.438159	sortilin-related receptor, L(DLR class) A repeats-containing	3.82	3.08	SORL1	-
Hs.293970	aldehyde dehydrogenase 6 family, member A1	3.81	3.07	ALDH6A1	BE297886
Hs.438970	likely ortholog of mouse IRA1 protein	3.81	3.06	IRA1	AW263124
Hs.442669	glutamate-ammonia ligase (glutamine synthase)	3.8	3.06	GLUL	W23184
Hs.21356	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1	3.79	3.06	SMARCAD1	AB032948
Hs.108923	RAB38, member RAS oncogene family	3.79	3.06	RAB38	N20169
Hs.373588	PDZ domain containing guanine nucleotide exchange factor (GEF) 1	3.77	3.05	PDZGEF1	NM_014247
Hs.106415	peroxisome proliferative activated receptor, delta	5.76	5.5	PPARD	AA721217
Hs.442658	aurora kinase B	5.41	5.03	AURKB	AW411425
