Probe ID	Gene description	D(i)	SD	P	Q	Fold changec
213456_at	Sclerostin domain-containing 1	-7.2	0.5	0	0	33.4
201539_s_at	Four and a half LIM domains 1	-10.9	0.3	0	0	14.8
204304_s_at	Prominin 1	-8	0.6	0	0	14.4
210298_x_at	Four and a half LIM domains 1	-9.9	0.4	0	0	14.3
214505_s_at	Four and a half LIM domains 1	-11.3	0.3	0	0	12.1
210299_s_at	Four and a half LIM domains 1	-8.1	0.5	0	0	10.6
209016_s_at	Keratin 7	-6.9	0.5	0	0	8.4
205597_at	Chromosome 6 open reading frame 29	-11.4	0.3	0	0	8.3
232151_at	mRNA full-length insert cDNA clone EUROIMAGE 2344436	-9.2	0.4	0	0	8
1566764_at	mRNA full-length insert cDNA clone EUROIMAGE 2344436	-8	0.4	0	0	7.5
1553809_a_at	Chromosome 9 open reading frame 71	-6.9	0.3	0	0	6.5
1566766_a_at	mRNA full-length insert cDNA clone EUROIMAGE 2344436	-10	0.3	0	0	6
224027_at	Chemokine (C-C motif) ligand 28	-7.2	0.3	0	0	5.7
1555203_s_at	Chromosome 6 open reading frame 29	-9.7	0.2	0	0	5.3
238184_at	Transcribed sequences	-9.4	0.2	0	0	4.8
202820_at	Aryl hydrocarbon receptor	-7.2	0.3	0	0	4.2
202790_at	Claudin 7	-9.1	0.2	0	0	4
222764_at	Asparaginase-like 1	-8.1	0.2	0	0	3.9
219127_at	Hypothetical protein MGC11242	-7.5	0.2	0	0	3.6
218857_s_at	Asparaginase-like 1	-9	0.2	0	0	3.5
229084_at	Contactin 4	-6.9	0.2	0	0	3.4
219614_s_at	Solute carrier family 6 (neurotransmitter transporter), member 20	-10.1	0.2	0	0	3.2
210398_x_at	Fucosyltransferase 6 [a(1,3) fucosyltransferase]	-8.3	0.2	0	0	3.1
205405_at	Semaphorin 5A	-7.3	0.2	0	0	3
1559361_at	mRNA full-length insert cDNA clone EUROIMAGE 2344436	-8.2	0.2	0	0	2.8
203365_s_at	Matrix metalloproteinase 15 (membrane-inserted)	-10	0.1	0	0	2.6
229144_at	KIAA1026 protein	-7.9	0.2	0	0	2.4
211110_s_at	Androgen receptor	-6.9	0.2	0	0	2.3
223636_at	Zinc finger, MYND domain-containing 12	-7.5	0.1	0	0	2.2
231022_at	Transcribed sequences	-7	0.2	0	0	2.2
221665_s_at	EPS8-like 1	-8	0.1	0	0	2.1
235937_at	Occluding	-7.1	0.1	0	0	2.1
217795_s_at	Hypothetical protein MGC3222	-7.5	0.1	0	0	2.1
211621_at	Androgen receptor	-7.3	0.1	0	0	2.1
210399_x_at	Fucosyltransferase 6 [a(1,3) fucosyltransferase]	-7.1	0.1	0	0	2
202005_at	Suppression of tumorigenicity 14 (colon carcinoma, matriptase, epithin)	-7.1	0.1	0	0	1.9
243225_at	Hypothetical protein LOC283481	-7.2	0.1	0	0	1.9
91826_at	EPS8-like 1	-8.2	0.1	0	0	1.7
218779_x_at	EPS8-like 1	-7.5	0.1	0	0	1.7
205977_s_at	EphA1	-9.1	0.1	0	0	1.6
235293_at	cDNA FLJ45593 fis, clone BRTHA3014920	-7.5	0.1	0	0	1.6
238028_at	Similar to hypothetical protein BC006605 (LOC389389), mRNA	-7.9	0.1	0	0	1.6
221655_x_at	EPS8-like 1	-7.2	0.1	0	0	1.5
236058_at	Hypothetical protein FLJ34633	-8.8	0.1	0	0	1.5
225778_at	RNA binding motif, single-stranded interacting protein 2	-6.9	0.1	0	0	1.5
223724_s_at	DKFZp434A0131 protein	-6.9	0.1	0	0	1.5
230111_at	Transcribed sequence with moderate similarity to protein ref:NP_308425.1	-7.4	0.1	0	0	1.5
226095_s_at	Hypothetical protein LOC146517	-7.3	0.1	0	0	1.4
239812_s_at	Hypothetical protein FLJ12476	-8.1	0.1	0	0	1.4
238318_at	Transcribed sequences	-7.1	0	0	0	1.2
