Spotnr	GenBank_Acc	GENE_SYMBOL	UniGene_Hs	LNCaP_2h	LNCaP_4h	LNCaP_6h	LNCaP_8h
239	AA130591	CXorf15	Hs.534464	-0.12	-0.2	-0.95	-0.21
1829	W72965	LIAS	Hs.439430	0.24	-0.11	-0.24	-0.8
16305	H13688	GALNT3	Hs.170986	-0.19	-0.18	-0.37	-1.09
13369	R28608	MAPRE2	Hs.532824	-0.11	-0.05	-0.2	-0.85
14726	AA709036	RGS10	Hs.501200	-0.1	-0.29	-0.29	-0.73
1687	AA131299	CaMKIINalpha	Hs.197922	0.23	-0.22	-0.55	-0.82
16480	R54193	TRPS1	Hs.253594	0.19	-0.38	-0.76	-1.18
4293	N53380	PRKD1	Hs.508999	0.17	-0.31	-0.76	-1.1
18359	H90287	UTX	Hs.522616	0.18	-0.47	-0.68	-0.86
8350	AA454146	CCNH	Hs.146607	-0.06	-0.53	-0.56	-1.01
18428	N50684	DGKH	Hs.527910	0.12	-0.8	-0.87	-1.71
10504	T95268	DNAJC12	Hs.260720	0.04	-0.3	-0.5	-0.89
1948	R54050	PIK3R1	Hs.132225	0.04	-0.47	-0.67	-1.02
8182	R33037		Hs.539704	-0.07	-0.29	-0.61	-1.03
349	W15297	RALB	Hs.469820	-0.06	-0.27	-0.62	-1.01
17263	AA455120	C7orf11	Hs.129159	-0.07	-0.08	-0.45	-0.73
16237	R43205	C6orf216	Hs.229414	-0.07	-0.54	-1.23	-1.52
5263	AA022684	C18orf4	Hs.124673	-0.06	-0.46	-0.96	-1.17
18338	AA678295	BARD1	Hs.54089	-0.13	-0.47	-1.28	-1.49
14072	N69084	KIAA1466	Hs.147710	-0.16	-0.5	-1.12	-1.34
9314	AA521439	SYTL2	Hs.369520	-0.14	-0.28	-0.87	-1.1
1692	N50895		Hs.535319	-0.15	-0.36	-1.05	-0.94
16767	AA405562	PPP4C	Hs.534338	-0.06	-0.36	-0.75	-0.7
2063	AA025268	CENTB5	Hs.535257	-0.07	-0.48	-1.06	-1.05
8173	R20728		Hs.445581	0	-0.48	-1.18	-1.25
15590	N53172	CMKOR1	Hs.471751	0.06	-0.15	-0.89	-1.15
2423	N49198	MANEA	Hs.533323	0.09	-0.3	-0.9	-1.14
3053	AA176867	LRRN1	Hs.163244	0.06	-0.28	-1.05	-1.44
17990	AA037014	SLCO2A1	Hs.518270	0.04	-0.24	-0.75	-1.03
5318	AA598640	MID1	Hs.27695	0.11	-0.43	-1.4	-1.85
10056	R41565		Hs.21925	0.05	-0.6	-1.6	-1.88
3329	H17022	MYRIP	Hs.371395	0.08	-0.5	-1.43	-1.73
13713	AA292086	MGC50853	Hs.460208	0.01	-0.16	-0.64	-0.72
8332	AA262804	ATP2B1	Hs.506276	0.21	-0.31	-0.97	-1.11
7080	AI340932	GENX-3414	Hs.109590	0.1	-0.24	-0.77	-0.67
5901	H29064	SRGAP3	Hs.475364	0.19	-0.25	-0.56	-0.55
4261	AA448856	PEG3	Hs.201776	-0.05	-0.38	-0.68	-0.6
13567	AA598795	PPP2R2A	Hs.146339	-0.06	-0.49	-0.78	-0.64
11704	R00226	EGLN3	Hs.135507	-0.1	-0.73	-1.05	-0.99
6387	N49284	MYB	Hs.531941	-0.13	-0.57	-0.84	-0.73
18978	NM_021955	GNGT1	Hs.73112	-0.03	-0.67	-0.96	-1
14090	AA962541	SIAT4A	Hs.374257	-0.01	-0.47	-1	-0.79
1934	W68396	SNRK	Hs.476052	-0.39	-0.51	-0.8	-1.17
6114	AA520999	CCNE2	Hs.408658	-0.14	-0.4	-0.68	-0.63
4257	AI674491	KCNG1	Hs.118695	-0.14	-0.43	-0.67	-0.69
2773	AA451716	NFKB1	Hs.431926	-0.28	-0.74	-0.99	-1.14
1973	AA485677	TRIP6	Hs.534360	-0.31	-0.7	-0.98	-1.11
16463	N92764		Hs.386162	-0.28	-0.55	-0.86	-1.13
13691	AA459364	TP53INP1	Hs.492261	-0.18	-0.48	-0.9	-1.05
7252	R42780	MARLIN1	Hs.479066	-0.11	-0.4	-0.65	-0.86
8483	AA164494	ZF	Hs.321022	-0.08	-0.58	-0.61	-0.6
4792	R51580	NDN	Hs.50130	-0.16	-0.74	-0.67	-0.74
484	AA455456	TNPO3	Hs.193613	-0.17	-0.34	-0.78	-0.55
113	H62414	C14orf4	Hs.179260	-0.19	-0.44	-1.15	-0.77
16915	AA405751	RNF19	Hs.292882	-0.39	-0.21	-0.79	-1.03
13998	AA489647	CCNG2	Hs.13291	-0.63	-0.59	-0.69	-0.82
11012	R32406	GATA2	Hs.367725	-0.77	-0.76	-0.57	-0.68
6762	AA434373	ELF3	Hs.67928	-0.71	-0.69	-0.43	-0.85
9441	AI140863	EDN2	Hs.1407	-0.47	-0.69	-0.55	-0.41
18299	AA482119	ID3	Hs.76884	-0.64	-0.66	-0.4	-0.19
