Symbol	Name	AC	Function group
G1P2	Interferon, alpha-inducible protein (clone IFI-15K)	AA406020	cell-cell signaling
11-Sep	Septin 11	AA463454	cel cycle
AMACR	Alpha-methylacyl-CoA racemase	AA453310	metabolism
KIF22	Kinesin family member 22	AA430503	mitosis
NOL8	Nucleolar protein 8	N63102	nucleolar
DHFR	Dihydrofolate reductase	AA682438	nucleotide biosynthesis
SIM2	Single-minded homolog 2 (Drosophila)	AA983560	proliferation
MGC13170	Multidrug resistance-related protein	AA430409	unknown
USP47	Ubiquitin specific protease 47	H63090	unknown
C15orf23	Chromosome 15 open reading frame 23	T91225	unknown
TWISTNB	TWIST neighbor	AI080141	unknown
