GeneBank ID	Gene description	Fold change AT1 4 h	Fold change AT1 12 h	Fold change CA1a 4 h	Fold change CA1a 12 h	Function
 NM_000711	Bone gamma-carboxyglutamate (gla) protein (osteocalcin) (BGLAP)	1.7	7	1.1	2.1	Vitamin D, bone, calcium metabolism
 NM_001740	Calbindin 2, 29 kDa (calretinin)	1.5	3.7	1.1	1.4	Vitamin D, bone, calcium metabolism
 AI093569	Calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma	2	2	1.5	2	Vitamin D, bone, calcium metabolism
 NM_001216	Carbonic anhydrase IX	-1.3	3.5	1.2	3.5	Vitamin D, bone, calcium metabolism
 NM_000782	Cytochrome P450 family 24, subfamily A, polypeptide 1	194	724	104	588	Vitamin D, bone, calcium metabolism
 D12620	Cytochrome P450 family 4, subfamily F, polypeptide 3	4	10.6	1.5	2	Vitamin D, bone, calcium metabolism
 NM_019885	Cytochrome P450, family 26, subfamily B, polypeptide 1	4.9	5.7	2.8	9.8	Vitamin D, bone, calcium metabolism
 NM_002963	S100 calcium binding protein A7 (psoriasin 1)	13	34.3	1.3	4.9	Vitamin D, bone, calcium metabolism
 NM_003330	Thioredoxin reductase 1	2	2.8	1.5	1.5	Vitamin D, bone, calcium metabolism
 AI023317	Thyroid hormone receptor associated protein 4	2.1	3.2	1.2	1.5	Vitamin D, bone, calcium metabolism
 NM_022977	Acyl-CoA synthetase long-chain family member 4	1.9	3.5	1.4	1.3	Lipid metabolism
 AL512760	Fatty acid desaturase 1	1.1	2.1	1.2	2	Lipid metabolism
 NM_003645	Soluble carrier family 27 (fatty acid transporter), member 2	1.1	1.9	-1.1	2	Lipid metabolism
 NM_003474	A disintegrin and metalloproteinase domain 12 (meltrin a)	1.1	2.6	1.3	2	Cell adhesion, extracellular matrix, cytoskeleton
 NM_001856	Collagen, type XVI, a1	2.3	3.7	1.5	3	Cell adhesion, extracellular matrix, cytoskeleton
 AF061812	Keratin 16 (focal non-epidermolytic palmoplantar keratoderma)	1.7	3	1.4	3.7	Cell adhesion, extracellular matrix, cytoskeleton
 L25541	Laminin b3	2.1	2	2.1	2.8	Cell adhesion, extracellular matrix, cytoskeleton
 NM_003461	Zyxin	1.9	2.1	1.6	2	Cell adhesion, extracellular matrix, cytoskeleton
 NM_001945	Diphtheria toxin receptor	2	2.5	1.5	2.3	Cell proliferation, apoptosis, signal transduction
 N36770	Dual specificity phosphatase 10	6.5	8	4.3	7.5	Cell proliferation, apoptosis, signal transduction
 NM_024530	FOS-like antigen 2	2.8	2.3	2.1	2.1	Cell proliferation, apoptosis, signal transduction
 NM_005308	G protein-coupled receptor kinase 5	2.1	6.1	1.4	3.5	Cell proliferation, apoptosis, signal transduction
