ProbeID	Description	GeneBank/RefSeq Id
A_23_P7451		X12795
A_23_P59208	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	U03106
A_23_P105212	Homo sapiens, thyroid hormone responsive (SPOT14 homolog, rat), clone MGC:21659 IMAGE:4745757, mRNA, complete cds B	C031989
A_23_P14083	amphoterin induced gene 2	NM_181847
A_23_P18123	neuroligin 1	NM_014932
A_23_P212089	molecule possessing ankyrin repeats induced by lipopolysaccharide (MAIL), homolog of mouse	NM_031419
A_23_P14734	ribosomal protein S27-like	NM_015920
A_23_P152505	NPD009 protein	NM_020686
A_23_P136775	apolipoprotein D B	C007402
A_23_P62620	chloride channel, calcium activated, family member 2 A	B026833
A_23_P121795	Arg/Abl-interacting protein ArgBP2	NM_021069
A_23_P103601	mannosidase, alpha, class 1C, member 1	NM_020379
A_23_P57779	claudin 1 A	F101051
A_23_P107356	death effector filament-forming Ced-4-like apoptosis protein A	F217966
A_23_P251151	NEL-like 1 (chicken)	NM_006157
A_23_P20223	ribonucleotide reductase M2 B (TP53 inducible) A	L137348
A_23_P257296	trefoil factor 3 (intestinal) B	C017859
A_23_P3361	furin (paired basic amino acid cleaving enzyme)	X17094
A_23_P1461	optineurin	NM_021980
A_23_P257219	chemokine (C-X-C motif) ligand 3 B	C016308
A_23_P13364	nucleobindin 2	NM_005013
A_23_P214066	GTPase regulator associated with focal adhesion kinase pp125(FAK)	NM_015071
A_23_P31677	Homo sapiens LOC347076 (LOC347076), mRNA A	K074467
A_23_P151956	carbonic anhydrase XII B	C023981
A_23_P32577	dachshund homolog (Drosophila)	NM_080759
A_23_P43846	fatty acid binding protein 6, ileal (gastrotropin)	NM_001445
A_23_P158257	double homeobox, 1	NM_012148
A_23_P20905	3-oxoacid CoA transferase B	C009001
A_23_P82449	deafness, autosomal dominant 5	NM_004403
A_23_P218111	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1 B	C011991
A_23_P128447	hypothetical protein DKFZp434H2111 A	L834529
A_23_P144326	ankyrin repeat and SOCS box-containing 5	NM_080874
A_23_P166508	OLIGO
A_23_P152465	ATP-binding cassette, sub-family C (CFTR/MRP), member 12 A	Y040220
