Probe Set	Accession	Gene Symbol	FC:(D vs L)	pfp	Increase	Decrease
214130_s_at	AI821791	PDE4DIP	3,234153	0,005	6	1
229431_at	AI742868	RFXAP	3,07787	0,0044	6	1
229732_at	AI417785	HSZFP36	3,027551	0,0067	6	0
220419_s_at	NM_013396	USP25	2,857959	0,0145	6	1
206157_at	NM_002852	PTX3	2,828054	0,01	7	2
201735_s_at	NM_001829	CLCN3	2,826456	0,0073	6	2
220177_s_at	NM_024022	TMPRSS3	2,806624	0,0045	6	1
218514_at	NM_018149	FLJ10587	2,759382	0,0144	7	1
211081_s_at	Z25426	MAP4K5	2,720348	0,016	7	1
218431_at	NM_022067	C14orf133	2,688895	0,0194	7	0
235352_at	AI270356	---	2,665245	0,0145	6	0
1552622_s_at	BQ613856	POLR2J2	2,659574	0,0046	6	0
210942_s_at	AB022918	ST3GAL6	2,621232	0,0169	6	0
219857_at	NM_024889	C10orf81	2,615747	0,0152	6	0
218824_at	NM_018215	FLJ10781	2,546473	0,0207	6	2
216733_s_at	X86401	GATM	2,51004	0,0211	6	0
219543_at	NM_022129	MAWBP	2,436054	0,0412	6	1
208092_s_at	NM_030797	FAM49A	2,416626	0,0248	6	1
226416_at	AL137679	THEX1	2,413127	0,0415	7	0
203397_s_at	BF063271	GALNT3	2,411382	0,0154	6	1
224027_at	AF110384	CCL28	2,380952	0,0143	7	0
244872_at	BE514107	SYNC1	2,359604	0,0429	6	1
226231_at	AI189509	PAWR	2,355713	0,0349	7	0
225338_at	AI767447	ZYG11B	2,352941	0,0226	6	0
1563498_s_at	AK090434	LOC283130	2,334267	0,0356	6	0
213858_at	BE350026	ZNF250	2,333178	0,0425	6	0
219397_at	NM_025147	FLJ13448	2,311604	0,0479	6	1
243729_at	AI457984	---	2,276867	0,0383	6	0
231984_at	BE958291	MTAP	2,2553	0,0706	6	2
214739_at	AI357539	LRCH3	2,244669	0,0559	6	0
235142_at	AW006067	ZBTB8	2,225189	0,0152	7	1
214129_at	AI821791	PDE4DIP	2,222222	0,0438	6	0
1558922_at	CA776505	TIA1	2,212389	0,043	6	1
222163_s_at	BE890973	SPATA5L1	2,164502	0,0346	7	2
215136_s_at	AL050353	EXOSC8	2,138123	0,071	7	0
218685_s_at	NM_014311	SMUG1	2,133561	0,0648	6	0
1557270_at	AA632049	---	2,131742	0,0597	6	2
234295_at	AK000116	DBR1	2,115059	0,0832	6	0
225288_at	AI949136	COL27A1	2,110595	0,0437	7	0
202768_at	NM_006732	FOSB	2,103934	0,033	6	0
203790_s_at	N54448	HRSP12	2,093364	0,0654	6	0
202250_s_at	NM_015726	WDR42A	2,091175	0,092	6	0
228111_s_at	AI004779	DNAH1	2,086811	0,0597	6	1
232165_at	AL137725	EPPK1	2,086376	0,0485	7	0
218486_at	AA149594	KLF11	2,083767	0,0482	6	1
202672_s_at	NM_001674	ATF3	2,081165	0,0443	6	0
215794_x_at	AC_006144	GLUD2	2,079434	0,0581	6	0
36711_at	AL021977	MAFF	2,076412	0,0267	7	1
1568807_a_at	AI301081	NDFIP2	2,075981	0,023	6	1
226924_at	AI016355	LOC400657	2,062706	0,0728	6	0
226426_at	BG149849	ADNP	2,057613	0,0564	6	0
213680_at	AI831452	KRT6B	2,04876	0,0217	8	0
229119_s_at	BG108034	TTC19	2,04876	0,0703	6	1
230098_at	AW612407	PHF20L1	2,024291	0,0629	6	2
213243_at	AI052003	VPS13B	2,023472	0,0626	6	1
242268_at	BE157991	CUGBP2	2,020202	0,0281	6	2
222196_at	AK000470	LOC286434	2,018978	0,0567	6	0
1552625_a_at	AB063105	TRNT1	2,015723	0,0865	6	1
212338_at	AA621962	MYO1D	2,011263	0,0412	6	1
225040_s_at	AV699857	RPE	1,990842	0,0982	6	1
203625_x_at	BG105365	SKP2	1,970443	0,0916	6	1
213056_at	AU145019	FRMD4B	1,969667	0,0229	6	1
227025_at	BG284497	PPHLN1	1,949318	0,083	7	3
216248_s_at	S77154	NR4A2	1,94439	0,0439	6	1
237839_at	BF433975	ANK3	1,94439	0,0589	6	1
823_at	U84487	CX3CL1	1,925298	0,0909	9	0
222450_at	AL035541	TMEPAI	1,905125	0,065	6	0
211686_s_at	AF251062	RBM13	1,90295	0,0981	6	1
212277_at	AB014547	MTMR4	1,893581	0,0887	6	1
226350_at	AU155565	CHML	1,889645	0,0614	6	1
218963_s_at	NM_015515	KRT23	1,849112	0,0598	7	0
235451_at	AI439752	SMAD5	1,78731	0,0805	7	2
205044_at	NM_014211	GABRP	1,77841	0,0435	6	1
49452_at	AI057637	ACACB	1,765537	0,0896	8	0
232752_at	AK001164	LOXL1	1,377221	0,0959	6	1
211896_s_at	AF138302	DCN	-2,0018	0,0947	1	7
207117_at	NM_015852	H-plk	-2,4041	0,0885	1	6
202975_s_at	N21138	RHOBTB3	-2,4576	0,0963	1	7
203264_s_at	NM_015185	ARHGEF9	-2,5587	0,0907	0	6
209890_at	AF065389	TSPAN5	-2,5798	0,0344	0	7
212650_at	BF116032	EHBP1	-2,6373	0,0333	0	6
226760_at	BF666325	LOC203411	-3,0264	0,02	2	6
