ID	SYMBOL	DESCRIPTION	UNIGENE (189)	IMAGE ID	GENBANK	Fold Change	localfdr(%)
HSI182A05	TFF1	Trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)	Hs.162807	5186922	BI765761	0.26	0.09
HSI054D07	HBB	Hemoglobin, beta	Hs.523443	294714	BX097754	0.31	0.00
HSI047B01	PDZK1	PDZ domain containing 1	Hs.444751	248651	BX096667	0.35	0.00
HSI035H02	CYP2B6	Cytochrome P450, family 2, subfamily B, polypeptide 6	Hs.1360	182295	BX111410	0.41	0.04
HSI075H09	AGR2	Anterior gradient 2 homolog (Xenopus laevis)	Hs.530009	760230	BX095683	0.41	0.08
HSI031E07	STARD10	START domain containing 10	Hs.188606	50607	BX089281	0.42	0.00
HSI183G10	TFF3	Trefoil factor 3 (intestinal)	Hs.82961	298417	N74131	0.43	0.00
HSI147F09	ZBTB20	Zinc finger and BTB domain containing 20	Hs.570657	247709	BX104036	0.45	0.00
HSI182A08	STC2	Stanniocalcin 2	Hs.233160	3347440	BE274022	0.47	0.00
HSI147F08	KTN1	Kinectin 1 (kinesin receptor)	Hs.509414	246684	BX100210	0.47	0.00
HSI059H10	LOC143381	Hypothetical protein LOC143381	Hs.388347	322210	BX106828	0.47	0.00
HSI147F10	MSI2	Musashi homolog 2 (Drosophila)	Hs.134470	247168	BX093299	0.49	0.00
HSI177G07	EST	Transcribed locus	Hs.443277	1755598	BX107597	0.50	0.10
HSI053H02	UBE2C	Ubiquitin-conjugating enzyme E2C	Hs.93002	295286	BX097753	0.52	0.10
HSI096C06	MAPT	Microtubule-associated protein tau	Hs.101174	2340088	BX097824	0.52	0.00
HSI049A02	ERGIC1	Endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1	Hs.509163	266369	BX089405	0.53	0.09
HSI040C08	AZGP1	Alpha-2-glycoprotein 1, zinc	Hs.546239	208869	BX109131	0.55	0.00
HSI133F06	EST	Transcribed locus	Hs.159264	49567	BX092674	0.55	0.00
HSI182E08	PLAT	Plasminogen activator, tissue	Hs.491582	813841	AA447797	0.55	0.00
HSI033B05	LY6E	Lymphocyte antigen 6 complex, locus E	Hs.521903	51654	BX117765	0.56	0.00
HSI048F12	CCND1	Cyclin D1	Hs.523852	268927	BX089544	0.56	0.10
HSI085G12	KCNK15	Potassium channel, subfamily K, member 15	Hs.528664	1566658	BX106604	0.57	0.00
HSI177H07	PCBP3	Poly(rC) binding protein 3	Hs.474049	1754544	BX108626	0.57	0.10
HSI032D02	ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3	Hs.26630	52741	BX101771	0.57	0.00
HSI182A02	TFF3	Trefoil factor 3 (intestinal)	Hs.82961	298417	N74131	0.58	0.04
HSI025A03	FGD3	FYVE, RhoGEF and PH domain containing 3	Hs.411081	146897	BX111118	0.58	0.00
HSI070B06	AP1S1	Adaptor-related protein complex 1, sigma 1 subunit	Hs.489365	725768	BX115238	0.58	0.08
HSI057H12	GNB2	Guanine nucleotide binding protein (G protein), beta polypeptide 2	Hs.185172	308856	BX117548	0.58	0.00
HSI080H11	SEMA3F	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F	Hs.32981	809526	BX092687	0.59	0.00
HSI054G06	NUSAP1	Nucleolar and spindle associated protein 1	Hs.511093	299485	BX100702	0.59	0.00
HSI124D07	RIMS4	Regulating synaptic membrane exocytosis 4	Hs.517065	43027	BX090258	0.59	0.00
HSI065C09	CNNM2	Cyclin M2	Hs.500903	417445	BX113753	0.59	0.00
HSI080F02	PREX1	Phosphatidylinositol 3,4,5-trisphosphate-dependent RAC exchanger 1	Hs.153310	813668	BX116692	0.59	0.00
HSI095H09	C6orf97	Chromosome 6 open reading frame 97	Hs.130239	1637829	BX101711	0.59	0.00
HSI161G02	EST	Transcribed locus	Hs.570637	731616	BX112219	0.60	0.00
HSI045G02	UBE2T	Ubiquitin-conjugating enzyme E2T (putative)	Hs.5199	245431	BX091236	0.60	0.00
HSI046F10	TOP2A	Topoisomerase (DNA) II alpha 170kDa	Hs.156346	258953	BX099176	0.60	0.00
HSI183D04	AR	Androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	Hs.496240	954356	AA524966	0.61	0.01
HSI183A08	SLC9A3R1	Solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1	Hs.396783	773286	AA425299	0.61	0.00
HSI025G02	SHARPIN	SHANK-associated RH domain interactor	Hs.529755	153209	BX090986	0.61	0.08
HSI037G07	ZNF703	Zinc finger protein 703	Hs.288042	200137	BX118622	0.61	0.00
HSI021E01	KIAA0101	KIAA0101	Hs.81892	136876	BX094416	0.61	0.03
HSI090B08	AFF3	AF4/FMR2 family, member 3	Hs.444414	1742468	BX107035	0.61	0.00
HSI028G02	ELOVL2	Elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2	Hs.408557	44387	CR741246	0.62	0.00
HSI021F02	EML2	Echinoderm microtubule associated protein like 2	Hs.24178	134523	BX092868	0.62	0.00
HSI002H12	CRADD	CASP2 and RIPK1 domain containing adaptor with death domain	Hs.38533	24032	BX090696	0.62	0.00
HSI117D03	LOC130940	Hypothetical protein BC015395	Hs.100743	122852	BX114659	0.63	0.00
HSI048H12	TIMM17B	Translocase of inner mitochondrial membrane 17 homolog B (yeast)	Hs.30570	267102	BX093716	0.63	0.00
HSI115C11	AFF3	AF4/FMR2 family, member 3	Hs.444414	120178	T95591	0.63	0.00
HSI047C01	TOMM40	Translocase of outer mitochondrial membrane 40 homolog (yeast)	Hs.310542	264573	BX101036	0.63	0.00
HSI055E12	LPHN1	Latrophilin 1	Hs.565302	301114	BX101080	0.63	0.00
HSI014D12	PIGQ	Phosphatidylinositol glycan, class Q	Hs.18079	35295	BX089809	0.63	0.00
HSI032H07	FADS2	Fatty acid desaturase 2	Hs.502745	51069	BX119688	0.63	0.00
HSI061F05	ADCY1	Adenylate cyclase 1 (brain)	Hs.192215	344141	BX101242	0.63	0.00
HSI004C12	NINJ1	Ninjurin 1	Hs.494457	110423	BX092853	0.63	0.00
HSI073D07	C10orf53	Chromosome 10 open reading frame 53	Hs.131287	1641903	BX102324	0.64	0.00
HSI136C08	THSD4	Thrombospondin, type I, domain containing 4	Hs.387057	186337	BX095996	0.64	0.00
HSI011B02	FKBP4	N-myristoyltransferase 2	Hs.524183	28606	BX104658	0.64	0.00
HSI008E12	SIAH2	Seven in absentia homolog 2 (Drosophila)	Hs.477959	127789	BX110898	0.64	0.00
HSI015B04	SYT1	Synaptotagmin I	Hs.310545	35141	BX091153	0.64	0.00
HSI085E09	KIAA1618	KIAA1618	Hs.584948	1551341	BX094717	0.64	0.00
HSI015B01	JMJD2B	Jumonji domain containing 2B	Hs.371013	34071	BX113660	0.64	0.00
HSI107G11	DYNC1I1	Dynein, cytoplasmic 1, intermediate chain 1	Hs.440364	1341973	AA724927	0.65	0.00
HSI072C02	FZD10	Frizzled homolog 10 (Drosophila)	Hs.31664	740412	BX096836	0.65	0.06
HSI093D05	RABEP1	Rabaptin, RAB GTPase binding effector protein 1	Hs.462086	2043091	CR744611	0.65	0.00
HSI064G11	MYBL2	V-myb myeloblastosis viral oncogene homolog (avian)-like 2	Hs.179718	377537	BX115559	0.65	0.00
HSI080F03	FOXP1	Forkhead box P1	Hs.431498	811919	CR736342	0.65	0.00
HSI015F04	RP11-484I6.3	Hypothetical protein BC015148	Hs.398111	38605	BX102489	0.66	0.00
HSI065E10	RRM2	Ribonucleotide reductase M2 polypeptide	Hs.226390	417504	BX100416	0.66	0.00
HSI028H05	TTC3	Tetratricopeptide repeat domain 3	Hs.368214	44392	BX092935	0.66	0.00
HSI010E04	ADORA1	Adenosine A1 receptor	Hs.77867	30159	BX111565	0.66	0.00
HSI004C09	COX6C	Cytochrome c oxidase subunit VIc	Hs.351875	111192	BX091859	0.66	0.00
HSI181H08	S100A14	S100 calcium binding protein A14	Hs.288998	3640899	BE736484	0.66	0.00
HSI080A02	MELK	Maternal embryonic leucine zipper kinase	Hs.184339	796122	BX105144	0.66	0.00
