Rank	Fold difference of geom means (Transfected/Control cell lines)	Probe set	Gene symbol	Description
1	0.002	1430162_at	3830417A13Rik	RIKEN cDNA 3830417A13 gene
2	0.018	1415983_at	Lcp1	lymphocyte cytosolic protein 1
3	0.032	1418004_a_at	1810009M01Rik	RIKEN cDNA 1810009M01 gene
4	0.033	1448160_at	Lcp1	lymphocyte cytosolic protein 1
5	0.036	1416666_at	Serpine2	serine (or cysteine) proteinase inhibitor, clade E, member 2
6	0.043	1450678_at	Itgb2	integrin beta 2
7	0.045	1423909_at	0610011I04Rik	RIKEN cDNA 0610011I04 gene
8	0.049	1418664_at	Mpdz	multiple PDZ domain protein
9	0.058	1417848_at		glucocorticoid induced gene 1
10	0.062	1453152_at	Mamdc2	MAM domain containing 2
11	0.063	1434442_at	D5Ertd593e	DNA segment, Chr 5, ERATO Doi 593, expressed
12	0.063	1428891_at	9130213B05Rik	RIKEN cDNA 9130213B05 gene
13	0.066	1426858_at	Inhbb	inhibin beta-B
14	0.068	1434465_x_at	Vldlr	very low density lipoprotein receptor
15	0.073	1450107_a_at	Renbp	renin binding protein
16	0.074	1448303_at	Gpnmb	glycoprotein (transmembrane) nmb
17	0.075	1417061_at	Slc40a1	solute carrier family 40 (iron-regulated transporter), member 1
18	0.088	1451461_a_at	Aldoc	aldolase 3, C isoform
19	0.09	1434920_a_at	Evl	Ena-vasodilator stimulated phosphoprotein
20	0.094	1421063_s_at	Snrpn /// Snurf	small nuclear ribonucleoprotein N /// SNRPN upstream reading frame
21	0.097	1450044_at	Fzd7	frizzled homolog 7 (Drosophila)
22	0.1	1416855_at	Gas1	growth arrest specific 1
23	0.104	1434372_at
24	0.106	1436838_x_at	Cotl1	coactosin-like 1 (Dictyostelium)
25	0.112	1420851_at	Pard6g	par-6 partitioning defective 6 homolog gamma (C. elegans)
26	0.116	1449896_at	Mlph	melanophilin
27	0.116	1417900_a_at	Vldlr	very low density lipoprotein receptor
28	0.119	1434191_at	A530016O06Rik	RIKEN cDNA A530016O06 gene
29	0.124	1450455_s_at	Akr1c12	aldo-keto reductase family 1, member C12
30	0.125	1445597_s_at	Hrasls3	HRAS like suppressor 3
31	0.127	1418910_at	Bmp7	bone morphogenetic protein 7
32	0.132	1422000_at	Akr1c12	aldo-keto reductase family 1, member C12
33	0.132	1439345_at	Gpnmb	glycoprotein (transmembrane) nmb
34	0.135	1417292_at	Ifi47	interferon gamma inducible protein 47
35	0.136	1451611_at	Hrasls3	HRAS like suppressor 3
36	0.14	1424692_at	2810055F11Rik	RIKEN cDNA 2810055F11 gene
37	0.143	1438211_s_at	Dbp	D site albumin promoter binding protein
38	0.143	1417602_at	Per2	period homolog 2 (Drosophila)
39	0.146	1434914_at	Rab6b	RAB6B, member RAS oncogene family
40	0.147	1435758_at	B4galt6	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 6
41	0.148	1428394_at	Phyhd1 /// Lrrc8	phytanoyl-CoA dioxygenase domain containing 1 /// leucine rich repeat containing 8
42	0.15	1420903_at	St6galnac3	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3
43	0.15	1460329_at	B4galt6	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 6
44	0.151	1452145_at	H6pd	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)
45	0.153	1436425_at	Ankrd38	ankyrin repeat domain 38
46	0.153	1416046_a_at	Fuca2	fucosidase, alpha-L- 2, plasma
47	0.153	1435906_x_at	Gbp2	guanylate nucleotide binding protein 2
48	0.156	1429830_a_at	Cd59a	CD59a antigen
49	0.157	1429351_at	4930429H24Rik	RIKEN cDNA 4930429H24 gene
50	0.157	1455422_x_at	39329	septin 4
51	0.158	1416619_at	4632428N05Rik	RIKEN cDNA 4632428N05 gene
52	0.16	1429359_s_at	Rbpms	RNA binding protein gene with multiple splicing
53	0.161	1437284_at	Fzd1	frizzled homolog 1 (Drosophila)
54	0.163	1448729_a_at	39329	septin 4
55	0.164	1430051_at	4930486L24Rik	RIKEN cDNA 4930486L24 gene
56	0.167	1415947_at	Creg1	cellular repressor of E1A-stimulated genes 1
57	0.17	1427201_at	Mustn1	musculoskeletal, embryonic nuclear protein 1
58	0.171	1417872_at	Fhl1	four and a half LIM domains 1
59	0.172	1430388_a_at	Sulf2	sulfatase 2
60	0.172	1418752_at	Aldh3a1	aldehyde dehydrogenase family 3, subfamily A1
61	0.173	1415948_at	Creg1	cellular repressor of E1A-stimulated genes 1
62	0.174	1437161_x_at	Rbpms	RNA binding protein gene with multiple splicing
63	0.174	1436002_at	C230013L11Rik	RIKEN cDNA C230013L11 gene
64	0.176	1451054_at	Orm1	orosomucoid 1
65	0.18	1418240_at	Gbp2	guanylate nucleotide binding protein 2
66	0.182	1449303_at	Sesn3	sestrin 3
67	0.186	1434957_at	Cdon	cell adhesion molecule-related/down-regulated by oncogenes
68	0.196	1451804_a_at	Lrrc16	leucine rich repeat containing 16
69	0.197	1451793_at	4930429H24Rik	RIKEN cDNA 4930429H24 gene
70	0.198	1436068_at	Zbtb10	zinc finger and BTB domain containing 10
71	0.2	1424393_s_at	Adhfe1	alcohol dehydrogenase, iron containing, 1
72	0.2	1426971_at	Ube1l	ubiquitin-activating enzyme E1-like
73	0.202	1452935_at	LOC546143	hypothetical protein LOC546143
74	0.202	1418509_at	Cbr2	carbonyl reductase 2
75	0.203	1449519_at	Gadd45a	growth arrest and DNA-damage-inducible 45 alpha
76	0.203	1455106_a_at	Ckb	creatine kinase, brain
77	0.204	1428141_at	Gga2	golgi associated, gamma adaptin ear containing, ARF binding protein 2
78	0.205	1436544_at	Atp10d	ATPase, Class V, type 10D
79	0.205	1451204_at	4933425F03Rik	RIKEN cDNA 4933425F03 gene
80	0.206	1425652_s_at	Rbpms	RNA binding protein gene with multiple splicing
