Gene Symbol	Gene Name	Fold Change	Function	Proliferation rate in % (p-value)
ADAMTS1	Fibrillin 1 (Marfan syndrome)	0.6	Cell proliferation	57 +/- 43 (0.002)
NOTCH2	Notch homolog 2 (Drosophila)	0.7	Anti-apoptosis	87 +/- 9 (0.08)
BHLHB3	Basic helix-loop-helix domain containing, class B, 3	0.6	Cell proliferation	94 +/- 9 (0.4)
COL14A1	Collagen, type XIV, alpha1 (undulin)	0.6	Cell adhesion	96; 96
MCAM	Melanoma cell adhesion molecule	0.5	Cell adhesion	101; 101
CNTN1	Contactin 1	0.4	Cell adhesion	105; 101
SFRP1	Secreted frizzled-related protein 1	0.6	Cell differentiation	106; 101
FBN1	Fibrillin 1 (Marfan syndrome)	0.7	Cell proliferation	108; 108
HOXB6	Homeo box B6	0.6	Cell proliferation	108; 106
CSPG2	Chondroitin sulfate proteoglycan 2 (versican)	0.6	Cell adhesion	110; 93
HEY1	Hairy/enhancer-of-split related with YRPW motif 1	0.6	Morphogenesis	110; 109
HOXA1	Homeo box A1	0.5	Cell proliferation	119; 104
