Function	Gene
Extracellular matrix (ECM) molecules	MMP9
Extracellular matrix (ECM) molecules, Angiogenesis	SPARC
Cell growth & proliferation	MKi67
Cell growth & proliferation	PCNA
Chemokine receptor, Apoptosis	CXCR4
Apoptosis	BAG1
Apoptosis	MELK
Angiogenesis	VCAM1
Angiogenesis, Signal transduction	IL18
Signal transduction	HIST1H4H
Transcription factors and regulators	ESR1
Transcription factors and regulators	SCUBE2
Other	GSTM3
Other	SERF1A
Unknown	AL137162
Unknown	AA528243
Unknown	AI918032
Unknown	C16orf61
Unknown	AB028990
Unknown	BF055311
Unknown	X16468
Unknown	AL136877
Unknown	AL523310
Unknown	AI057637
