Pair Rank	Probe Set	Gene Symbol	Gene Title
1, 43	91816_f_at	RKHD1	ring finger and KH domain containing 1
1, 6, 73	204641_at	NEK2	NIMA (never in mitosis gene a)-related kinase 2
2	213139_at	SNAI2	snail homolog 2 (Drosophila)
2, 4, 9, 33	212188_at	KCTD12	potassium channel tetramerisation domain containing 12
3	212022_s_at	MKI67	antigen identified by monoclonal antibody Ki-67
3, 61, 80	219716_at	APOL6	apolipoprotein L, 6
4	205264_at	CD3EAP	CD3e molecule, epsilon associated protein
5	206687_s_at	PTPN6	protein tyrosine phosphatase, non-receptor type 6
5, 67	218009_s_at	PRC1	protein regulator of cytokinesis 1
6, 35, 39, 55	219579_at	RAB3IL1	RAB3A interacting protein (rabin3)-like 1
7	221824_s_at	8-Mar	membrane-associated ring finger (C3HC4) 8
7	209574_s_at	C18orf1	chromosome 18 open reading frame 1
8	210199_at	CRYAA	crystallin, alpha A
8, 24, 26, 31	219493_at	SHCBP1	SHC SH2-domain binding protein 1
9	204177_s_at	KLHL20	kelch-like 20 (Drosophila)
10, 34	203010_at	STAT5A	signal transducer and activator of transcription 5A
10	212747_at	ANKS1A	ankyrin repeat and sterile alpha motif domain containing 1A
11, 19, 21	205034_at	CCNE2	cyclin E2
11, 65	217427_s_at	HIRA	HIR histone cell cycle regulation defective homolog A (S. cerevisiae)
12, 46, 54, 74	222077_s_at	RACGAP1	Rac GTPase activating protein 1
12, 62	36545_s_at	SFI1	Sfi1 homolog, spindle assembly associated (yeast)
13, 17, 72	218883_s_at	MLF1IP	MLF1 interacting protein
13	203332_s_at	INPP5D	inositol polyphosphate-5-phosphatase, 145kDa
14, 15	211584_s_at	NPAT	nuclear protein, ataxia-telangiectasia locus
14	219512_at	C20orf172	chromosome 20 open reading frame 172
15	221193_s_at	ZCCHC10	zinc finger, CCHC domain containing 10
16	221521_s_at	GINS2	GINS complex subunit 2 (Psf2 homolog)
16	209671_x_at	TRA / TRAC	T cell receptor alpha locus/T cell receptor alpha locus
17	208952_s_at	LARP5	La ribonucleoprotein domain family, member 5
18, 30	218726_at	DKFZp762E1312	hypothetical protein DKFZp762E1312
18, 51	211581_x_at	LST1	leukocyte specific transcript 1
19	221273_s_at	DKFZP761H1710	hypothetical protein DKFZp761H1710
20	205395_s_at	MRE11A	MRE11 meiotic recombination 11 homolog A (S. cerevisiae)
20, 59	214973_x_at	IGHD	immunoglobulin heavy constant delta
