Probe set ID	Gene symbol	Gene title
201872_s_at	ABCE1	ATP-binding cassette, sub-family E (OABP), member 1
201873_s_at	ABCE1	ATP-binding cassette, sub-family E (OABP), member 1
201963_at	ACSL1	acyl-CoA synthetase long-chain family member 1
207275_s_at	ACSL1	acyl-CoA synthetase long-chain family member 1
1552619_a_at	ANLN	anillin, actin binding protein (scraps homolog, Drosophila)
222608_s_at	ANLN	anillin, actin binding protein (scraps homolog, Drosophila)
208103_s_at	ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E /// acidic (leucine-rich) nuclear phosphoprotein 32 family, member E
221505_at	ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E
204492_at	ARHGAP11A	Rho GTPase activating protein 11A
212738_at	ARHGAP19	Rho GTPase activating protein 19
37577_at	ARHGAP19	Rho GTPase activating protein 19
218115_at	ASF1B	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)
219918_s_at	ASPM	asp (abnormal spindle)-like, microcephaly associated (Drosophila)
232238_at	ASPM	asp (abnormal spindle)-like, microcephaly associated (Drosophila)
239002_at	ASPM	asp (abnormal spindle)-like, microcephaly associated (Drosophila)
218782_s_at	ATAD2	ATPase family, AAA domain containing 2
222740_at	ATAD2	ATPase family, AAA domain containing 2
228401_at	ATAD2	ATPase family, AAA domain containing 2
235266_at	ATAD2	ATPase family, AAA domain containing 2
1554420_at	ATF3	activating transcription factor 3
1554980_a_at	ATF3	activating transcription factor 3
202672_s_at	ATF3	activating transcription factor 3
204092_s_at	AURKA	aurora kinase A
208079_s_at	AURKA	aurora kinase A
208080_at	AURKA	aurora kinase A
209464_at	AURKB	aurora kinase B
239219_at	AURKB	aurora kinase B
214390_s_at	BCAT1	branched chain aminotransferase 1, cytosolic
214452_at	BCAT1	branched chain aminotransferase 1, cytosolic
225285_at	BCAT1	branched chain aminotransferase 1, cytosolic
226517_at	BCAT1	branched chain aminotransferase 1, cytosolic
201169_s_at	BHLHB2	basic helix-loop-helix domain containing, class B, 2
201170_s_at	BHLHB2	basic helix-loop-helix domain containing, class B, 2
1555826_at	BIRC5	Baculoviral IAP repeat-containing 5 (survivin)
202094_at	BIRC5	baculoviral IAP repeat-containing 5 (survivin)
202095_s_at	BIRC5	baculoviral IAP repeat-containing 5 (survivin)
210334_x_at	BIRC5	baculoviral IAP repeat-containing 5 (survivin)
205733_at	BLM	Bloom syndrome
209590_at	BMP7	Bone morphogenetic protein 7 (osteogenic protein 1)
209591_s_at	BMP7	bone morphogenetic protein 7 (osteogenic protein 1)
211259_s_at	BMP7	bone morphogenetic protein 7 (osteogenic protein 1)
211260_at	BMP7	bone morphogenetic protein 7 (osteogenic protein 1)
204531_s_at	BRCA1	breast cancer 1, early onset
211851_x_at	BRCA1	breast cancer 1, early onset
212949_at	BRRN1	barren homolog 1 (Drosophila)
209642_at	BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)
215508_at	BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)
215509_s_at	BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)
216275_at	BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)
