Gene Symbol	Gene Name	Sucrose/Cornstarch	Clone ID	Function
Camk2g	Calcium/calmodulin-dependent protein kinase II gamma	3.6	H3147D07	Cell cycle and growth control
Idb2	Inhibitor of DNA binding 2	3.3	H3118H06	Cell cycle and growth control
Pcna	Proliferating cell nuclear antigen	2.7	H3021F12	Cell cycle and growth control
Men1	Multiple endocrine neoplasia 1	2.2	H3134F11	Cell cycle and growth control
Rnf2	Ring finger protein 2	2.2	H3134F11	Cell cycle and growth control
Cdkn1c	Cyclin-dependent kinase inhibitor 1C	2.1	H3097D03	Cell cycle and growth control
Cse1l	Chromosome segregation 1-like	1.7	H3029A05	Cell cycle and growth control
GRB7	Growth factor receptor-bound protein 7	1.6	H3006F12	Cell cycle and growth control
Ntn1	Netrin 1	1.5	H3019E06	Cell cycle and growth control
Igf2	Insulin-like growth factor 2	1.5	H3126A04	Cell cycle and growth control
Rasa3	RAS p21 protein activator 3	3.1	H3054E01	Signal transduction and receptors
Gprc5c	G protein-coupled receptor, family C, group 5, member C	2.9	H3076D03	Signal transduction and receptors
Rapgef2	Rap guanine nucleotide exchange factor (GEF) 2	2.6	H3054B04	Signal transduction and receptors
Csnk1g2	Casein kinase 1, gamma 2	2.5	H3119H06	Signal transduction and receptors
Rgs12	Regulator of G-protein signaling 12	2.2	H3076F12	Signal transduction and receptors
Pik3c2a	Phosphatidylinositol 3-kinase, C2 domain containing, alpha	1.7	H3124D09	Signal transduction and receptors
Pde7a	Phosphodiesterase 7A	1.7	H3085D03	Signal transduction and receptors
Gnaq	Guanine nucleotide binding protein, alpha q polypeptide Transcription and translation regulation	1.6	H3147B06	Signal transduction and receptors
Pscd3	Pleckstrin homology, Sec7 and coiled-coil domains 3	3.2	H3095H05	Signal transduction and receptors
Smad3	MAD homolog 3 (Drosophila)	3.1	H3149G02	Signal transduction and receptors
Prdm2	PR domain containing 2, with ZNF domain	2.5	H3050F05	Signal transduction and receptors
Rbm22	RNA binding motif protein 22	2.2	H3082D03	Signal transduction and receptors
Csde1	Cold shock domain containing E1	2	H3128B12	Signal transduction and receptors
Nolc1	Nucleolar and coiled-body phosphoprotein 1	1.9	H3001E10	Signal transduction and receptors
Laf4	Lymphoid nuclear protein related to AF4	1.8	H3093D02	Signal transduction and receptors
Gcipip	GCIP-interacting protein p29	1.6	H3056C11	Signal transduction and receptors
Cdh2	Cadherin 2	5.1	H3131E08	Cell adhesion and cytoskeleton
Tmsb10	Thymosin, beta 10	1.9	H3001H10	Cell adhesion and cytoskeleton
Catna1	Catenin alpha 1	1.6	H3047H12	Cell adhesion and cytoskeleton
Srp68	Signal recognition particle 68	5.3	H3132E08	Cellular component and structural proteins
Dibd1	Disrupted in bipolar disorder 1 homolog (human)	3.4	H3023E04	Cellular component and structural proteins
Tnr	Tenascin R	2.5	H3053F08	Cellular component and structural proteins
Tbc1d15	TBC1 domain family, member 15	1.6	H3076B10	Cellular component and structural proteins
Tbc1d15	TBC1 domain family, member 15	1.6	H3076B10	Cellular component and structural proteins
Timm23	Translocase of inner mitochondrial membrane 23 homolog (yeast)	3.5	H3028F10	Transport and carrier proteins
Eif4enif1	Eukaryotic translation initiation factor 4E nuclear import factor 1	2.5	H3099A03	Transport and carrier proteins
Efhd1	EF hand domain containing 1	2.1	H3077C06	Transport and carrier proteins
Uqcrb	Ubiquinol-cytochrome c reductase binding protein	2.1	H3107F05	Transport and carrier proteins
Kcnh1	Potassium voltage-gated channel, subfamily H (eag-related), member 1	2	H3033G09	Transport and carrier proteins
Aldrl6	Aldehyde reductase (aldose reductase)-like 6	4.1	H3051E06	Metabolism and enzymes
Scd2	Stearoyl-Coenzyme A desaturase 2	3.7	H3025B03	Metabolism and enzymes
Tatdn1	TatD DNase domain containing 1	3.5	H3086D07	Metabolism and enzymes
Dhx40	DEAH (Asp-Glu-Ala-His) box polypeptide 40	2.9	H3159F10	Metabolism and enzymes
Ndufa10	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 10	2.8	H3041A02	Metabolism and enzymes
Stk3	Serine/threonine kinase 3	2.6	H3025B05	Metabolism and enzymes
Pcyt1a	Phosphate cytidylyltransferase 1, choline, alpha isoform	2.1	H3145B05	Metabolism and enzymes
Elovl6	ELOVL family member 6, elongation of long chain fatty acids (yeast)	2.1	H3077B06	Metabolism and enzymes
Dlat	Dihydrolipoamide S-acetyltransferase	2	H3133G11	Metabolism and enzymes
Klkb1	Kallikrein B, plasma 1	2	H3111H02	Metabolism and enzymes
Rps6ka1	Ribosomal protein S6 kinase polypeptide 1	1.9	H3002D07	Metabolism and enzymes
Aldoa	Aldolase 1, A isoform	1.9	H3031D03	Metabolism and enzymes
Akr1c14	Aldo-keto reductase family 1, member C14	1.9	H3151D04	Metabolism and enzymes
Agps	Alkylglycerone phosphate synthase	1.8	H3031B02	Metabolism and enzymes
Hace1	HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1	1.7	H3079F02	Metabolism and enzymes
Smpdl3b	Sphingomyelin phosphodiesterase, acid-like 3B	1.7	H3014H09	Metabolism and enzymes
Pfkl	Phosphofructokinase, liver, B-	1.6	H3025D11	Metabolism and enzymes
Tbk1	TANK-binding kinase 1	1.5	H3084B09	Metabolism and enzymes
Odz4	Odd Oz/ten-m homolog 4	2.6	H3094D11	Other genes
Fem1b	Feminization 1 homolog b	2.2	H3113H06	Other genes
