Gene	Running enrichment score	Core enrichment
AKT1	0.0279	YES
AKT2	-0.021	YES
LYN	-0.0703	YES
PIK3R1	-0.115	YES
BTK	-0.15	YES
ITPKB	-0.192	YES
SYK	-0.234	YES
CD19	-0.268	YES
NFKBIB	-0.3	YES
NFKB2	-0.336	YES
GRB2	-0.372	YES
PLCG2	-0.406	YES
SHC1	-0.43	YES
RAF1	-0.46	YES
NFKB1	-0.466	YES
SOS2	-0.436	NO
AKT3	-0.438	NO
DAG1	-0.456	NO
PPP1R13B	-0.47	NO
PIK3CD	-0.451	NO
SOS1	-0.394	NO
VAV1	-0.36	NO
NFKBIL2	-0.362	NO
MAPK1	-0.274	NO
NFKBIE	-0.247	NO
MAP2K1	-0.25	NO
EPHB2	-0.184	NO
PIK3CA	-0.175	NO
NFAT5	-0.154	NO
BCR	-0.153	NO
BAD	-0.162	NO
SERPINA4	-0.1	NO
PI3	-0.0799	NO
MAP2K2	-0.00261	NO
ITPKA	-0.00194	NO
NFKBIL1	-0.0269	NO
BLNK	-0.0225	NO
NFKBIA	-0.0533	NO
CSK	-0.0845	NO
