Gene Symbol	Gene Name	Lineage of Differentiation	Reference
ZNF145	zinc finger and BTB domain containing 16	early osteogenesis /chondrogenesis/adipogenesis	Liu et al. [114] Sekiya et al. [62]
FKBP5	FK506 binding protein 5	early osteogenesis /chondrogenesis/adipogenesis	Liu et al. [114]
ID4 CRYAB	inhibitor of DNA binding 4, dominant negative helix-loophelix protein Crystallin-·B	late osteogenesis late osteogenesis	Kulterer et al. [35] Kulterer et al. [35]
SORT1	Sortillin 1	late osteogenesis	Kulterer et al. [35]
DPT	Dermatopontin	osteogenesis / chondrogenesis	Pochampilly et al. [44] Liu et al. [114]
HRH1	Histamine receptor H1	osteogenesis	Pochampilly et al. [44]
OMD	osteomodulin	osteogenesis	Liu et al. [114]
APOD	apolipoprotein D	osteogenesis	Liu et al. [114]
ADAMTS-1	ADAM metallopeptidase with thrombospondin type 1 motif, 1	adipogenesis	Hung et al. [50]
ADAMTS-4	ADAM metallopeptidase with thrombospondin type 1 motif,4	adipogenesis / late chondrogenesis	Hung et al. [50] Djouad et al. [71]
SLUG	zinc finger protein SLUG	early adipogenesis	Nakamura et al. [61]
FKHR	forkhead box O1	early adipogenesis	Nakamura et al. [61]
CTNNB1	catenin (cadherinassociated protein), ‚1	early adipogenesis	Nakamura et al. [61]
ZEB	zinc finger E-box binding homeobox	early adipogenesis	Sekiya et al. [62]
LPL	lipoprotein lipase	adipogenesis	Liu et al. [114]
FABP4	fatty acid binding protein 4, adipocyte	adipogenesis	Liu et al. [114]
PDK4	pyruvate dehydrogenase kinase, isozyme 4	adipogenesis	Liu et al. [114]
ACDC	adiponectin, C1Q and collagen domain containing	adipogenesis	Liu et al. [114]
COPEB	core promoter element binding protein	osteogenic to adipogenic transdifferentiation	Schilling et al. [66]
DBP	D site of albumin promoter (albumin D-box) binding protein	osteogenic to adipogenic transdifferentiation	Schilling et al. [66]
KLF4	Kruppel-like factor 4 (gut)	osteogenic to adipogenic transdifferentiation	Schilling et al. [66]
NR4A2	nuclear receptor subfamily 4, group A, member 2		Schilling et al. [66]
ZNF331	zinc finger protein 331
CCN3 / NOV	nephroblastoma overexpressed gene	Chondrogenesis	Djouad et al. [71]
CCN4 / WISP1	WNT1 inducible signaling pathway protein 1	Chondrogenesis	Djouad et al. [71]
CCN5 / WISP2	WNT1 inducible signaling pathway protein 2	Chondrogenesis	Djouad et al. [71]
ADAMTS-5	ADAM metallopeptidase with thrombospondin type 1 motif, 5	Late chondrogenesis	Djouad et al. [71]
COL10A1	collagen, type X, alpha 1	chondrogenesis	Liu et al. [114]
AMPA3	glutamate receptor, ionotrophic, AMPA 3	neurogenesis	Tondreau et al. [82]
SYNAPTOTAGMIN	synaptotagmin	neurogenesis	Tondreau et al. [82]
CASK	calcium/calmodulindependent serine protein kinase (MAGUK family)	neurogenesis	Tondreau et al. [82]
STX 1A	syntaxin 1A (brain)	neurogenesis	Tondreau et al. [82]
SNCAIP	synuclein, alpha interacting protein	neurogenesis	Tondreau et al. [82]
MCT2	solute carrier family 16, member 7 (monocarboxylic acid transporter 2)	neurogenesis	Tondreau et al. [82]
SOCS2	suppressor of cytokine signaling 2	neurogenesis	Tondreau et al. [82]
NEGR1	neuronal growth regulator 1	neurogenesis	Tondreau et al. [82]
EPHA4	EPH receptor A4	neurogenesis	Tondreau et al. [82]
