AccessionNo.	P Value	Fold-Change
AL080235	4.40E-04	6.1
AA151971	2.70E-04	6
AB018333	1.20E-07	-4.2
AA401397	2.00E-04	-4.1
N36638	4.60E-06	-4
AA522530	1.90E-04	3.8
D26361	7.70E-04	3.8
D80010	9.10E-05	-3.7
AI432401	1.40E-05	-3.5
D79997	2.60E-04	3.5
AI535946	6.70E-04	3.4
AB007972	4.20E-04	-3.4
D42047	2.00E-06	-3.4
AB002367	2.00E-04	-3.4
AA570193	2.70E-05	-3.4
AL096719	8.70E-05	3.3
AI660929	5.60E-04	3.3
D80008	1.90E-04	3.3
AL079279	1.40E-05	-3.2
AL050021	1.00E-05	-3.1
HG371HT26388	6.80E-05	-3.1
AL050220	4.90E-04	-3
AA873858	8.90E-04	3
AI017382	1.10E-04	2.9
AB018315	2.90E-04	-2.9
AL049471	2.20E-04	-2.8
AF035315	5.00E-04	-2.8
AI800499	3.40E-05	-2.7
W27858	1.10E-04	-2.7
D31883	5.10E-05	-2.5
D83777	2.60E-04	2.5
AB018258	5.30E-04	-2.5
AI762213	7.00E-04	-2.5
D87465	1.60E-04	-2.4
D43948	5.80E-04	2.4
AI740522	5.20E-04	2.4
AB023230	4.40E-04	-2.4
AB020647	3.20E-04	-2.3
N74607	6.00E-04	-2.3
AF091087	7.60E-04	-2.3
AL049265	3.00E-04	-2.3
AI921843	8.10E-04	-2.3
AB018347	8.70E-04	2.2
AB028949	3.40E-04	-2.1
AI796281	8.00E-04	-2
