Gene symbol	Gene description	N-fold (average)	Group
BCL2	B-cell CLL/lymphoma 2	3.091	NF- kB genes
CCR7	chemokine (C-C motif) receptor 7	2.715	NF- kB genes
LYN	v-yes-1 Yamaguchi sarcoma viral-related oncogene homolog	2.495	NF- kB genes
TLE1	transducin-like enhancer of split 1, homolog of Drosophila E(sp1)	2.269	NF- kB genes
IL1A	interleukin 1, alpha	1.291	NF- kB genes
BAFF	B-cell activating factor of the TNF family	0.9	NF- kB genes
BCL2	B-cell CLL/lymphoma 2	3.091	BCR genes
BTK	Bruton agammaglobulinemia tyrosine kinase	2.846	BCR genes
LYN	v-yes-1 Yamaguchi sarcoma viral-related oncogene homolog	2.495	BCR genes
GAB1	GRB2-associated binding protein 1	1.967	BCR genes
