UniGene Cluster ID	Gene Symbol	Gene name
Hs.116481	CD72	CD72 antigen
Hs.130881	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)
Hs.153053	CD37	CD37 antigen
Hs.153261	IGHM	Immunoglobulin heavy constant mu
Hs.153487	STAM	signal transducing adaptor molecule (SH3 domain and ITAM motif) 1
Hs.167746	BLNK	B-cell linker
Hs.169832	MZF1	zinc finger protein 42 (myeloid-specific retinoic acid- responsive)
Hs.1706	IRF9	interferon-stimulated transcription factor 3, gamma (48kD)
Hs.191958	FCRL2	Immunoglobulin superfamily receptor translocation associated 2
Hs.192861	SPIB	Spi-B transcription factor (Spi-1/PU.1 related)
Hs.194976	FCRL2	SH2 domain-containing phosphatase anchor protein 1
Hs.327	IL10RA	interleukin 10 receptor, alpha
Hs.54452	IKZF1	zinc finger protein, subfamily 1A, 1 (Ikaros)
Hs.54460	CCL11	small inducible cytokine subfamily A (Cys-Cys), member 11 (eotaxin)
Hs.58685	CD5	CD5 antigen (p56-62)
Hs.64310	IL11RA	interleukin 11 receptor, alpha
Hs.73958	RAG1	recombination activating gene 1
Hs.74101	SYK	spleen tyrosine kinase
Hs.82212	CD53	CD53 antigen
Hs.87205	LOC63176	lymphocyte antigen 64 homolog, radioprotective 105kD (mouse)
Hs.89714	CXCL5	small inducible cytokine subfamily B (Cys-X-Cys), member 5 (epithelial-derived neutrophil-activating peptide 78)
Hs.901	CD48	CD48 antigen (B-cell membrane protein)
