UniGene Cluster ID	Gene Symbol	Gene name
Hs.108327	DDB1	damage-specific DNA binding protein 1 (127kD)
Hs.109526	ZMYM2	zinc finger protein 198
Hs.18895	TLK1	tousled-like kinase 1
Hs.192803	XPA	xeroderma pigmentosum, complementation group A
Hs.197345	XRCC6	thyroid autoantigen 70kD (Ku antigen)
Hs.35947	MBD4	methyl-CpG binding domain protein 4
Hs.48576	ERCC5	excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))
Hs.59544	ERCC1	excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisensesequence)
Hs.75462	BTG2	BTG family, member 2
Hs.79396	MPG	N-methylpurine-DNA glycosylase
Hs.84318	RPA1	replication protein A1 (70kD)
Hs.99987	ERCC2	excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)
