Fold increase	Gene	Description
15.6	Ftl1	ferritin light chain 1 (Ftl1), mRNA.
15	Cfl1	cofilin 1, non-muscle (Cfl1), mRNA.
11.5	Tcrb	T cell receptor beta chain mRNA, partial cds.
11	Hspa8	heat shock protein 8 (Hspa8), mRNA.
11	Lmo1	LIM domain only 1 (Lmo1), mRNA.
10.9	Eef1a1	Eukaryotic translation elongation factor 1 alpha 1
10.7	Tuba7	tubulin, alpha 7 (Tuba7), mRNA.
10.4	Eeftu	Mouse eEF-Tu gene encoding elongation factor Tu
9.4	Ef2	Elongation factor 2 (EF-2) (LOC673429), mRNA.
9.2	Igh6	Immunoglobulin heavy chain 6 (heavy chain of IgM)
8.9	Gapdh	glyceraldehyde-3-phosphate dehydrogenase
8.4	Dtx1	deltex 1 homolog (Drosophila) (Dtx1), mRNA.
8.4	Cnbp2	cellular nucleic acid binding protein 2 (Cnbp2), mRNA.
8.2	Tubb5	tubulin, beta 5 (Tubb5), mRNA.
8	Zmym1	zinc finger, MYM domain containing 1 (Zmym1), mRNA.
7.9	Siglece	sialic acid binding Ig-like lectin E (Siglece), mRNA.
7.8	Eif4a1	eukaryotic translation initiation factor 4A1 (Eif4a1), mRNA.
7.6	Bzw2	basic leucine zipper and W2 domains 2 (Bzw2), mRNA.
7.5	Eef2	eukaryotic translation elongation factor 2 (Eef2), mRNA.
7.2	Eif5a	eukaryotic translation initiation factor 5A (Eif5a), mRNA.
6.8	Tcf7	transcription factor 7, T-cell specific (Tcf7), mRNA.
6.3	Aes	amino-terminal enhancer of split (Aes), mRNA.
6.3	Iltifb	interleukin 10-related T cell-derived inducible factor beta (Iltifb)
6.3	Tcra	T-cell receptor alpha chain (TCRA)
6	Coro1a	coronin, actin binding protein 1A (Coro1a), mRNA.
5.5	Pin1	protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1 (Pin1), mRNA.
5.4	Cdk4	cyclin-dependent kinase 4 (Cdk4), mRNA.
5.4	Tceal8	Transcription elongation factor A (SII)-like 8
5.3	Map2k4	mitogen activated protein kinase kinase 4 (Map2k4), mRNA.
5.1	Eif4b	eukaryotic translation initiation factor 4B (Eif4b), mRNA.
5	Ccl8	chemokine (C-C motif) ligand 8 (Ccl8), mRNA.
4.8	Dap	death-associated protein (Dap), mRNA.
4.7	Dennd2d	DENN/MADD domain containing 2D (Dennd2d), mRNA.
4.5	Mrpl38	mitochondrial ribosomal protein L38 (Mrpl38), mRNA.
4.3	Rpl13	Ribosomal protein L13
4.3	Hnrpu	heterogeneous nuclear ribonucleoprotein U (Hnrpu), mRNA.
4.3	Notch1	Notch gene homolog 1 (Drosophila)
4.2	Hnrpl	heterogeneous nuclear ribonucleoprotein L (Hnrpl), mRNA.
-6.1	Cd83	CD83 antigen (Cd83), mRNA.
-6.1	Prr6	Proline-rich polypeptide 6
-6.4	Erf1	Mus musculus ETS-related transcription factor ERF (Erf1) mRNA
-6.5	Krt28	keratin complex 2, basic, gene 8 (Krt2-8), mRNA.
-6.6	Mgst1	microsomal glutathione S-transferase 1 (Mgst1), mRNA.
-6.6	Ucp1	uncoupling protein 1 (mitochondrial, proton carrier) (Ucp1), mRNA.
-6.8	Fabp3	fatty acid binding protein 3, muscle and heart (Fabp3), mRNA.
-6.9	Diras2	DIRAS family, GTP-binding RAS-like 2 (Diras2), mRNA.
-7	Cox7a1	cytochrome c oxidase, subunit VIIa 1 (Cox7a1), mRNA.
-8.5	Slc18a3	solute carrier family 18 (vesicular monoamine),
-10.7	Fabp4	Fatty acid binding protein 4, adipocyte
-11.3	Cdo1	cysteine dioxygenase 1, cytosolic (Cdo1), mRNA.
-11.3	Cox8b	cytochrome c oxidase, subunit VIIIb (Cox8b), mRNA.
-11.6	Fabp9	Fatty acid binding protein 9, testis
-12.1	Prss16	protease, serine, 16 (thymus) (Prss16), mRNA.
-12.3	Cidea	cell death-inducing DNA fragmentation factor, alpha subunit
-14.3	Dgat2	diacylglycerol O-acyltransferase 2 (Dgat2), mRNA.
-15.7	Ccl25	Chemokine (C-C motif) ligand 25
-20.3	Snap25	Synaptosomal-associated protein 25
