Gene Symbol	Gene description	Affy ID	Fold-change
ACT1	nuclear factor kappa-B activator	215411_s_at	3.32
APG4A	APG4 homolog	215386_at	1.42
ARHGEF10	RHO guanine nucleotide exchange factor	216620_s_at	3.18
ARHGEF4	RHO guanine nucleotide exchange factor	205109_s_at	2.45
AUTS2	autism suseptability gene	213115_at	1.70
BMP2	bone morphogeneic protein	205290_s_at	9.77
C14orf113	chromosome 14 open reading frame 113	221101_at	1.31
CACNB3	calcium channel	34726_at	1.72
CALM1	calmodulin 1	200655_s_at	2.19
CCL17	chemokine ligand 17	207900_at	3.09
cDNA clone	cDNA clone	217610_at	1.43
cDNA clone	cDNA clone	216628_at	1.64
cDNA clone	cDNA clone	215630_at	2.43
CEACAM6	antigen-related cell adhesion molecule	211657_at	2.96
CHC1L	chromosome condensation 1-like	204759_at	5.47
CHD7	chromodomian helicase DNA binding protein 7	218829_s_at	5.40
CSRP2	cysteine and gltcine-rich protein 2	207030_s_at	9.55
CSRP2	cysteine and gltcine-rich protein 2	211126_s_at	13.00
CTGF	connective tissue growth factor	209101_at	19.45
CXorf6	chromosome X open reading frame 6	205088_at	1.58
CLIP2	CAP-GLY domain containing protein 2	211031_s_at	2.30
D2S448	melanoma associated gene	212013_at	4.28
D2S448	melanoma associated gene	212012_at	5.29
D4S234E	DNA segment on chromosome 4	209569_x_at	2.55
DGKD	diacylyglycerol kinase	208072_s_at	1.82
DLG3	discs, large homolog 3	212729_at	1.53
DLG3	discs, large homolog 3	212727_at	1.40
DPEP1	dipeptidase	205983_at	4.57
DUSP6	dual specoficity phosphatase	208893_s_at	3.56
DYRK3	dual-specificity tyrosine regulated kinase	210151_s_at	2.14
ECM1	extracellular matrix protein	209365_s_at	7.42
EFNB1	ephrin	202711_at	1.81
EFNB2	ephrin	202668_at	6.06
EFNB2	ephrin	202669_s_at	4.96
ETS2	E26 oncogene homolog	201328_at	3.70
ETS2	E26 oncogene homolog	201329_s_at	2.85
FAK	focal adhesion kinase	207821_s_at	3.09
FAK	focal adhesion kinase	208820_at	1.80
FGFR1	fibroblast growth factor receptor	211535_s_at	3.13
FGFR1	fibroblast growth factor receptor	210973_s_at	2.17
FLJ20331	hypothetical protein	215063_x_at	1.19
FLJ21919	hypothetical protein	202809_s_at	1.92
GNA11	guainine nucleotide binding protein	213944_x_at	1.57
GPM6B	glycoprotein	209170_s_at	7.08
GPR49	G protein-coupled receptor	213880_at	3.61
GTF2IRD1	General transcription factor II-I repeat domain-containing	221176_x_at	1.31
HRK	harakiri	206865_at	1.62
ITIH3	inter-alpha inhibitor H3	205755_at	2.36
ITSN1	intersectin 1	35776_at	1.51
JUP	junction plakoglobin	201015_s_at	2.24
KCNK12	potassium channel, subfamily K	220448_at	7.06
KCTD7	potassium channel tetramerisation domain containing 7	213474_at	1.74
KIAA0870	protein	212975_at	2.76
KIAA0870	protein	212974_at	3.06
KIAA0913	protein	212359_s_at	1.61
KIAA1078	protein	212765_at	1.36
KIR3DL2	killer cell immunoglobulin-like receptor	216907_x_at	2.81
LARGE	like-glycosyltransferase	215543_s_at	1.61
LCK	lymphocyt-specific protein tyrosine kinase	204890_s_at	2.61
LILRB1	leukocyte immunoglobulin-like receptor	207857_at	4.39
LOC51321	hypothetical protein	218167_at	1.37
MGAT4A	glycoprotein acetylglucosaminyltransferase	219797_at	2.40
MLP	MARCKS-like protein	200644_at	2.10
MYRIP	myosin VIIA and Rab interacting protein	214156_at	1.60
NPR1	natriurectic peptide receptor	204648_at	3.08
NPR1	natriurectic peptide receptor	32625_at	1.70
NR3C2	nuclear receptor	205259_at	2.47
OAZ	OLF-1/EBF associated zinc finger gene	214761_at	5.06
PARD3	par-3 partitioning defective 3 homolog	221526_x_at	3.18
PCDH16/DCHS1	dachsous 1	218892_at	1.51
PCDHGC3	procadherin	211066_x_at	2.72
PCDHGC3	procadherin	215836_s_at	2.15
PCLO	piccolo	210650_s_at	1.86
PCLO	piccolo	213558_at	3.29
PDE8B	phosphodiesterase	213228_at	4.07
PDGFA	platelet-derived growth factor	205463_s_at	4.63
PLCG1	phospholipase C, gamma 1	202789_at	1.52
PLCL3	phospholipase C-like 3	214745_at	2.76
PLVAP	plasmalemma vesicle associated protein	221529_s_at	3.46
POU4F1	POU domain transcription factor	206940_s_at	8.88
PPFIA1	protein tyrosine phosphatase receptor interacting protein	202065_s_at	1.31
PPP3CC	protein phosphotase	207000_s_at	2.36
PPP3CC	protein phosphotase	32541_at	2.20
PRKD2	protein kinase D2	38269_at	3.20
PRKD2	protein kinase D2	209282_at	3.77
RAPGEF3	Rap guanine nucleotide exchange factor	210051_at	1.41
RBAF600	retinoblastoma-associated factor 600	215636_at	1.16
RGL1	ral guanine nucleotide dissociation stimulator-like 1	209568_s_at	6.94
S100A13	S100 calcium binding protein	202598_at	3.60
SEMA6A	sema, transmembrane and cytoplasmic domain 6A	215028_at	7.22
SFRS15	splicing factor, arginine/serine-rich	222311_s_at	2.45
SGCB	saroglycan	205120_s_at	1.68
SIN3B	SIN3 homolog B	39705_at	1.92
SLC27A3	solute carrier family 27, member 3	222217_s_at	3.08
TFIP11	tuftelin interacting protein 11	202750_s_at	1.48
TPST1	tyrosylprotein sulfotransferase	204140_at	1.74
TRA@MGC40069	T cell receptor alpha locus, hypothetical protein	215524_x_at	1.21
VAMP1	vesicle-associated membrane protein	213326_at	2.55
WDFY3	WD repeat and FYVE domian containing	212602_at	1.99
ZCWCC2	zinc finger, CW-type with coiled-coil domain	219038_at	1.80
