Gene Symbol	Gene description	Probe set ID	Fold-change
---	---	222279_at	7.053
---	---	213253_at	6.746
AMD1	adenosylmethionine decarboxylase 1	201197_at	9.471
ARFGAP3	ADP-ribosylation factor GTPase activating protein 3	202211_at	9.332
ATP2C1	ATPase, Ca++ transporting, type 2C, member 1	211137_s_at	5.820
BARD1	BRCA1 associated RING domain 1	205345_at	4.677
BCLAF1	BCL2-associated transcription factor 1	201083_s_at	10.677
BUB1B	BUB1 beta (yeast)	203755_at	16.876
C10orf18	chromosome 10 open reading frame 18	218331_s_at	4.637
C10orf97	chromosome 10 open reading frame 97	218297_at	3.763
C18orf22	chromosome 18 open reading frame 22	219419_at	4.063
CCNA2	cyclin A2	213226_at	8.451
CD24	CD24 antigen	209772_s_at	15.968
CDC2	cell division cycle 2, G1 to S and G2 to M	203213_at	21.239
CIAO1	WD repeat domain 39	217501_at	3.591
CIAPIN1	cytokine induced apoptosis inhibitor 1	208424_s_at	4.478
CSRP2	cysteine and glycine-rich protein 2	207030_s_at	15.199
CTGF	connective tissue growth factor	209101_at	37.272
CLIP2	CAP-GLY domain containing protein 2	211031_s_at	6.071
CYP51A1	cytochrome P450 family	202314_at	6.988
DHFR	dihydrofolate reductase	48808_at	11.340
DHFR	dihydrofolate reductase	202534_x_at	7.104
DLEU2	deleted in lymphocytic leukemia, 2	216870_x_at	4.979
DONSON	downstream neighbor of SON	221677_s_at	12.345
EFNB2	ephrin-B2	202668_at	11.422
EIF1AX	eukaryotic translation initiation factor 1A, X-linked	201016_at	11.371
EZH2	enhancer of zeste homolog 2 (Drosophila)	203358_s_at	14.312
FHL1	four and a half LIM domains 1	210299_s_at	18.714
FLJ10719	hypothetical protein FLJ10719	213007_at	7.236
FUBP1	Far upstream element (FUSE) binding protein 1	212847_at	6.591
GGH	gamma-glutamyl hydrolase	203560_at	7.479
GMNN	geminin, DNA replication inhibitor	218350_s_at	12.448
GNAI1	G protein alpha inhibiting activity polypeptide 1	209576_at	6.299
GPR125	G protein-coupled receptor 125	210473_s_at	6.797
GTPBP4	GTP binding protein 4	218239_s_at	8.104
HELLS	helicase, lymphoid-specific	220085_at	5.185
HIC2	hypermethylated in cancer 2	212964_at	6.681
HNRPA1	heterogeneous nuclear ribonucleoprotein A1	221919_at	9.215
HSPC121	butyrate-induced transcript 1	217777_s_at	6.806
KLC2	likely ortholog of kinesin light chain 2	218906_x_at	3.439
KNTC1	kinetochore associated 1	206316_s_at	7.962
KNTC2	kinetochore associated 2	204162_at	8.702
KPNB1	Karyopherin (importin) beta 1	213803_at	4.710
LOC161527	hypothetical protein LOC161527	213212_x_at	4.086
LOC389677	similar to RIKEN cDNA 3000004N20	51228_at	4.713
