Probe Set ID	Fold Change
32814_at	63.54
915_at	36.98
38432_at	22.62
38389_at	14.75
38388_at	12.27
32775_r_at	11.58
38584_at	10.43
37014_at	10.22
38549_at	9.896
269_at	8.844
1107_s_at	8.544
37168_at	5.983
879_at	5.781
34491_at	5.769
36927_at	5.763
1666_at	5.707
38662_at	5.442
40323_at	5.287
39324_at	5.06
1358_s_at	4.924
37641_at	4.33
36412_s_at	4.192
33304_at	4.016
431_at	3.878
1046_at	3.567
34021_at	3.415
35985_at	3.392
39081_at	3.359
1715_at	3.078
37352_at	3.044
39263_at	3.016
464_s_at	2.97
41745_at	2.885
40852_at	2.877
1173_g_at	2.828
37468_at	2.774
34304_s_at	2.743
37353_g_at	2.742
35718_at	2.693
37354_at	2.692
31623_f_at	2.674
35012_at	2.591
37099_at	2.583
626_s_at	2.565
38913_at	2.517
32609_at	2.476
35061_at	2.432
39061_at	2.368
33488_at	2.365
36472_at	2.36
39233_at	2.301
675_at	2.274
37972_at	2.226
40455_at	2.199
33454_at	2.165
1611_s_at	2.154
851_s_at	2.132
1858_at	2.101
609_f_at	2.075
39994_at	2.07
38091_at	2.037
286_at	2.002
40385_at	1.982
36069_at	1.98
36825_at	1.973
34363_at	1.96
1456_s_at	1.958
34931_at	1.932
35576_f_at	1.932
946_at	1.885
33253_at	1.865
34439_at	1.841
40702_at	1.829
39760_at	1.828
35091_at	1.819
36312_at	1.804
39603_at	1.801
35341_at	1.782
1021_at	1.77
38082_at	1.765
40041_at	1.761
36347_f_at	1.75
37994_at	1.733
34699_at	1.729
214_at	1.717
36717_at	1.704
32899_s_at	1.702
33531_at	1.697
34308_at	1.688
35208_at	1.687
37816_at	1.68
32065_at	1.663
32429_f_at	1.66
37556_at	1.66
36103_at	1.65
32067_at	1.639
33421_s_at	1.637
33039_at	1.629
32638_s_at	1.612
37701_at	1.608
34375_at	1.6
33205_at	1.597
277_at	1.589
988_at	1.57
1102_s_at	1.566
34474_at	1.562
37391_at	1.545
40022_at	1.539
40347_at	1.539
32066_g_at	1.53
38994_at	1.529
40348_s_at	1.529
33707_at	1.519
357_at	1.519
39547_at	1.519
676_g_at	1.519
35019_at	1.518
33262_at	1.517
769_s_at	1.515
195_s_at	1.512
37645_at	1.508
34312_at	1.505
34714_at	1.502
36804_at	1.496
1326_at	1.488
31444_s_at	1.484
39032_at	1.472
40477_r_at	1.464
35735_at	1.463
35223_at	1.459
34896_at	1.45
41130_at	1.442
39285_at	1.433
33447_at	1.424
38872_at	1.423
36456_at	1.422
36575_at	1.41
37178_at	1.404
34768_at	1.395
1179_at	1.384
1154_at	1.378
1383_at	1.373
37001_at	1.373
33146_at	1.37
37442_at	1.365
38546_at	1.364
1633_g_at	1.362
37303_at	1.357
39415_at	1.35
41339_at	1.335
39118_at	1.334
37725_at	1.327
41799_at	1.321
37177_at	1.317
1846_at	1.312
35911_r_at	1.301
38250_at	1.3
37948_at	1.292
32860_g_at	1.289
39777_at	1.289
36171_at	1.286
40250_at	1.278
38164_at	1.277
38403_at	1.275
1445_at	1.271
229_at	1.271
38283_at	1.264
1405_i_at	1.248
32196_at	1.245
39381_at	1.242
36926_at	1.241
36965_at	1.238
38651_at	1.22
34824_at	1.217
32334_f_at	1.183
38364_at	1.164
36608_at	1.162
558_at	-4.132
36894_at	-3.891
404_at	-3.559
859_at	-2.933
40071_at	-2.924
40456_at	-2.732
35926_s_at	-2.625
37918_at	-2.513
36790_at	-2.433
41810_at	-2.41
35435_s_at	-2.381
39135_at	-2.353
38051_at	-2.347
39110_at	-2.32
34990_at	-2.262
38748_at	-2.222
31782_at	-2.217
34348_at	-2.217
36780_at	-2.155
34041_at	-2.141
2042_s_at	-2.096
36061_at	-2.083
1780_at	-2.07
40413_at	-2.004
35831_at	-2
36048_at	-1.969
35367_at	-1.961
1788_s_at	-1.912
33541_s_at	-1.912
39590_at	-1.901
39846_at	-1.89
40274_at	-1.887
820_at	-1.887
37788_at	-1.866
37263_at	-1.859
40607_at	-1.852
31849_at	-1.845
32598_at	-1.842
31823_at	-1.835
36997_at	-1.825
629_at	-1.821
1019_g_at	-1.789
39065_s_at	-1.786
38370_at	-1.779
436_at	-1.779
32218_at	-1.745
41530_at	-1.739
38081_at	-1.73
932_i_at	-1.727
36941_at	-1.724
32743_at	-1.721
36142_at	-1.721
1519_at	-1.718
1056_s_at	-1.715
35704_at	-1.709
995_g_at	-1.706
41715_at	-1.681
1616_at	-1.672
37598_at	-1.672
38863_at	-1.669
35343_at	-1.664
34283_at	-1.653
41147_at	-1.653
36282_at	-1.65
35729_at	-1.647
37695_at	-1.634
33136_at	-1.629
41264_at	-1.623
1151_at	-1.613
39124_r_at	-1.613
37200_at	-1.61
40599_at	-1.605
37968_at	-1.603
34249_at	-1.6
37357_at	-1.595
40147_at	-1.59
40377_at	-1.58
41600_at	-1.577
32558_at	-1.575
37655_at	-1.567
40956_at	-1.567
37219_at	-1.56
32215_i_at	-1.538
33811_at	-1.538
32140_at	-1.534
34800_at	-1.531
31722_at	-1.524
1529_at	-1.522
41214_at	-1.517
610_at	-1.511
41129_at	-1.495
36474_at	-1.484
