Probe Set ID	Fold Change
37006_at	2.572
40934_at	2.431
40022_at	2.394
40145_at	1.799
1136_at	1.677
35091_at	1.63
37746_r_at	1.624
39296_at	1.586
1863_s_at	1.58
1611_s_at	1.483
41130_at	1.423
1953_at	1.394
40348_s_at	1.304
38913_at	1.296
35419_g_at	1.261
34896_at	1.241
40071_at	-5.988
859_at	-5.848
39593_at	-3.774
35372_r_at	-3.115
36941_at	-2.674
35704_at	-2.545
35926_s_at	-2.538
31697_s_at	-2.304
875_g_at	-2.288
41208_at	-2.193
37219_at	-2.16
35367_at	-2.053
37068_at	-2.053
37039_at	-2
34276_at	-1.905
37391_at	-1.862
39959_at	-1.848
31919_at	-1.842
34974_at	-1.842
34028_at	-1.815
34854_at	-1.815
40310_at	-1.812
35343_at	-1.805
33705_at	-1.789
35479_at	-1.789
38168_at	-1.767
34951_at	-1.757
995_g_at	-1.757
36804_at	-1.739
38745_at	-1.739
40207_g_at	-1.739
41349_at	-1.736
31675_s_at	-1.709
38631_at	-1.698
40049_at	-1.695
36773_f_at	-1.681
32112_s_at	-1.672
36997_at	-1.669
32558_at	-1.647
36294_at	-1.639
41044_at	-1.637
38466_at	-1.626
40813_at	-1.6
610_at	-1.59
37716_at	-1.58
595_at	-1.56
32618_at	-1.553
35729_at	-1.538
39402_at	-1.506
32542_at	-1.497
37274_at	-1.49
1954_at	-1.477
39444_at	-1.443
41626_at	-1.441
1445_at	-1.435
41676_at	-1.425
39078_at	-1.42
32329_at	-1.33
36825_at	-1.312
