PROBESET	GENE SYMBOL	BIOLOGICAL DESCRIPTION
202638_s_at	ICAM1	cell-cell adhesion /// cell adhesion
203864_s_at	ACTN2	cell adhesion /// microspike biogenesis /// regulation of apoptosis /// focal adhesion formation /// protein homotetramerization
207880_at	ADAM11	proteolysis /// integrin-mediated signaling pathway
208237_x_at	ADAM22	proteolysis /// cell adhesion /// negative regulation of cell adhesion /// central nervous system development
209521_s_at	AMOT	actin cytoskeleton organization and biogenesis /// positive regulation of blood vessel endothelial cell migration /// positive regulation of angiogenesis
207172_s_at	CDH11	ossification /// cell adhesion /// homophilic cell adhesion /// homophilic cell adhesion /// skeletal development /// cell adhesion /// cell-cell adhesion
206327_s_at	CDH15	cell adhesion /// homophilic cell adhesion /// cell adhesion
215883_at	CTNNA1	cell adhesion /// apical junction assembly /// cell adhesion
212793_at	DAAM2	cell organization and biogenesis /// actin cytoskeleton organization and biogenesis
201350_at	FLOT2	cell adhesion /// epidermis development /// cell adhesion
216579_at	GJB4	cell communication /// sensory perception of sound /// cell communication
207389_at	GP1BA	cell adhesion /// cell surface receptor linked signal transduction /// platelet activation /// regulation of blood coagulation /// fibrinolysis /// cell adhesion /// blood coagulation /// hemostasis /// cell adhesion
216535_at	IGSF4B	cell adhesion /// homophilic cell adhesion /// heterophilic cell adhesion
214927_at	ITGBL1	cell adhesion /// cell adhesion /// cell-matrix adhesion /// integrin-mediated signaling pathway
210990_s_at	LAMA4	regulation of cell adhesion /// regulation of cell migration /// regulation of embryonic development /// cell adhesion
217892_s_at	LIMA1	negative regulation of actin filament depolymerization /// ruffle organization and biogenesis /// actin filament bundle formation
209086_x_at	MCAM	cell adhesion /// morphogenesis /// cell adhesion
211880_x_at	PCDHGA1	cell adhesion /// homophilic cell adhesion
216352_x_at	PCDHGA3	cell adhesion /// homophilic cell adhesion
221682_s_at	PCDHGB6	cell adhesion /// homophilic cell adhesion
47069_at	PRR5	signal transduction /// actin cytoskeleton organization and biogenesis /// positive regulation of cell migration
206049_at	SELP	cell adhesion /// cell adhesion
210796_x_at	SIGLEC6	cell adhesion /// cell-cell signaling
38487_at	STAB1	receptor mediated endocytosis /// receptor mediated endocytosis /// inflammatory response /// cell adhesion /// cell adhesion /// cell-cell signaling /// cell-cell signaling /// negative regulation of angiogenesis /// negative regulation of angiogenesis /
204649_at	TROAP	cell adhesion /// cell adhesion
