Gene	Rank	RMS	RES	CE
TRIB2	16	1.72490871	0.11517649	Yes
RNF43	21	1.6367898	0.22535299	Yes
TBX3	100	1.30227447	0.30709845	Yes
GLUL	121	1.26359141	0.3908172	Yes
LGR5	194	1.16872096	0.4640213	Yes
RHBG	268	1.10767746	0.53302556	Yes
FABP4	319	1.0759263	0.60170454	Yes
TUBB	359	1.05527043	0.6698586	Yes
SLC13A3	471	0.99989092	0.7285829	Yes
NPR2	541	0.96586859	0.78833044	Yes
HIST1H1C	1020	0.80670422	0.80500406	Yes
MERTK	1943	0.60305518	0.7728341	Yes
MME	2026	0.58792692	0.8060408	Yes
WIF1	3220	0.39543504	0.7384341	No
CSRP2	5893	0.068099	0.53182256	No
GSTM4	7081	-0.05141963	0.4414671	No
