GO id	GO term	Array count	List count	p-value	Gene symbol	Use
6512	ubiquitin cycle	297	38	1.38E-06	SAE2;HUWE1;MARCH6;UBD;STAMBP;RNF38;DDB1;MARCH8;RNF44;USP22;FBXO46;SUZ12;FBXW2;CACYBP;MID1;EDD1;ANAPC5;UFC1;FBXL12;DET1;UBE2Q1;UBE2Z;TSG101;UBE2D2;UBE2G1;UBE2L3;VCP;BAP1;BRAP;CUL4B;CDC23;UBE3B;USP14;DZIP3;USP34;CUL7;USP3;RBX1	In biological process
51276	chromosome organization and biogenesis	314	39	2.12E-06	HUWE1;PTGES3;EHMT2;MORF4L1;CBX1;CHD4;SUPT16H;TSPYL4;CBX6;SUZ12;HDAC2;NAP1L1;SMARCAL1;PHF21A;ARID4B;JMJD1B;HSMPP8;H2AFY2;PSEN1;EP400;CHD8;RFC1;RPS3;SMYD3;SMARCB1;SMARCC1;SMARCE1;SUPT4H1;VPS72;WHSC1;MIS12;HMGA2;ARID1A;TRRAP;TNKS;CDC23;BAZ1B;SMC3;SETDB1	In biological process
16568	chromatin modification	151	24	3.07E-06	HUWE1;EHMT2;MORF4L1;CHD4;CBX6;SUZ12;HDAC2;SMARCAL1;PHF21A;JMJD1B;H2AFY2;EP400;CHD8;SMYD3;SMARCB1;SMARCC1;SMARCE1;SUPT4H1;VPS72;WHSC1;ARID1A;TRRAP;BAZ1B;SETDB1	In biological process
6996	organelle organization and biogenesis	831	78	3.19E-06	HUWE1;ARPC2;STX6;ARPC1A;PTGES3;EHMT2;MORF4L1;CBX1;CHD4;SUPT16H;EXOSC8;DLG1;DYNC1H1;DYNC1I2;TUBB;COG2;PALLD;RRP1B;TSPYL4;CLASP1;CBX6;SUZ12;ABL1;RACGAP1;SAC3D1;HDAC2;HIP1;KIF2A;LASP1;M6PR;MAP4;MID1;MPV17;NAP1L1;SMARCAL1;NAGPA;PHF21A;NCKIPSD;ATP6V1H;ARID4B;JMJD1B;HSMPP8;RHOT1;H2AFY2;ACTR10;PSEN1;RAB22A;EP400;CHD8;MARK4;RASA1;RFC1;RPS3;RPS14;SMYD3;SMARCB1;SMARCC1;SMARCE1;SUPT4H1;TBCE;VPS72;THY1;TP53;WHSC1;MIS12;HMGA2;ARID1A;CAPZA1;TRRAP;DYNLRB1;AP3B1;TNKS;CDC23;PEX11B;WASF1;BAZ1B;SMC3;SETDB1	In biological process
46907	intracellular transport	510	54	3.86E-06	BCAP31;STX6;COG5;APPBP2;KHDRBS1;VPS45;AP3S1;COPA;CSE1L;DYNC1H1;DYNC1I2;LGTN;TUBB;COG2;SEC31A;GGA2;GGA3;VPS41;NRBP1;HSP90AA1;ARF1;ARF3;KIF2A;KPNB1;KPNA3;M6PR;DERL2;NAGPA;NCKIPSD;ATP6AP1;SLC25A36;RHOT1;IPO9;NUP133;ACTR10;SNX6;SRP14;SSR1;TP53;TPR;VCP;STAM;ANP32A;DYNLRB1;ANKRD27;RANBP3;AP3B1;COPB2;RPL23;SCAMP1;GOSR2;SEC24C;TOMM20;G3BP2	In biological process
6323	DNA packaging	245	31	1.62E-05	HUWE1;EHMT2;MORF4L1;CBX1;CHD4;SUPT16H;TSPYL4;CBX6;SUZ12;HDAC2;NAP1L1;SMARCAL1;PHF21A;ARID4B;JMJD1B;HSMPP8;H2AFY2;EP400;CHD8;SMYD3;SMARCB1;SMARCC1;SMARCE1;SUPT4H1;VPS72;WHSC1;HMGA2;ARID1A;TRRAP;BAZ1B;SETDB1	In biological process
6259	DNA metabolic process	585	55	9.26E-05	HUWE1;SPHAR;EHMT2;MORF4L1;CBX1;CHD4;SUPT16H;DDB1;FANCF;TSPYL4;CBX6;SUZ12;SMUG1;ABL1;XRCC6;REPIN1;HDAC2;MCM3;NAP1L1;NONO;SMARCAL1;GMNN;PHF21A;ARID4B;JMJD1B;PMS1;POLRMT;HSMPP8;PPP2R1A;H2AFY2;EP400;CHD8;RFC1;RPA1;MMS19L;SMYD3;SMARCB1;SMARCC1;SMARCE1;SUPT4H1;VPS72;TP53;TSN;VCP;WHSC1;NHEJ1;HMGA2;ARID1A;TRRAP;CUL4B;BAZ1B;SMC3;SLK;SETDB1;RBX1	In biological process
51649	establishment of cellular localization	613	57	9.32E-05	BCAP31;STX6;COG5;APPBP2;KHDRBS1;VPS45;AP3S1;COPA;CSE1L;DYNC1H1;DYNC1I2;LGTN;TUBB;COG2;SEC31A;GGA2;GGA3;EXOC7;VPS41;NRBP1;HSP90AA1;ARF1;ARF3;KIF2A;KPNB1;KPNA3;M6PR;DERL2;NAGPA;NCKIPSD;ATP6AP1;SLC25A36;RHOT1;IPO9;NUP133;EXOC2;ACTR10;SNX6;SRP14;SSR1;TP53;TPR;VCP;STAM;ANP32A;DYNLRB1;ANKRD27;RANBP3;AP3B1;CDC23;COPB2;RPL23;SCAMP1;GOSR2;SEC24C;TOMM20;G3BP2	In biological process
16071	mRNA metabolic process	236	28	0.000129	HNRPR;SF3A1;ADAR;PAIP1;KHDRBS1;PAPOLA;RNPS1;DCP2;ELAVL1;HNRPA3;ZHX2;PPWD1;TARDBP;HNRPC;HNRPK;NONO;PCBP2;PRPF40A;RBM4;DHX35;SNRPB;SRPK2;SF3A2;RBM4B;KHSRP;RNMT;AQR;ROD1	In biological process
9058	biosynthetic process	981	79	0.000520	SPTLC1;PAIP1;IGF2BP2;PTGES3;ARPP-19;B3GNT1;C14orf1;LGTN;EIF4A2;EPRS;EXT2;FASN;FDFT1;FDPS;COG2;PUM2;GLUL;GYG1;DONSON;ACACA;HMGCR;HMGCS1;HSPB1;HSP90AA1;HSP90AB1;IMPDH2;EIF3S6;LTA4H;MTR;ACLY;NSDHL;EIF3S6IP;NAG;ATP6V1H;ATP5G2;ATP6V1B2;PIGC;ATP6AP1;PIGG;PPOX;PRPSAP2;UGCGL1;QARS;ELOVL5;RPL9;RPL15;RPL28;RPL32;RPL37;RPL39;RPL41;RPLP1;RPS3;RPS6;RPS11;RPS14;RPS18;RPS19;RPS23;RPS24;RPS27;SCD;MRPL9;SQLE;TPR;CAD;ALG8;PANK2;GNPAT;OGT;DENR;PDXK;GMPS;EIF2B4;ATP6V0E1;PAPSS1;RPL23;GGPS1;PUM1	In biological process
