Fold changes	GenBank accession number	Name	Description	Biological process
6.58	NM_000610	CD44	CD44 antigen (Indian blood group)	Cell adhesion; receptor activity; membrane; collagen binding; hyaluronic acid binding; cell–cell adhesion; cell–matrix adhesion; integral to plasma membrane
5.41	NM_016941	DLL3	Delta-like 3 (Drosophila)	Integral to membrane; skeletal development; cell differentiation; cell fate determination; Notch signaling pathway; embryonic development (sensu Mammalia); Notch binding; nervous system development
2.88	NM_014443	IL17B	Interleukin 17B	Immune response; signal transducer activity; cell–cell signaling; cytokine activity
2.21	NM_003744	NUMB	Numb homolog (Drosophila)	Development; membrane; integral to plasma membrane
2.33	NM_004756	NUMBL	Numb homolog (Drosophila)-like	Nervous system development
0.38	NM_003508	FZD9	Frizzled homolog 9 (Drosophila)	Plasma membrane; integral to membrane; G-protein coupled receptor protein signaling pathway; development; neurogenesis; G-protein coupled receptor activity; Wnt receptor activity; frizzled signaling pathway
0.37	NM_004120	GBP2	Guanylate binding protein 2, interferon-inducible	GTP binding; GTPase activity; immune response
0.23	NM_005269	GLI1	Glioma-associated oncogene homolog 1 (zinc finger protein)	Signal transduction; DNA binding; nucleus; protein binding; zinc ion binding; development; RNA polymerase II transcription factor activity; metal ion binding; transcription; regulation of transcription from RNA polymerase II promoter; regulation of smoothened signaling pathway;
0.38	NM_005270	GLI2	GLI-Kruppel family member GLI2	Signal transduction; regulation of transcription, DNA-dependent; nucleus; transcription factor activity; Zinc ion binding; transcription co-activator activity; metal ion binding; transcription; transcription from RNA polymerase II promoter; organ morphogenesis
0.14	NM_000619		Interferon, gamma	Regulation of cell growth; extracellular; immune response; cell surface receptor linked signal transduction; cell motility; cell–cell signaling; cytokine activity; interferon-gamma receptor binding;
0.49	NM_000424	KRT5	Keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/ Weber-Cockayne types)	Structural constituent of cytoskeleton; epidermis development; intermediate filament
0.49	NM_024408	NOTCH2	Notch homolog 2 (Drosophila)	Calcium ion binding; regulation of transcription, DNA-dependent; nucleus; protein binding; induction of apoptosis; anti-apoptosis; negative regulation of cell proliferation; cell cycle arrest; receptor activity; integral to plasma membrane; cell differentiation; neurogenesis; protein heterodimerization activity; cell fate determination; cell growth; regulation of development; hemopoiesis; cell surface; morphogenesis of an epithelial sheet; ligand-regulated transcription factor activity; Notch signaling pathway; determination of left/right symmetry; positive regulation of RAS protein signal transduction; stem cell maintenance
0.08	NM_000435	NOTCH3	Notch homolog 3 (Drosophila)	Integral to membrane; calcium ion binding; regulation of transcription; DNA-dependent; receptor activity integral to plasma membrane; cell differentiation; morphogenesis; regulation of development
