Gene Name	GeneSymbol	Fold Change	P
Chromosome 11 open reading frame 17	C11orf17	-2.12	0.0239
Calpain 3	CAPN3	2	0.0263
Calpain 3	CAPN3	2.1	0.041
Creatine kinase, brain	CKB	-2.46	0.0189
Cysteine and glycine-rich protein 2	CSRP2	-2.41	0.0189
Death-associated protein kinase 2	DAPK2	2.23	0.0322
Dipeptidyl-peptidase 4	DPP4	2.83	0.0127
Dipeptidyl-peptidase 4	DPP4	2.51	0.0117
Homogentisate 1,2-dioxygenase	HGD	-3.17	0.0149
Myosin, heavy chain 10	MYH10	2.73	0.0214
Phosphonoformate immunoassociated protein 5	PFAAP5	2.59	0.0189
Phosphonoformate immunoassociated protein 5	PFAAP5	2.28	0.0258
Placental growth factor	PGF	-2.22	0.0301
Myosin, heavy chain 10	MYH10	2.73	0.0214
PBX/knotted 1 homeobox 2	PKNOX2	-2.31	0.0455
Protein kinase, cAMP-dependent	PRKACB	-2.2	0.0241
Glytaminyl-peptide cyclotransferase	QPCT	3.43	0.0136
RAB27A, member RAS oncogene	RAB27A	2.41	0.0111
RAB27A, member RAS oncogene	RAB27A	2.08	0.0063
Retinoid X receptor, gamma	RXRG	2.57	0.0261
Solute carrier family25	SLC25A15	-2.75	0.0261
