P-value	Accession number	Gene	Symbol	Expression levels  1pLOH(+)	Expression levels 1pLOH(-)	Expression levels Normal brain	Chromosome
-1.96	J04177	Collagen type IX a 1	COL11A1	13±16	230±111	22±7	1p21
-1.94	M97388	Down-regulator of transcription 1	DR1	23±10	82±18	31±5	1p22
-1.87	AB029000	KIAA1077 protein	KIAA1077	2±0	50±39	2±0	8
-1.5	D49493	Growth differentiation factor 10	GDF10	2±0	37±49	2±0	10
-1.49	AB011173	KIAA0601 protein	KIAA0601	47±38	225±79	25±23	1p
-1.48	X74262	Retinoblastoma-binding protein 4 (RbAp48)	RBBP4	19±17	109±51	49±1	1p
-1.31	AL109671	cDNA clone EUROIMAGE 29222		19±25	103±60	80±6	15q
-1.25	AI806222	Arachidonate 5-lipoxygenase-activating protein	ALOX5AP	7±12	42±34	15±13	13
-1.17	AB028967	Potassium voltage-gated channel, Shal-related subfamily	KCND2	35±20	165±68	33±9	7q
-1.12	M59830	Heat shock 70 kD protein 1B	HSPA1B	25±22	90±35	119±60	6p
-1.12	AF056490	Phosphodiesterase 8A	PDE8A	103±38	318±133	217±99	15
-1.11	J04111	v-jun avian sarcoma virus 17 oncogene homolog	JUN	62±50	226±116	80±8	1p32-p31
-1.09	S78203	Solute carrier family 15, member 2	SLC15A2	2±0	31±42	2±0	3
-1.08	AF104922	Growth differentiation factor 8	GDF8	6±4	43±37	2±0	2q
-1.06	D11151	Endothelin receptor type A	EDNRA	27±22	94±45	11±2	4
-1.05	U80055	Cystein dioxygenase type I	CDO1	28±24	97±37	2±0	5q
