GenBank number	Normalized level of expression Normal	Normalized level of expression EAE	Normalized level of expression Recovery	Name	Function
X06143	0	22.46	2.34	CD2	T cell-specific molecules
X02339	0.23	6.13	0.95	CD3y	T cell-specific molecules
M20878	0	5.26	1	T cell receptor Vh13	T cell-specific molecules
L38444	0.83	8.15	0.56	T cell-specific GTPase	T cell-specific molecules
U04379	0.59	18.81	0	TCR xi-associated protein kinase (70 kDa)	T cell-specific molecules
M21932	0.07	4.78	1	H-2, class II antigen Ah1	MHC
U35330	0.04	5.62	1	H-2, class II, locus Mb1	MHC
X90807	0	15.75	1	H-2, class II, locus Mb2	MHC
X00246	0.34	3.63	1	H-2, D region locus 1	MHC
M27134	0.3	4.6	1	H-2, K region locus 2	MHC
M35244	0.57	4.22	1	H-2, T region locus 10	MHC
Y00629	0.69	5.62	0.93	H-2, T region locus 23	MHC
M27034	0.3	4.05	1	H-2, D2d	MHC
M61007	0.62	5.08	1	CCAAT/enhancer binding protein h	Transcription and translation factors
U28656	0.49	5.95	1	eIF4E binding protein 1	Transcription and translation factors
U20735	1	6.02	0.41	Jun-B oncogene	Transcription and translation factors
AF087434	0	26.68	0	NFAT, cytoplasmic 1	Transcription and translation factors
U06924	0.77	4.57	0.85	STAT1	Transcription and translation factors
L47650	0.73	2.68	0.93	STAT6	Transcription and translation factors
X13335	0	62.57	0	Disintegrin/metalloprotease domain 8	Chemokines and adhesion molecules
U29678	0.34	20.08	0.96	Chemokine (C-C) receptor 1	Chemokines and adhesion molecules
U56819	0.12	5.32	1	Chemokine (C-C) receptor 2	Chemokines and adhesion molecules
X94151	0.32	9.44	0.87	Chemokine (C-C) receptor 5	Chemokines and adhesion molecules
X07640	0	36.18	0	Integrin alpha M (Cd11b)	Chemokines and adhesion molecules
U50712	0	3.7	1	Small inducible cytokine A12	Chemokines and adhesion molecules
M19681	0.16	89.14	1	Small inducible cytokine A2	Chemokines and adhesion molecules
AF065947	0	7.42	1	Small inducible cytokine A5	Chemokines and adhesion molecules
M58004	0.17	6.26	1	Small inducible cytokine A6	Chemokines and adhesion molecules
X70058	0.47	70.94	0.88	Small inducible cytokine A7	Chemokines and adhesion molecules
U49513	0.25	9.46	1	Small inducible cytokine A9	Chemokines and adhesion molecules
M33266	0.79	29.54	0.75	Small inducible cytokine B10	Chemokines and adhesion molecules
M34815	0	30.13	1	Small inducible cytokine B9	Chemokines and adhesion molecules
U05894	0.33	9.48	0.83	CSF 1 receptor (granulocyte)	Cytokines and related molecules
M85078	0.53	3.93	1	CSF 2 receptor alpha, low-affinity	Cytokines and related molecules
M34397	1	5.43	0.29	CSF 2 receptor beta1, low-affinity	Cytokines and related molecules
M29855	0.24	10.15	1	CSF 2 receptor, beta2, low-affinity	Cytokines and related molecules
U88325	0.51	6.82	1	Cytokine inducible SH2-containing protein 1	Cytokines and related molecules
U88328	0.19	21.22	0.87	Cytokine inducible SH2-containing protein 3	Cytokines and related molecules
AA9606570.48	8.65	0.96		Interferon activated gene 203	Cytokines and related molecules
M31419	0.31	10.7	1	Interferon activated gene 204	Cytokines and related molecules
V00755	0.43	5.34	1	Interferon beta (type 1)	Cytokines and related molecules
M63630	0.53	32.13	0.47	Interferon-gamma inducible protein, 47 kDa	Cytokines and related molecules
AB019505	0.65	9.16	0.82	Interferon-gamma inducing factor binding protein	Cytokines and related molecules
