Gene	Ratio ELCA/LaCa	Ratio BCH/N	Ratio BCH/N	Ratio N/BCH	Ratio BCH/N	Ratio DYS/CAIN	Ratio N/BCH	Ratio CAIN/DYS	Component
GAF	131	16							Component 1
CAPR	582	25							Component 1
CASP8	743	37							Component 1
MMp16	143	17							Component 1
DCC Precursor	316	12							Component 1
Tenascin-R	742	21							Component 1
ZAP70	157	83							Component 1
IL-13	110	22							Component 1
TRAIL receptor	66	82							Component 1
BMP5			284	170					Component 1
MIF			79	72					Component 1
N-myc			14	110					Component 1
RPSA			19	68					Component 1
RBL2			33	18					Component 1
RAD52			27	9					Component 1
RBQ1			15	55					Component 1
PCTK1					122	8			Component 2
DAXX					5	95			Component 2
P70					7	62			Component 2
CCNH					174	87			Component 2
CD153 antigen					70	31			Component 2
TLAA					9	39			Component 2
XPG					90	26			Component 2
Apoptosis Inhibitor Survivin					3	107			Component 2
Bcl-1 oncogene					122	19			Component 2
MERLIN							3	411	Component 2
LERK-8							31	334	Component 2
DSG2; HDGC							355	395	Component 2
MMP11							2	271	Component 2
CDK2							13	51	Component 2
CLK1							60	798	Component 2
MDMX							3	225	Component 2
