Drug	Symbol	Name	Biological process	Molecular function	Cellular component	Locus	ID
5-FU	COL4A5	Collagen type IV alpha 5	Structure	Collagen	Basement membrane	Xq22	1287
5-FU	CSK	C-src tyrosine kinase	Cell cycle, phosphorylation	Tyrosine kinase	Cytoplasm	15q23-q25	1445
5-FU	GABRB1	GABA A receptor beta1	Signaling small molecule transport	GABA-inhibited Cl channel	Membrane	4p12	2560
5-FU	GMPR	Guanosine monophosphate reductase	Cold response, nucleic acid metabolism	GMP reductase	—	6p23	2766
5-FU	GSTP1	Glutathione S-transferase pi	Detoxification	Glutathione S-transferase	—	11q13	2950
5-FU	HPGD	Hydroxyprostaglandin dehydrogenase 15-(NAD)	Electron transport	Prostaglandin-D synthase	—	4q34-q35	3248
5-FU	HXB	Hexabrachion	Adhesion	Ligand binding/carrier	Extracellular matrix	9q33	3371
5-FU	SLC6A12	Solute carrier family 6 member 12	Small molecule transport	GABA transporter	Membrane	12p13	6539
5-FU	SLC17A2	Solute carrier family 17 member 2	Sodium transport, phosphate metabolism	Sodium phosphate symporter	Membrane	6p21.3	10246
5-FU	TAP1	Transporter 1 ATP-binding cassette subfamily B	Defense, peptide transport	ABC transporter	Membrane	6p21.3	6890
CDDP	SOD2	Superoxide dismutase 2	Oxidative stress response	Manganese superoxide dismutase	Mitochondrion	6q25.3	6648
ACNU	BPI	Bactericidal/permeability-increasing protein	Immunity	Gram-negative bacterial binding	Membrane	20q11.23-q12	671
ACNU	CPZ	Carboxypeptidase Z	Proteolysis	Metallocarboxypeptidase	—	4p16.1	8532
ACNU	NEDD4	Neural precursor cell exp. dev. down-regulated 4	Sodium transport, ubiquitination, transcription	Ubiquitin-protein ligase	Cytoplasm	15q	4734
ACNU	NFX1	Nuclear transcription factor X-box binding 1	Inflammation, repression of transcription	Transcription factor	Nucleus	9p13.1-p12	4799
ACNU	SLC26A2	Solute carrier family 26 member 2	Sulfate transport	Sulfate transporter	Membrane	5q31-q34	1836
ACNU	SNX1	Sorting nexin 1	Endocytosis	Degradation tagging	Membrane	15q22.1	6642
ACNU	SOD2	Superoxide dismutase 2	Oxidative stress response	Manganese superoxide dismutase	Mitochondrion	6q25.3	6648
ACNU	TIMP2	Tissue inhibitor of metalloproteinase 2	Metalloprotease inhibitor	Metalloprotease inhibitor	—	17q25	7077
MMC	ACADVL	Acyl-Coenzyme A dehydrogenase very long chain	Energy, fatty acid beta-oxidation	Long-chain acyl-CoA dehydrogenase	Mitochondrion	17p13-p11	37
MMC	AGA	Aspartylglucosaminidase	Deglycosylation	N4-(beta-N-acetylglucosaminyl)-L-	Lysosome	4q32-q33	175
