Acc. No.	Gene	Title	D1B/MPC	P value (D1B vs MPC)	D2B/MPC	P value (D2B vs MPC)	D7B/MPC	P value (D7B vs MPC)
AA035310	20D7-FC4	hypothetical protein	0.99	0.82	1.41	0.1	2.2	0.04
AA757429	AANAT	arylalkylamine N-acetyltransferase	1.56	0.52	2.27	0.23	2.8	0.01
T70056	ABCE1	ATP-binding cassette, sub-family E (OABP), member 1	0.42	0.13	0.35	0.04	0.38	0.1
W88571	ABP	Alu-binding protein with zinc finger domain	1.27	0.34	1.73	0.14	2.1	0.05
AA676663	ACADS	acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	1.53	0.05	2.29	0.04	2.57	0.01
AA136054	ACLY	ATP citrate lyase	1.03	0.82	1.19	0.68	0.24	0.05
R44290	ACTB	actin, beta	0.45	0.13	0.22	0.03	0.27	0.05
R44290	ACTB	actin, beta	0.47	0.12	0.23	0.04	0.32	0.03
R44290	ACTB	actin, beta	0.45	0.13	0.22	0.03	0.27	0.05
AA196000	ACTN3	actinin, alpha 3	1.47	0.85	1.51	0.52	3.18	0.01
R40850	ACTR1A	ARP1 (actin-related protein 1, yeast) homolog A (centractin alpha)	1.55	0.45	2.19	0.63	3.73	0.01
AA190508	ADAM12	a disintegrin and metalloproteinase domain 12 (meltrin alpha)	0.51	0.15	0.34	0.01	0.44	0.04
H59231	ADAM9	a disintegrin and metalloproteinase domain 9 (meltrin gamma)	0.75	0.41	0.39	0.11	0.24	0.04
N33274	ADE2H1	multifunctional polypeptide similar to SAICAR synthetase and AIR carboxylase	0.63	0.16	0.45	0.02	0.48	0.07
N93428	ADH2	alcohol dehydrogenase 2 (class I), beta polypeptide	4.94	0.09	18.05	0.04	84.15	0.01
AA007395	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	1.57	0.26	2.13	0	4.03	0.07
AA446120	ADM	adrenomedullin	0.34	0.04	0.29	0.03	0.45	0.01
AA055350	ADORA2B	adenosine A2b receptor	0.38	0.05	0.24	0.01	0.22	0.03
AA055350	ADORA2B	adenosine A2b receptor	0.38	0.05	0.24	0.01	0.22	0.03
R42153	AGA	aspartylglucosaminidase	0.28	0.04	0.4	0.15	0.33	0.12
AA458922	AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)	1.12	0.94	1.59	0.36	2.56	0.04
H09730	AK2	adenylate kinase 2	0.56	0.06	0.43	0	0.59	0.01
AA478543	AKAP12	A kinase (PRKA) anchor protein (gravin) 12	0.28	0.03	0.19	0	0.19	0.01
R93124	AKR1C1	aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)	15.24	0.02	9.94	0.01	9.56	0.02
AA916325	AKR1C3	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)	13.33	0.02	11.61	0.01	14.3	0.02
AA457097	AKT2	v-akt murine thymoma viral oncogene homolog 2	3.86	0.13	6.47	0.09	3.91	0.05
H11346	ALDH4	aldehyde dehydrogenase 4 (glutamate gamma-semialdehyde dehydrogenase; pyrroline-5-carboxylate dehydrogenase)	1.62	0.18	2.52	0.16	3.75	0.04
AA190871	ALPI	alkaline phosphatase, intestinal	2.07	0.03	2.47	0.08	3.14	0.01
AA479090	AMFR	autocrine motility factor receptor	1.05	0.23	1.41	0.16	2.32	0.01
N59532	AMT	aminomethyltransferase (glycine cleavage system protein T)	1.35	0.43	1.79	0.05	2.33	0
AA844818	AMY2A	amylase, alpha 2A; pancreatic	1.64	0.25	1.68	0.19	2.05	0.01
AA451895	ANXA5	annexin A5	0.68	0.32	0.39	0.08	0.25	0.05
AA036975	AOC3	amine oxidase, copper containing 3 (vascular adhesion protein 1)	1.28	0.39	1.99	0.11	2.55	0.03
AA085749	APACD	ATP binding protein associated with cell differentiation	0.53	0.01	0.42	0.05	0.64	0.09
AA454580	APOC2	apolipoprotein C-II	1.32	0.36	1.46	0.17	2.02	0.01
AA457084	APOD	apolipoprotein D	6.04	0.03	11.36	0.02	34.64	0.03
W42849	APP	amyloid beta (A4) precursor protein (protease nexin-II, Alzheimer disease)	0.89	0.56	1.58	0.32	2.56	0.05
T71316	ARF4	ADP-ribosylation factor 4	0.39	0.04	0.32	0.02	0.37	0.03
AA143437	ARHD	ras homolog gene family, member D	2.56	0.08	2.81	0.19	4.28	0.03
AA487426	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	0.71	0.33	0.52	0.13	0.5	0
N51280	ARL1	ADP-ribosylation factor-like 1	0.79	0.41	0.51	0.06	0.44	0.04
H25917	ARPC2	actin related protein 2/3 complex, subunit 2 (34 kD)	0.77	0.24	0.43	0.07	0.25	0.01
H73276	ARPC3	actin related protein 2/3 complex, subunit 3 (21 kD)	0.45	0.01	0.35	0.06	0.3	0.01
W55964	ARPC5	actin related protein 2/3 complex, subunit 5 (16 kD)	0.84	0.5	0.39	0.04	0.59	0.17
H45449	ARSA	arylsulfatase A	1.54	0.14	1.98	0.21	3.27	0.03
H58255	ASGR1	asialoglycoprotein receptor 1	1.58	0.09	2.03	0.17	2.43	0.01
R98050	ASGR2	asialoglycoprotein receptor 2	1.27	0.53	1.64	0.28	2.4	0
AA873355	ATP1A1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	2.24	0.09	1.44	0.87	2.85	0.02
H85355	ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	0.53	0.1	0.47	0.04	0.46	0.04
AA453765	ATP5F1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit b, isoform 1	0.8	0.26	0.58	0.06	0.45	0.03
AA046701	ATP5G1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9), isoform 1	0.59	0.16	0.48	0.06	0.5	0
N90281	B7	B7 protein	1.82	0.22	1.98	0.31	2.76	0.04
AA488676	BASP1	brain acid-soluble protein 1	0.57	0.19	0.31	0.07	0.25	0.04
AA419342	BCR	breakpoint cluster region	1.97	0.22	2.36	0.1	3.27	0.02
H54289	BET1	Golgi vesicular membrane trafficking protein p18	0.61	0.13	0.49	0.03	0.47	0.04
AA446839	BNIP3	BCL2/adenovirus E1B 19kD-interacting protein 3	0.58	0.24	0.35	0.04	0.43	0.21
R83000	BTF3	basic transcription factor 3	0.81	0.32	0.45	0.05	0.62	0.07
N70463	BTG1	B-cell translocation gene 1, anti-proliferative	2.12	0.01	2.64	0.07	3.49	0.25
H69583	BTG2	BTG family, member 2	1.68	0.19	2.88	0.1	2.93	0.05
AA411202	C14ORF3	chromosome 14 open reading frame 3	0.46	0.04	0.32	0.02	0.42	0.06
AA481438	C1NH	complement component 1 inhibitor (angioedema, hereditary)	0.81	0.27	1.35	0.13	5.8	0.02
T69603	C1R	complement component 1, r subcomponent	1.86	0.06	2.79	0.09	6.62	0.01
N53664	C5	complement component 5	1.95	0.17	2.05	0.08	5.43	0.05
AA171613	CA12	carbonic anhydrase XII	1.77	0.19	1.79	0.66	3.37	0.04
AA045180	CA150	transcription factor CA150	0.35	0.09	0.3	0.05	0.35	0.09
R36947	CACNB3	calcium channel, voltage-dependent, beta 3 subunit	2.53	0.02	2.24	0.36	4.15	0.08
R44288	CALM2	calmodulin 2 (phosphorylase kinase, delta)	0.34	0.02	0.32	0.04	0.35	0.07
AA126265	CANX	calnexin	0.64	0.05	0.4	0.01	0.44	0.01
R37953	CAP	adenylyl cyclase-associated protein	0.4	0.05	0.28	0.07	0.38	0.05
R37953	CAP	adenylyl cyclase-associated protein	0.5	0.08	0.37	0.03	0.41	0.08
H15456	CAPN1	calpain, large polypeptide L1	2.22	0.44	3.01	0.41	3.51	0.05
AA102454	CAPN2	calpain, large polypeptide L2	0.56	0.15	0.37	0.02	0.39	0.02
H44953	CASP4	caspase 4, apoptosis-related cysteine protease	0.62	0.23	0.46	0.02	0.56	0.13
AA055835	CAV1	caveolin 1, caveolae protein, 22kD	0.32	0.07	0.12	0.02	0.1	0.02
T89391	CAV2	caveolin 2	0.4	0.06	0.2	0.02	0.18	0.01
AA420997	CCIN	calicin	1.87	0.77	3.32	0.04	1.59	0.77
R60933	CCT3	chaperonin containing TCP1, subunit 3 (gamma)	0.53	0.01	0.47	0.05	0.51	0.05
H07880	CCT6A	chaperonin containing TCP1, subunit 6A (zeta 1)	0.36	0.04	0.22	0.01	0.22	0
H07880	CCT6A	chaperonin containing TCP1, subunit 6A (zeta 1)	0.58	0	0.3	0.03	0.23	0.01
AA443899	CD36L1	CD36 antigen (collagen type I receptor, thrombospondin receptor)-like 1	2.18	0.18	2.98	0.16	3.48	0.03
AA111969	CD83	CD83 antigen (activated B lymphocytes, immunoglobulin superfamily)	1.31	0.73	1.75	0.2	2.53	0.03
AA633993	CDC10	cell division cycle 10 (homologous to CDC10 of S. cerevisiae)	0.45	0.08	0.31	0.01	0.54	0.14
AA598974	CDC2	cell division cycle 2, G1 to S and G2 to M	0.31	0.04	0.4	0.12	0.38	0.09
N35067	CDC2L5	cell division cycle 2-like 5 (cholinesterase-related cell division controller)	1.36	0.51	1.73	0.36	3.04	0.01
AA789328	CDK10	cyclin-dependent kinase (CDC2-like) 10	1.29	0.37	1.86	0.16	2.13	0.02
N32604	CGB	chorionic gonadotropin, beta polypeptide	1.71	0.23	1.89	0.25	2.28	0.03
AA778077	CHD3	chromodomain helicase DNA binding protein 3	1.35	0.3	1.56	0.23	2.28	0.04
R15740	CHST1	carbohydrate (keratan sulfate Gal-6) sulfotransferase 1	2.71	0.05	2.84	0.04	3.5	0
R15740	CHST1	carbohydrate (keratan sulfate Gal-6) sulfotransferase 1	2.71	0.05	2.84	0.04	3.5	0
AA397813	CKS2	CDC28 protein kinase 2	0.41	0.06	0.43	0.04	0.5	0.17
H94482	CLDN5	claudin 5 (transmembrane protein deleted in velocardiofacial syndrome)	1.09	0.76	1.25	0.41	2.08	0.02
T52362	CLNS1A	chloride channel, nucleotide-sensitive, 1A	0.45	0.02	0.4	0.07	0.37	0.04
T54662	CLPS	colipase, pancreatic	1.63	0.16	1.79	0.11	2.35	0.01
AA708816	CLTCL1	clathrin, heavy polypeptide-like 1	1.67	0.07	2.31	0.05	3.18	0.02
R40446	CNTN2	contactin 2 (transiently expressed)	1.17	0.08	1.63	0.18	2.21	0.03
AA167223	COL14A1	collagen, type XIV, alpha 1; undulin	1.85	0.2	2.33	0.27	2.44	0.01
R54968	COL16A1	collagen, type XVI, alpha 1	1.71	0.01	2.03	0.04	4.27	0.11
