Gene	Clone	UG cluster	Fold-diff AT/L	t-value
carbonic anhydrase I	2101663	Hs.23118	17.96	8.6
chromodomain helicase DNA binding protein 3	1965248	Hs.25601	6.35	4.424
homeo box D13	3462557	Hs.158309	5.68	5.682
NIMA (never in mitosis gene a)-related kinase 3	1737403	Hs.2236	5.11	7.62
trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)	963536		2.91	5.381
neurotrophic tyrosine kinase, receptor, type 2	1912284	Hs.374634	2.78	4.754
homeo box B13	1861743	Hs.66731	2.77	7.813
solute carrier family 26 (sulfate transporter), member 2	1424624	Hs.29981	2.5	5.35
EST	1860042	Hs.18593	2.45	5.542
glycoprotein A33 (transmembrane)	1805613	Hs.143131	2.26	4.754
BENE protein	1560987	Hs.185055	2.14	5.668
EST, Highly similar to I38363 trypsin (EC 3.4.21.4) IV form b precursor - human (fragment) [H.sapiens]	2792982	Hs.398877	2.01	4.402
Kruppel-like factor 5 (intestinal)	2503714	Hs.84728	1.95	4.764
cytochrome P450, subfamily IIJ (arachidonic acid epoxygenase) polypeptide 2	1597231	Hs.152096	1.93	6.2
KIAA0703 gene product	2791383	Hs.6168	1.93	5.841
inositol 1,4,5-trisphosphate 3-kinase A	2012070	Hs.2722	1.81	5.461
carboxylesterase 2 (intestine, liver)	1804662	Hs.282975	1.78	4.824
nephronophthisis 1 (juvenile)	4256950	Hs.75474	1.68	5.97
desmoplakin (DPI, DPII)	179929	Hs.349499	1.68	6.479
mucin 1, transmembrane	2957567	Hs.89603	1.67	6.688
sucrase-isomaltase	2922143	Hs.2996	1.66	4.377
ESTs, Moderately similar to cytokine receptor-like factor 2; cytokine receptor CRL2 precusor [Homo sapiens] [H.sapiens]	1845590	Hs.409023	1.63	6.269
phosphoglucomutase 1	2674772	Hs.1869	1.58	5.199
galactose-4-epimerase, UDP-	1807294	Hs.76057	1.55	4.473
villin-like	2804190	Hs.103665	1.55	5.328
tumor necrosis factor (ligand) superfamily, member 13	1514760	Hs.54673	1.55	4.619
cytochrome P450, subfamily IVF, polypeptide 12	1985566	Hs.180570	1.54	6.034
absent in melanoma 1	2075425	Hs.161002	1.53	4.754
capping protein (actin filament), gelsolin-like	2508570	Hs.82422	1.5	4.96
calponin like transmembrane domain protein	1464613	Hs.396317	1.49	4.746
7-dehydrocholesterol reductase	3518380	Hs.11806	1.48	4.811
chitobiase, di-N-acetyl-	2879077	Hs.135578	1.48	4.643
basic helix-loop-helix domain containing, class B, 2	1732479	Hs.171825	1.48	7.578
interferon, alpha-inducible protein 27	2900277	Hs.278613	1.47	4.415
carboxypeptidase M	1525881	Hs.334873	1.46	4.916
ATPase, Na+/K+ transporting, beta 3 polypeptide	943901	Hs.76941	1.44	4.701
75 kda infertility-related sperm protein [human, testis, mRNA Partial, 2427 nt]	2962332		1.43	5.152
glutamic-pyruvate transaminase (alanine aminotransferase)	1630709	Hs.103502	1.39	5.154
75 kda infertility-related sperm protein [human, testis, mRNA Partial, 2427 nt]	3974014		1.37	4.808
ATPase, Class I, type 8B, member 1	2477948	Hs.388624	1.36	4.831
heterogeneous nuclear ribonucleoprotein A0	637639	Hs.77492	1.36	4.577
coronin, actin binding protein, 2A	2210264	Hs.44396	1.34	5.667
fatty acid amide hydrolase	1724809		1.33	5.872
arginyltransferase 1	1879587	Hs.355315	1.33	4.988
KIAA0672 gene product	2769881	Hs.6336	1.31	5.912
low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	1854432	Hs.54481	1.31	5.169
integrin, beta 4	1930711	Hs.85266	1.3	4.843
