Gene symbol	Gene description	n fold (average)	Expression
BCL2	B-cell CLL/lymphoma 2	5.855	Up-Regulated
TOSO	Regulator of Fas-induced apoptosis	4.588	Up-Regulated
PIK3CD	Phosphoinositide-3-kinase, catalytic,  polypeptide	3.525	Up-Regulated
IKBKB	Inhibitor of  k light polypeptide gene enhancer in B-cells, kinase beta	3.259	Up-Regulated
TNFRSF7	Tumor necrosis factor receptor superfamily, member 7	2.995	Up-Regulated
TNFSF4	Tumor necrosis factor (ligand) superfamily, member 4	2.878	Up-Regulated
TRAF5	TNF receptor-associated, factor 5	2.814	Up-Regulated
FIP2	Tumor necrosis factor  alpha-inducible cellular protein	2.675	Up-Regulated
TNFSF13	Tumor necrosis factor (ligand) superfamily, member 13	2.42	Up-Regulated
LTB	Lymphotoxin  beta(TNF superfamily, member 3)	2.41	Up-Regulated
TANK	TRAF family member-associated NF kB activator	2.325	Up-Regulated
TRAF6	TNF receptor-associated factor 6	2.321	Up-Regulated
ASC	Apoptosis-associated speck-like protein containing a CARD	2.25	Up-Regulated
CFLAR	CASP8 and FADD-like apoptosis regulator	2.152	Up-Regulated
DED	Apoptosis-antagonizing transcription factor	2.111	Up-Regulated
TNFAIP3	Tumor necrosis factor,  alpha-induced protein 3	2.075	Up-Regulated
CASP1	Caspase 1, apoptosis-related cysteine protease	2.027	Up-Regulated
CASP7	Caspase 7, apoptosis-related cysteine protease	0.464	Down-Regulated
STK17A	Serine/threonine kinase 17a (apoptosis-inducing)	0.422	Down-Regulated
CSE1L	Chromosome segregation 1 (yeast homolog)-like	0.406	Down-Regulated
BIRC2	Baculoviral IAP repeat-containing 2	0.394	Down-Regulated
STK17B	Serine/threonine kinase 17b (apoptosis-inducing)	0.388	Down-Regulated
BIRC5	Baculoviral IAP repeat-containing 5 (survivin)	0.36	Down-Regulated
