Gene description	Gene symbol	Image ID	Hazard ratio	Lower 95% CIa	Upper 95% CI	P	Expression level
Zinc finger protein 9	ZNF9	768504	0.26	0.1	0.7	0.003	1.0 +/- 1.7
IFN regulatory factor 3	IRF3	754199	0.27	0.1	0.7	0.004	-1.7 +/- 1.3
SRY (sex determining region Y)-box 3	SOX3	2017442	0.29	0.1	0.8	0.007	-2.8 +/- 2.1
Basigin	BSG	740717	0.28	0.1	0.9	0.01	-2 +/- 2.9
Protocadherin 1	PCDH1	338817	0.31	0.1	0.8	0.01	-5.9 +/- 2.5
Ribosomal protein L13a	RPL13A	590046	0.33	0.1	0.8	0.01	-2.4 +/- 2.9
Matrix metalloproteinase 14	MMP14	2015513	0.35	0.2	0.8	0.01	-2.2 +/- 2.2
Cystatin B	CSTB	588093	0.37	0.1	0.8	0.01	-3.5 +/- 1.5
Ephrin-A4	EFNA4	251603	0.38	0.1	0.9	0.01	1.0 +/- 1.8
Flightless I homologue	FLII	813489	0.39	0.1	0.8	0.01	-1.4 +/- 1.6
Alpha-fetoprotein	AFP	259793	0.39	0.1	0.8	0.01	-4 +/- 1.8
Zinc finger protein 162	ZNF162	770438	0.26	0.1	0.9	0.02	-4.6 +/- 2.7
IQ motif containing GTPase activating protein 1	IQGAP1	41500	0.28	0.1	0.9	0.02	-3.7 +/- 2.7
Ribosomal protein S15	RPS15	590802	0.31	0.1	0.9	0.02	-2.8 +/- 2.8
Interleukin 11 receptor, alpha	IL11RA	811920	0.35	0.1	1	0.02	1.1 +/- 1.4
Rho GTPase-activating protein 5	ARHGAP5	269753	0.35	0.1	0.8	0.02	-1.1 +/- 1.3
CDC28 protein kinase 1	CKS1A	298493	0.39	0.1	1	0.02	-4.4 +/- 1.7
Thymosin, beta 4, X chromosome	TMSB4	755444	0.39	0.1	0.9	0.02	1.0 +/- 4.8
HIV type I enhancer binding protein 2	HIVEP2	609261	0.33	0.1	0.9	0.02	-1.6 +/- 1.5
Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	YWHAZ	41897	0.32	0.1	0.9	0.03	-2.2 +/- 1.4
FK506 binding protein 8	FKBP8	325311	0.33	0.1	0.9	0.03	-5.9 +/- 3.3
Poly (rC) binding protein 2	PCBP2	305082	0.29	0.1	1	0.04	-7.7 +/- 3
CDC14 cell division cycle 14 homologue A	CDC14A	22306	0.33	0.1	1	0.04	-2.1 +/- 2.3
TNFRSF1A-associated via death domain	TRADD	824836	0.34	0.1	1	0.04	1.2 +/- 1.4
Peroxiredoxin 1	PRDX1	484685	0.36	0.1	1	0.04	-1.6 +/- 2.5
Caspase 10, apoptosis-related cysteine protease	CASP10	121409	0.38	0.1	1	0.04	-2.3 +/- 1.7
Protein tyrosine phosphatase, non-receptor type 9	PTPN9	488664	0.39	0.1	0.9	0.04	1.1 +/- 1.4
