Gene Symbol	Gene name	Ratio
	Protein tyrosinephosphatase, non-receptoe type	0.188
IGFBP7	Insulin-like growth factor binding protein 7	0.18
S100A4	Metastasin	0.147
MAGEA9	Melanoma antigen, family A, 9	0.146
AREG	Amphiregulin	0.145
ALDH3A1	 Aldehyde dehydrogenase 3	0.14
ALDH6A1	Aldehyde dehydrogenase 6	0.13
S100A2	S100 calcium-binding protein A2	0.111
ASAH1	N-acylsphingosine amidohydrolase	0.1
FHL1	Four and a half LIM domains 1	0.082
RGS3	Regulator of G-protein signaling 3	0.073
CNN3	Calponin 3, acidic	0.068
F3	 Coagulation factor III	0.06
TAGLN	Transgelin	0.059
DKK3	Dickkopf (Xenopus laevis) homolog 1	0.049
KLK5	 Kallikrein 5	0.033
LY6D	 Lymphocyte antigen 6 complex, locus D	0.027
FBP1	 Fructose- 1,6-bisphosphatase 1	0.024
KRT7	 Keratin 7	0.022
CRIP1	 Cystein-rich protein 1 (intestinal)	0.016
