Gene Name	GenBank ID
MS4A6	NM_152852
NDUFA2	MM_003488
EST	AI732395
DNAJA2	BC015809
EST	AI937789
GP2	AB035542
IHPK1	NM_153273
MTVR1	NM_152832
PDYN	NM_02441
NPTX1	U61849
RARRES1	BC029640
ERO1L	NM_014584
EST	Z44764
NCALD	AL_136613
EST	AL133585
SIAT1	NM_003032
SHD	AL390078
POLR2H	BC000739
C13ORF9	AF151903
BTN2A1	NM_007049
HTR1B	P79250
MRPL3	BC003375
ADD3	BC062559
PSMA3	BC038990
ITPKC	NM_025194
YES1	BC048960
B3GAT3	BC007906
RPS4X	NM_001007
ATP9B	NM_198531
TCEB3	BC002883
KIAA0373	AF273044
CREB1	NM_004379
SELP	NM_003005
EST	AF070641
EST	AW440572
SNAPC1	NM_003082
C8A	NM_000562
AREG	NM_001657
KYNU	NH_003937
SMYD2	AF226053
PRKAR1B	NM_002735
CRTAP	BC008746
RUVBL1	BC012886
FUCA1	BC017338
GBA	BC000349
ZBED1	NM_004729
CNTF	NM_000614
TRIP15	BC012629
GZMA	BC015739
POM121	AB014518
PGGT1B	NM_005023
RUNX1	NM_001754
ETV5	BC007333
