HUGO name	LocusLinkID	Gene name	PHA/IL-2-activated CD4+T-cells (TPM)	Acutely HTLV-1 transformed cells (TPM) B1 cells	Acutely HTLV-1 transformed cells (TPM) C5 cells	References
AKT2	208	v-akt murine thymoma viral oncogene homolog1,protein kinase B	14	25	68	NA
BCL2	596	B-cellCLL/lymphoma 2	9	20	9	26, 28
BCL2L1	598	B-cellCLL/lymphoma 2-like 1	5	125	52	26, 27, 28, 29
BIRC2	330	Baculovirus inhibitor of apoptosis protein (IAP) repeat containing (BIRC)2	NA	NA	NA	26
BIRC3	330	Baculovirus inhibitor of apoptosis protein (IAP) repeat containing (BIRC)3	17	311	320	26, 27, 31
BNIP3	664	BCL2/adenovirus E1B 19kDa interacting protein 3	NA	NA	171	26, 29, 31
BNIP3L	665	BCL2/adenovirus E1B 19kDa interacting protein 3-like	NA	64	48	NA
CFLIP	8837	Cellular FLICE inhibitory protein	41	248	135	NA
CASP8	841	Caspase8,apoptosis-related cysteine protease,FLICE	NA	NA	5	26, 27
DAD1	1603	Defender against cell death1	85	197	162	26, 28, 29
