Gene Symbol	Gene Function
BCLXL	Apoptosis-inhibiting genes
CDC25C	Apoptosis-inhibiting genes
IGFBP2	Apoptosis-inhibiting genes
PTGS2	Apoptosis-inhibiting genes
LTB	Apoptosis-inhibiting genes
MAPK8	Apoptosis-inhibiting genes
MCL1	Apoptosis-inhibiting genes
DNASE1L1	Apoptosis-inhibiting genes
PSEN2	Apoptosis-inhibiting genes
BCL3	Apoptosis-inhibiting genes
DAPK2	Pro-apoptosis genes
E2F1	Pro-apoptosis genes
NGFRAP1	Pro-apoptosis genes
TNFRSF1A	Pro-apoptosis genes
PPP1R15A	Pro-apoptosis genes
NGFRAP1	Pro-apoptosis genes
LTA	Pro-apoptosis genes
FASTK	Pro-apoptosis genes
DNASE1	Pro-apoptosis genes
CDK7	Postively regulating genes for Cell cycle
CDC27	Postively regulating genes for Cell cycle
CCNG2	Negatively regulating genes for Cell cycle
CDKN2D	Negatively regulating genes for Cell cycle
NUMA1	Negatively regulating genes for Cell cycle
DDIT3	Negatively regulating genes for Cell cycle
MNAT1	Negatively regulating genes for Cell cycle
QSOX1	Negatively regulating genes for Cell cycle
SREBF1	Unknown
IGFBP4	Unknown
PLEKHG5	Unknown
MAPK3	Unknown
SDC1	Unknown
HLA-C	Unknown
CBLB	Unknown
CBL	Unknown
MAP3K1	Unknown
JUN	Unknown
