Entrez ID	Name	Title	group	Bild probe	Brooks probe	MCF7-oncogene probe
87	ACTN1	actinin, alpha 1	ER-_HR	208637_x_at	854079	208636_at
2000	ELF4	E74-like factor 4 (ets domain transcription factor)	ER-_HR	31845_at	48614	203490_at
1969	EPHA2	EPH receptor A2	ER-_HR	203499_at	241530	203499_at
824	CAPN2	calpain 2, (m/II) large subunit	ER-_HR	208683_at	549728	208683_at
2633	GBP1	guanylate binding protein 1, interferon-inducible, 67kDa	ER-_HR	231577_s_at	841008	202269_x_at
5359	PLSCR1	phospholipid scramblase 1	ER-_HR	202430_s_at	268736	202446_s_at
56913	C1GALT1	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1	ER-_HR	219439_at	277346	219439_at
390	ARHE	Rho family GTPase 3	ER-_HR	212724_at	415851	212724_at
5621	PRNP	prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	ER-_HR	201300_s_at	812048	201300_s_at
3383	ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	ER-_HR	202638_s_at	293413	202638_s_at
3569	IL6	interleukin 6 (interferon, beta 2)	ER-_HR	205207_at	310406	205207_at
2131	EXT1	exostoses (multiple) 1	ER-_HR	201995_at	2568869	201995_at
5329	PLAUR	plasminogen activator, urokinase receptor	ER-_HR	210845_s_at	590154	210845_s_at
5271	SERPINB8	serpin peptidase inhibitor, clade B (ovalbumin), member 8	ER-_HR	206034_at	341978	206034_at
10644	IMP-2	IGF-II mRNA-binding protein 2	ER-_HR	218847_at	743774	218847_at
7378	UPP1	uridine phosphorylase 1	ER-_HR	203234_at	489677	203234_at
10479	SLC9A6	solute carrier family 9 (sodium/hydrogen exchanger), member 6	ER-_HR	203909_at	20115	203909_at
994	CDC25B	cell division cycle 25B	ER-_HR	201853_s_at	48398	201853_s_at
2023	ENO1	enolase 1, (alpha)	ER-_HR	217294_s_at	1637756	201231_s_at
4478	MSN	moesin	ER-_HR	200600_at	81332	200600_at
29970	SCHIP1	schwannomin interacting protein 1	ER-_HR	204030_s_at	506143	204030_s_at
3600	IL15	interleukin 15	ER-_HR	205992_s_at	289606	205992_s_at
7296	TXNRD1	thioredoxin reductase 1	ER-_HR	201266_at	789376	201266_at
8882	ZNF259	zinc finger protein 259	ER-_HR	200054_at	2062028	200054_at
2182	ACSL4	acyl-CoA synthetase long-chain family member 4	ER-_HR	202422_s_at	133988	202422_s_at
29980	DONSON	downstream neighbor of SON	ER-_HR	221677_s_at	752770	221677_s_at
8898	MTMR2	myotubularin related protein 2	ER-_HR	203211_s_at	754380	203211_s_at
4907	NT5E	5-nucleotidase, ecto (CD73)	ER-_HR	203939_at	42070	203939_at
25937	TAZ	WW domain containing transcription regulator 1	ER-_HR	202133_at	589869	202133_at
26064	RAI14	retinoic acid induced 14	ER-_HR	202052_s_at	823850	202052_s_at
7398	USP1	ubiquitin specific peptidase 1	ER-_HR	202412_s_at	489595	202413_s_at
7272	TTK	TTK protein kinase	ER-_HR	204822_at	2062329	204822_at
10946	SF3A3	splicing factor 3a, subunit 3, 60kDa	ER-_HR	203818_s_at	31866	203818_s_at
55003	PAK1IP1	PAK1 interacting protein 1	ER-_HR	218886_at	132111	218886_at
2037	EPB41L2	erythrocyte membrane protein band 4.1-like 2	ER-_HR	201719_s_at	417426	201718_s_at
3575	IL7R	interleukin 7 receptor	ER-_HR	226218_at	80344	205798_at
1075	CTSC	cathepsin C	ER-_HR	225647_s_at	845355	201487_at
1284	COL4A2	collagen, type IV, alpha 2	ER-_HR	211964_at	769959	211964_at
858	CAV2	caveolin 2	ER-_HR	203324_s_at	110467	203323_at
26031	OSBPL3	oxysterol binding protein-like 3	ER-_HR	209626_s_at	139540	209627_s_at
2920	CXCL2	chemokine (C-X-C motif) ligand 2	ER-_HR	209774_x_at	153340	209774_x_at
10403	KNTC2	kinetochore associated 2	ER-_HR	204162_at	345787	204162_at
140885	PTPNS1	protein tyrosine phosphatase, non-receptor type substrate 1	ER-_HR	202897_at	731118	202897_at
9322	TRIP10	thyroid hormone receptor interactor 10	ER-_HR	202734_at	37491	202734_at
9056	SLC7A7	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	ER-_HR	204588_s_at	2420792	204588_s_at
6732	SRPK1	SFRS protein kinase 1	ER-_HR	202200_s_at	856135	202199_s_at
136	ADORA2B	adenosine A2b receptor	ER-_HR	205891_at	377252	205891_at
