Probe set ID	Fold change	P-value	UniGene ID	Gene title	Gene symbol	Chromosome
201508_at	1/7.46426	0.999759	Hs.462998	Insulin-like growth factor binding protein 4	IGFBP4	chr17q12-q21.1
203186_s_at	1/5.27803	0.998664	Hs. 57609	S100 calcium binding protein A4 (calcium protein, calvasculin, metastasin, murine placental homolog)	S100A4	chr1q21
203409_at	1/6.06287	0.99998	Hs.446564	Damage-specific DNA binding protein 2, 48kDa	DDB2	chr11p12-p11
203913_s_at	1/6.96440	0.99997	Hs.77348	Hydroxyprostaglandin dehydrogenase 15-(NAD)	HPGD	chr4q34-q35
204279_at	1/5.27803	0.999954	Hs.132682	Proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2)	PSMB9	chr6p21.3
204379_s_at	1/12.9960	0.999226	Hs.1420	Fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	FGFR3	chr4p16.3
204484_at	1/16.0000	0.999954	Hs.497487	Phosphoinositide-3-kinase, class 2, beta polypeptide	PIK3C2B	chr1q32
204610_s_at	1/13.9288	0.99996	Hs.66713	Hepatitis delta antigen-interacting protein A	DIPA	chr11q12.1
204824_at	1/12.1257	0.99997	Hs.591905	Endonuclease G	ENDOG	chr9q34.1
205081_at	1/14.9285	0.999977	Hs.70327	Cysteine-rich protein 1 (intestinal)	CRIP1	chr14q32.33
205097_at	1/13.9288	0.99998	Hs.302738	Solute carrier family 26 (sulfate transporter), member 2	SLC26A2	chr5q31-q34
205449_at	1/12.1257	0.999977	Hs.23642	Sac3 homology domain 1 (S. cerevisiae)	SHD1	chr11q13.1
209605_at	1/8.57419	0.99998	Hs.474783	Thiosulfate sulfurtransferase (rhodanese)	TST	chr22q13.1
212775_at	1/19.6983	0.999759	Hs.526594	KIAA0657 protein	KIAA0657	chr2q35
217853_at	1/6.49802	0.99998	Hs.520814	Tensin-like SH2 domain containing 1	TENS1	chr7p13-p12.3
218075_at	1/6.96440	0.999786	Hs.369144	Achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)	AAAS	chr12q13
218500_at	1/6.49802	0.999932	Hs.368402	Mesenchymal stem cell protein DSCD75	LOC51337	chr8q24.3
218676_s_at	1/16.0000	0.99998	Hs.285218	Phosphatidylcholine transfer protein	PCTP	chr17q21-q24
219373_at	1/14.9285	0.997968	Hs.110477	Dolichyl-phosphate mannosyltransferase polypeptide 3	DPM3	chr1q22
219785_s_at	1/21.1121	0.999853	Hs.567582	F-box protein 31	FBXO31	chr16q24.2
220770_s_at	1/19.6983	0.99996	Hs.529464	Transposon-derived Buster3 transposase-like	LOC63920	chr5q33.3
221666_s_at	1/16.0000	0.99998	Hs.499094	PYD and CARD domain containing	PYCARD	chr16p12-p11.2
221864_at	1/8.57419	0.999135	Hs.460617	Transmembrane protein 142C	TMEM142C	chr16p11.2
65630_at	1/5.27803	0.999563	Hs.448664	Transmembrane protein 80	TMEM80	chr11p15.5
