miRNA	Predicted Targets	Expression
hsa-mir-22	HOXA6-HOXA4	Down-Regulated
hsa-mir-192	NA	Down-Regulated
hsa-mir-128a-1	HOXA3-HOXA13-HOXB8-HOXC6-HOXA10-MEIS1	Down-Regulated
hsa-mir-383	NA	Down-Regulated
hsa-mir-373	NA	Down-Regulated
hsa-mir-324	MEIS1	Down-Regulated
hsa-mir-127	HOXB4	Down-Regulated
hsa-mir-373	NA	Down-Regulated
hsa-mir-139	HOXA9-MEIS1	Down-Regulated
hsa-mir-193b	HOXD13	Down-Regulated
hsa-mir-145	HOXC11-HOXA9	Down-Regulated
hsa-mir-498	HOXA9, HOXA5	Down-Regulated
hsa-mir-135a-1	HOXA10	Down-Regulated
hsa-mir-299	NA	Down-Regulated
hsa-mir-429	NA	Down-Regulated
hsa-mir-493	NA	Down-Regulated
hsa-mir-326	NA	Down-Regulated
hsa-mir-204	HOXB6- HOXB8-MEIS1-HOXA10	Down-Regulated
hsa-mir-198	HOXC5-HOXB4	Down-Regulated
hsa-mir-486	NA	Down-Regulated
hsa-mir-196a-1	HOXC8-HOXB7-HOXD8-HOXB6-HOXA1-HOXB8	Down-Regulated
