Probe ID	Gene Symbol
204562_at	IRF4
204133_at	RNU3IP2
212396_s_at	KIAA0090
212009_s_at	STIP1
210337_s_at	ACLY
217294_s_at	ENO1
202107_s_at	MCM2
211141_s_at	CNOT3
209825_s_at	UCK2
200956_s_at	SSRP1
200952_s_at	CCND2
205965_at	BATF
201555_at	MCM3
209052_s_at	WHSC1
204023_at	RFC4
201614_s_at	RUVBL1
203976_s_at	CHAF1A
201577_at	NME1
204126_s_at	CDC45L
213730_x_at	TCF3
204780_s_at	FAS
207645_s_at	CHD1L
208930_s_at	ILF3
216252_s_at	FAS
217829_s_at	USP39
209836_x_at	BOLA2
204026_s_at	ZWINT
216986_s_at	IRF4
220688_s_at	C1orf33
202779_s_at	UBE2S
213330_s_at	STIP1
200045_at	ABCF1
215719_x_at	FAS
204228_at	PPIH
210792_x_at	SIVA
217301_x_at	RBBP4
208795_s_at	MCM7
219322_s_at	WDR8
221658_s_at	IL21R
200917_s_at	SRPR
211021_s_at	RGS14
203046_s_at	TIMELESS
210362_x_at	PML
201897_s_at	CKS1B
201796_s_at	VARS
200957_s_at	SSRP1
205086_s_at	hCAP-H2
215905_s_at	WDR57
214219_x_at	MAP4K1
206296_x_at	MAP4K1
