Probe ID	Gene Symbol
201898_s_at	UBE2A
209565_at	RNF113A
218163_at	MCTS1
200657_at	SLC25A5
212414_s_at	SEP-T6 /// N-PAC
212413_s_at	SLC25A5
208695_s_at	RPL39
201899_s_at	UBE2A
210904_s_at	IL13RA1
202213_s_at	CUL4B
212415_at	SEP-T6
215997_s_at	CUL4B
219297_at	WDR44
201888_s_at	IL13RA1
210257_x_at	CUL4B
202298_at	NDUFA1
218757_s_at	UPF3B
211612_s_at	IL13RA1
205004_at	NKRF
201887_at	IL13RA1
214298_x_at	SEP-T6
219283_at	C1GALT1C1
202214_s_at	CUL4B
201120_s_at	PGRMC1
214631_at	ZBTB33
215794_x_at	GLUD2
210447_at	GLUD2
219805_at	FLJ22965
213666_at	SEP-T6
200821_at	LAMP2
201121_s_at	PGRMC1
203041_s_at	LAMP2
219895_at	FAM70A
203042_at	LAMP2
220009_at	LONRF3
