GenBank Acc.-No.	Symbol	Main distribution	Function	Direction
AA002086	CD1c	T-cells	Antigen presentation	up
N91385	CD20	B-cells	B-cell activation	up
AA634109	CD32 (FCGR2B)	B-cells, macrophages	Co-Inhibitor of BCR	up
AA676453	CD37	B-cells	Signal transduction	up
R49883	CD40	mature B-cells	Proliferation, differentiation	up
AA283090	CD44	Panleucocytes	Adhesion	up
AA132090	CD53	Panleucocytes	Signal transduction	up
R72079	CD79 B	B-cells	BCR signalling	up
AA111969	CD83	B-cells, T-cells	Adhesion	up
H16746	CD86	B-cells, monocytes	T-cell co-stimulation	up
AA057204	CD122	T-cells	Signal transduction	up
T63324	HLA-DQA1	B-cells, macrophages	Antigen presentation	up
T96621	HLA-DQB2	B-cells, macrophages	Antigen presentation	up
AA485739	HLA-DRB1	B-cells, macrophages	Antigen presentation	up
AA486532	HLA-DPB1	B-cells, macrophages	Antigen presentation	up
AA634028	HLA-DPA1	B-cells, macrophages	Antigen presentation	up
AA669055	HLA-DQB1	B-cells, macrophages	Antigen presentation	up
R76099	TLR3	dendritic cells	Response to microbial pathogens	down
