Probe Set	Exp. 1  Signal Log Ratio	Exp. 2  Signal Log Ratio	Description	Gene Symbol
1053_at	1.3	0.8	HUMA1SBU Human replication factor C, 40-kDa subunit (A1) mRNA, complete cds
200041_s_at	1.7	1	HLA-B associated transcript-1	D6S81E
200072_s_at	0.6	1.3	M4 protein deletion mutant	HNRPM
200602_at	-0.6	-1.2	amyloid beta (A4) precursor protein (proteasenexin-II, Alzheimer disease)	APP
200613_at	0.5	1.3	adaptor-related protein complex 2, mu 1 subunit	AP2M1
200638_s_at	0.3	2.2	tyrosine 3-monooxygenasetryptophan5-monooxygenase activation protein, zeta  polypeptide	YWHAZ
200644_at	-1.8	-1	macrophage myristoylated alanine-rich C kinasesubstrate	MACMARCKS
200692_s_at	1.3	2.7	heat shock 70kD protein 9B (mortalin-2)	HSPA9B
200728_at	0.7	2	ARP2 (actin-related protein 2, yeast) homolog	ACTR2
200750_s_at	0.9	3.5	Homo sapiens GTP binding protein mRNA, complete cds.	RAN
200751_s_at	0.9	1.7	heterogeneous nuclear ribonucleoprotein C (C1C2)	HNRPC
200760_s_at	0.9	1.2	vitamin A responsive; cytoskeleton related	JWA
200762_at	-1.9	-1.9	dihydropyrimidinase-like 2	DPYSL2
200806_s_at	1.8	1.7	heat shock 60kD protein 1 (chaperonin)	HSPD1
200814_at	0.4	1	proteasome (prosome, macropain) activatorsubunit 1 (PA28 alpha)	PSME1
200818_at	0.5	1.2	ATP synthase, H+ transporting, mitochondrial F1complex, O subunit (oligomycin sensitivity conferringprotein)	ATP5O
200848_at	0.9	1.2	S-adenosylhomocysteine hydrolase-like 1	AHCYL1
200853_at	0.8	1.3	H2A histone family, member Z	H2AFZ
200876_s_at	0.5	3.1	proteasome (prosome, macropain) subunit, betatype, 1	PSMB1
200878_at	1.2	0.5	endothelial PAS domain protein 1	EPAS1
200883_at	1.4	1	ubiquinol-cytochrome c reductase core protein II	UQCRC2
200900_s_at	2.8	1.4	mannose-6-phosphate receptor (cation dependent)	M6PR
200904_at	0.6	1.6	HLA-E	HLA-E
200920_s_at	0.6	3.5	B-cell translocation gene 1, anti-proliferative	BTG1
200978_at	0.8	1.8	malate dehydrogenase 1, NAD (soluble)	MDH1
200993_at	1	1.2	RAN binding protein 7	RANBP7
200996_at	0.5	1.8	ARP3 (actin-related protein 3, yeast) homolog	ACTR3
201001_s_at	1.2	0.2	ubiquitin-conjugating enzyme E2 variant 1	UBE2V1
201014_s_at	1.4	2	multifunctional polypeptide similar to SAICARsynthetase and AIR carboxylase	ADE2H1
201027_s_at	1.3	0.5	translation initiation factor IF2	IF2
201030_x_at	0.6	1	lactate dehydrogenase B	LDHB
201067_at	1	0.3	proteasome (prosome, macropain) 26S subunit, ATPase, 2	PSMC2
201068_s_at	1	1	proteasome (prosome, macropain) 26S subunit, ATPase, 2	PSMC2
201110_s_at	-2.3	-1.9	thrombospondin 1	THBS1
201112_s_at	1.1	2.1	chromosome segregation 1 (yeast homolog)-like	CSE1L
201117_s_at	-1.9	-1.3	carboxypeptidase E precursor	CPE
201144_s_at	1	0.8	eukaryotic translation initiation factor 2,subunit 1 (alpha, 35kD )	EIF2S1
201163_s_at	-2.2	-1.6	insulin-like growth factor binding protein 7	IGFBP7
201176_s_at	0.6	2.5	archain	ARCN1
201198_s_at	1.2	1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	PSMD1
201214_s_at	0.6	1.4	protein phosphatase 1, regulatory subunit 7	PPP1R7
201258_at	0.6	2.4	ribosomal protein S16	RPS16
201263_at	0.4	1	threonyl-tRNA synthetase	TARS
201291_s_at	4.5	2.1	topoisomerase (DNA) II alpha (170kD)	TOP2A
201292_at	2	2.1	topoisomerase (DNA) II alpha (170kD)	TOP2A
201322_at	0.3	1	ATP synthase, H+ transporting, mitochondrial F1complex, beta polypeptide	ATP5B
201325_s_at	0.4	2.1	epithelial membrane protein 1	EMP1
201358_s_at	-0.6	-1.2	coatomer protein complex, subunit beta	COPB
201416_at	-0.9	-1.2	SRY (sex determining region Y)-box 4	SOX4
201454_s_at	0.3	1.4	aminopeptidase puromycin sensitive	NPEPPS
201457_x_at	0.5	1.3	kinetochore protein BUB3	BUB3
201462_at	0.5	1.7	KIAA0193 gene product	KIAA0193
201477_s_at	1	0.3	ribonucleotide reductase M1 polypeptide	RRM1
201506_at	1.2	1.3	transforming growth factor, beta-induced, 68kD	TGFBI
201532_at	0.8	1.8	proteasome (prosome, macropain) subunit, alphatype, 3	PSMA3
201552_at	0.3	1.9	lysosomal-associated membrane protein 1	LAMP1
201577_at	1.2	1.2	non-metastatic cells 1 protein	NME1
201593_s_at	0.8	1.4	uncharacterized hypothalamus protein HT010	HT010
201606_s_at	1.3	0.7	nuclear phosphoprotein similar to S. cerevisiae PWP1	PWP1
201659_s_at	0.9	1.1	ADP-ribosylation factor-like 1	ARL1
201663_s_at	1.4	0.2	chromosome-associated polypeptide C	CAP-C
201694_s_at	-0.8	-1.3	early growth response 1	EGR1
201725_at	1.4	1.1	D123 gene product	D123
201779_s_at	0.8	1.2	RING zinc finger protein RZF	RNF13
201811_x_at	-1	-1.2	SH3-domain binding protein 5 (BTK-associated)	SH3BP5
201831_s_at	3.1	4.4	vesicle docking protein p115	P115
201859_at	-1.6	-1.1	proteoglycan 1, secretory granule	PRG1
201890_at	1.1	0.7	ribonucleotide reductase M2 polypeptide	RRM2
201897_s_at	1.1	1.6	CDC28 protein kinase 1	CKS1
201927_s_at	0.5	4.2	plakophilin 4	PKP4
201931_at	0.8	1.9	electron transfer flavoprotein, alphapolypeptide	ETFA
201946_s_at	1.2	2.6	chaperonin containing TCP1, subunit 2 (beta)	CCT2
201970_s_at	1.7	2.9	nuclear autoantigenic sperm protein(histone-binding)	NASP
201975_at	-0.7	-1	restin (Reed-Steinberg cell-expressedintermediate filament-associated protein)	RSN
202028_s_at	-0.6	-1.4	ribosomal protein L38	RPL38
202113_s_at	0.9	3.1	sorting nexin 2	SNX2
202149_at	-0.7	-1.2	enhancer of filamentation 1 (cas-like docking; Crk-associated substrate related)	HEF1
202157_s_at	-1	-1.2	RNA-binding protein BRUNOL3	BRUNOL3
202202_s_at	-0.9	-1.4	laminin, alpha 4 precursor	LAMA4
202206_at	0.5	1.6	ADP-ribosylation factor-like 7	ARL7
202209_at	1.1	0.8	Lsm3 protein	LSM3
202243_s_at	0.8	2.4	proteasome (prosome, macropain) subunit, betatype, 4	PSMB4
202300_at	0.5	1.9	hepatitis B virus x-interacting protein	XIP
202378_s_at	0.9	1.7	leptin receptor gene-related protein	HSOBRGRP
202403_s_at	-1.3	-2	collagen, type I, alpha 2	COL1A2
202436_s_at	-2.2	-1.2	cytochrome P450, subfamily I (dioxin-inducible), polypeptide 1 (glaucoma 3, primary infantile)	CYP1B1
202437_s_at	-3.5	-2.7	cytochrome P450, subfamily I (dioxin-inducible),polypeptide 1	CYP1B1
202487_s_at	1	0.7	purine-rich element binding protein B	PURB
202499_s_at	-0.8	-1	solute carrier family 2 (facilitated glucosetransporter), member 3	SLC2A3
202546_at	1	3.2	vesicle-associated membrane protein 8	VAMP8
202552_s_at	-0.8	-1.3	cysteine-rich motor neuron 1	CRIM1
202554_s_at	0.6	1.3	glutathione S-transferase M3 (brain)	GSTM3
202572_s_at	-1.1	-1.2	KIAA0964 protein	KIAA0964
202589_at	1	0.4	thymidylate synthetase	TYMS
202591_s_at	0.6	1.2	single-stranded DNA-binding protein	SSBP
202596_at	1	0.2	endosulfine alpha	ENSA
202686_s_at	-0.8	-1.6	AXL receptor tyrosine kinase isoform 1precursor	AXL
202687_s_at	0.6	1	Apo-2 ligand	TNFSF10
202688_at	0.4	2.7	TNFSF10	TNFSF10
202705_at	1.7	0.6	cyclin B2	CCNB2
202712_s_at	1	0.8	ubiquitous mitochondrial creatine kinaseprecursor	CKMT1
202729_s_at	-0.8	-1.1	latent transforming growth factor beta bindingprotein 1 precursor	LTBP1
202746_at	-1.2	-0.8	integral membrane protein 2A	ITM2A
202753_at	0.5	1	KIAA0107 gene product	KIAA0107
202852_s_at	0.4	1.4	hypothetical protein FLJ11506	FLJ11506
202899_s_at	0.9	1.7	splicing factor, arginineserine-rich 3	SFRS3
202908_at	-1.1	-1.2	Wolfram syndrome protein	WFS1
202936_s_at	-1.1	-0.9	transcription factor SOX9	SOX9
202941_at	1	0.1	NADH dehydrogenase (ubiquinone) flavoprotein 2(24kD)	NDUFV2
203039_s_at	1.1	0.3	NADH dehydrogenase (ubiquinone) Fe-S protein 1(75kD) (NADH-coenzyme Q reductase) NDUFS1	NA
203103_s_at	1.1	1.6	nuclear matrix protein NMP200 related tosplicing factor PRP19	NMP200
203105_s_at	1.4	0.5	dynamin 1-like protein, isoform 1	DNM1L
203126_at	0.8	1.1	inositol(myo)-1(or 4)-monophosphatase 2	IMPA2
203203_s_at	1.1	1.4	HIV-1 rev binding protein 2	HRB2
203213_at	1.7	1.5	cell division cycle 2, G1 to S and G2 to M	CDC2
203255_at	-0.3	-1.2	vitiligo-associated protein VIT-1	VIT1
203345_s_at	1.3	1.7	putative DNA binding protein	M96
203362_s_at	1	0.8	MAD2-like 1	MAD2L1
203428_s_at	0.8	1.2	CIA	DKFZP547E2110
203517_at	0.3	1	metaxin 2	MTX2
203554_x_at	1.1	1	pituitary tumor-transforming protein 1	PTTG1
203560_at	0.8	1.2	gamma-glutamyl hydrolase (conjugase,folylpolygammaglutamyl hydrolase) precursor	GGH
203603_s_at	-2.2	-1.6	zinc finger homeobox 1B	ZFHX1B
203637_s_at	-0.4	-1	midline 1	MID1
203697_at	-3.9	-3.2	Fritz	FRZB
203698_s_at	-2.8	-2.7	frizzled-related protein	FRZB
203706_s_at	-1.1	-1.5	frizzled 7	FZD7
203711_s_at	1.1	0.6	3-hydroxyisobutyryl-Coenzyme A hydrolase	HIBCH
203712_at	1.1	0.9	KIAA0020 gene product	KIAA0020
203755_at	1.6	0.5	budding uninhibited by benzimidazoles 1 (yeasthomolog), beta	BUB1B
203764_at	1.9	1.4	KIAA0008 gene product	KIAA0008
203798_s_at	1.2	0.9	visinin-like 1	VSNL1
203856_at	1	0.4	vaccinia related kinase 1	VRK1
203903_s_at	-1.2	-1.8	hephaestin	HEPH
203962_s_at	1	0.2	nebulette	NEBL
204026_s_at	1.1	0.9	ZW10 interactor	ZWINT
204135_at	-0.9	-1	downregulated in ovarian cancer 1	DOC1
204143_s_at	0.4	1.1	rTS beta protein	HSRTSBETA
204146_at	1.1	0.9	RAD51-interacting protein	PIR51
204154_at	-1.4	-1.1	cysteine dioxygenase, type I	CDO1
204162_at	2.9	1.9	highly expressed in cancer, rich in leucineheptad repeats	HEC
204170_s_at	1.1	0.7	CDC28 protein kinase 2	CKS2
204197_s_at	-1.6	-1.1	runt-related transcription factor 3	RUNX3
204237_at	-1.2	-1	CED-6 protein	CED-6
204271_s_at	-2	-1.3	endothelin receptor	ETs
204273_at	-2.8	-1.3	endothelin receptor type B, isoform 1	EDNRB
204279_at	1.4	0.4	proteasome (prosome, macropain) subunit, betatype, 9 (large multifunctional protease 2)	PSMB9
204285_s_at	0.7	1.3	phorbol-12-myristate-13-acetate-induced protein 1	PMAIP1
204362_at	0.8	1.1	SKAP55 homologue	SKAP-HOM
204364_s_at	0.8	2.3	hypothetical protein FLJ13110	FLJ13110
204400_at	-0.6	-1	signal transduction protein (SH3 containing)	EFS2
204409_s_at	0.5	1.1	Unknown (protein for MGC:12282)	EIF1AY
204444_at	1.2	0.9	kinesin-like 1	KNSL1
204451_at	-0.7	-1.3	frizzled 1	FZD1
204464_s_at	-1.1	-1.4	endothelin receptor type A	EDNRA
204508_s_at	0.7	2.2	hypothetical protein FLJ20151	FLJ20151
204529_s_at	-1.8	-2.2	KIAA0808 gene product	KIAA0808
204531_s_at	1	0.1	breast cancer 1, early onset	BRCA1
204602_at	-1.3	-1.9	dickkopf (Xenopus laevis) homolog 1	DKK1
204620_s_at	-2	-1.4	chondroitin sulfate proteoglycan 2 (versican)	CSPG2
204636_at	0.4	2.2	collagen, type XVII, alpha 1	COL17A1
204682_at	-0.9	-1	latent transforming growth factor beta bindingprotein 2	LTBP2
204712_at	-6.6	-3.8	Wnt inhibitory factor-1	WIF-1
204725_s_at	1	0.5	NCK adaptor protein 1	NCK1
204766_s_at	3.7	3.3	nudix (nucleoside diphosphate linked moietyX)-type motif 1	NUDT1
204772_s_at	1	0.3	transcription termination factor, RNA polymeraseI	TTF1
204777_s_at	-2	-1.2	T-cell differentiation protein MAL, isoform a	MAL
204793_at	-0.9	-1.5	KIAA0443 gene product	KIAA0443
204808_s_at	0.6	1.4	transmembrane protein 5	TMEM5
204822_at	1.1	1.1	TTK protein kinase	TTK
204825_at	2	0.2	KIAA0175 gene product	KIAA0175
204836_at	-2	-1.9	glycine dehydrogenase (decarboxylating; glycinedecarboxylase, glycine cleavage system protein P)	GLDC
204869_at	-1.6	-1.7	proprotein convertase subtilisinkexin type 2	PCSK2
204872_at	-0.7	-1	BCE-1 protein	BCE-1
204948_s_at	-1.1	-1.9	follistatin isoform FST344 precursor	FST
204962_s_at	1.5	1.7	centromere protein A	CENPA
205001_s_at	1.3	1.6	dead box, Y isoform	DBY
205053_at	0.9	1	primase, polypeptide 1 (49kD)	PRIM1
205064_at	-1.5	-1.3	small proline-rich protein 1B (cornifin)	SPRR1B
205066_s_at	-1.6	-2.1	ectonucleotide pyrophosphatasephosphodiesterase1	ENPP1
205170_at	-1.5	-1.4	signal transducer and activator of transcription2, 113kD	STAT2
205194_at	-0.9	-1.1	phosphoserine phosphatase	PSPH
205246_at	0.8	2.5	peroxisome biogenesis factor 13	PEX13
205328_at	-1.5	-0.7	claudin 10	CLDN10
205337_at	-2.5	-1.2	dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)	DCT
205345_at	1	2.5	BRCA1 associated RING domain 1	BARD1
205372_at	-0.6	-1.3	pleiomorphic adenoma gene 1	PLAG1
205383_s_at	-1.1	-1.5	zinc finger protein 288	ZNF288
205404_at	-2.1	-2.3	hydroxysteroid (11-beta) dehydrogenase 1	HSD11B1
205415_s_at	0.3	1.6	Machado-Joseph disease (spinocerebellar ataxia 3, olivopontocerebellar ataxia 3, autosomal dominant, ataxin 3)	MJD
205428_s_at	-0.6	-1	calbindin 2, full length protein isoform	CALB2
205434_s_at	-0.8	-1.6	KIAA1048 protein	KIAA1048
205440_s_at	1.2	0.6	neuropeptide Y receptor Y1	NPY1R
205443_at	0.7	1.2	small nuclear RNA activating complex,polypeptide 1, 43kD	SNAPC1
205480_s_at	0.7	1.6	UDP-glucose pyrophosphorylase 2	UGP2
205489_at	-1	-1.5	crystallin, mu	CRYM
205590_at	-1.3	-2.6	RAS guanyl releasing protein 1	RASGRP1
205659_at	-1.6	-2.5	histone deacetylase 7B	HDAC7B-PENDING
205694_at	-2.3	-1.5	tyrosinase-related protein 1	TYRP1
205711_x_at	0.5	2.3	ATP synthase, H+ transporting, mitochondrial F1complex, gamma polypeptide 1	ATP5C1
205752_s_at	-1	-1.2	glutathione S-transferase M5	GSTM5
205794_s_at	-1.8	-1.6	neuro-oncological ventral antigen 1, isoform 1	NOVA1
205848_at	-2.1	-2.6	growth arrest-specific 2	GAS2
205891_at	0.5	1.5	adenosine A2b receptor	ADORA2B
205909_at	1.4	0.6	polymerase (DNA directed), epsilon 2	POLE2
206002_at	-2.1	-2.3	G protein-coupled receptor 64	GPR64
206140_at	-5	-4.7	LIM homeobox protein 2	LHX2
206144_at	-1.1	-1	BAI1-associated protein 1	BAIAP1
206276_at	2	0.5	lymphocyte antigen 6 complex, locus D	E48
206302_s_at	-0.5	-1.1	nudix (nucleoside diphosphate linked moietyX)-type motif 4	NUDT4
206314_at	-0.8	-1.2	zinc finger protein	ZFP
206323_x_at	-1.2	-1.2	oligophrenin 1, Rho-GTPase acivating protein	OPHN1
206364_at	1.3	0.5	KIAA0042 gene product	KIAA0042
206377_at	-1.3	-1.2	forkhead box F2	FOXF2
206400_at	0.3	1.8	galectin 7	LGALS7
206404_at	-1	-1.7	fibroblast growth factor 9 (glia-activatingfactor)	FGF9
206421_s_at	1.8	4	serine (or cysteine) proteinase inhibitor, cladeB (ovalbumin), member 7	SERPINB7
206426_at	-1	-1.5	melan-A	MLANA
206465_at	-2.3	-3.5	very long-chain acyl-CoA synthetase; lipidosin	KIAA0631
206542_s_at	0.7	1	SWISNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	SMARCA2
206562_s_at	1.2	1.5	casein kinase 1, alpha 1	CSNK1A1
206642_at	0.7	1.4	desmoglein 1 preproprotein	DSG1
206734_at	-0.9	-1.1	jerky (mouse) homolog-like	JRKL
206766_at	-1.1	-1.4	integrin alpha 10 subunit	ITGA10
206953_s_at	-1	-1.6	latrophilin	KIAA0786
207016_s_at	-2.2	-2	RALDH2-T	RALDH2
207076_s_at	0.6	1.6	argininosuccinate synthetase	ASS
207165_at	2.1	1.6	hyaluronan-mediated motility receptor (RHAMM)	HMMR
207173_x_at	-1.8	-2.4	OB-cadherin-1	osf-4
207175_at	-1.9	-2.3	adipose most abundant gene transcript 1	APM1
207184_at	-1.1	-1.5	solute carrier family 6 (neurotransmittertransporter, GABA), member 13	SLC6A13
207291_at	1.1	0.8	transmembrane gamma-carboxyglutamic acid protein 4	TMG4
207345_at	-2	-2.3	follistatin isoform FST317 precursor	FST
207369_at	-1.4	-1.8	bombesin-like receptor 3	BRS3
207573_x_at	0.6	1	ATP synthase, H+ transporting, mitochondrialF1F0, subunit g	ATP5JG
207594_s_at	-1	-1.7	synaptojanin 1	SYNJ1
207981_s_at	-0.9	-2.4	estrogen-related receptor gamma	ESRRG
208029_s_at	0.3	1.4	putative integral membrane transporter	LC27
208079_s_at	2	0.3	serinethreonine kinase 6	STK6
208095_s_at	1.8	1.2	calciumcalmodulin-dependent protein kinase (CaMkinase) II gamma	CAMK2G
208216_at	-0.9	-1.2	distal-less homeobox 4	DLX4
208309_s_at	1	1.4	mucosa associated lymphoid tissue lymphomatranslocation gene 1	MALT1
208517_x_at	0.7	1.3	basic transcription factor 3	BTF3
208606_s_at	0.7	3.6	wingless-type MMTV integration site family,member 4	WNT4
208626_s_at	-0.7	-1.1	Similar to membrane protein of cholinergicsynaptic vesicles	VATI
208636_at	-0.7	-1.1	actinin, alpha 1	ACTN1
208650_s_at	-1.5	-1.1	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24
208662_s_at	1	1.4	tetratricopeptide repeat domain 3	TTC3
208670_s_at	0.8	1.4	PNAS-26	CRI1
208679_s_at	0.4	2.2	PNAS-139	ARPC2
208685_x_at	0.2	1	bromodomain-containing 2	BRD2
208689_s_at	0.5	1.9	ribophorin II	RPN2
208695_s_at	-0.5	-1.1	ribosomal protein L39	RPL39
208696_at	0.5	2.3	PNAS-102	CCT5
208734_x_at	0.8	2.6	GTP-binding protein	RAB2
208743_s_at	0.8	4.8	tyrosine 3-monooxygenasetryptophan5-monooxygenase activation protein, beta polypeptide	YWHAB
208761_s_at	0.3	2.5	SUMO-1	UBL1
208805_at	0.9	1	proteasome (prosome, macropain) subunit, alphatype 6	PSMA6
208835_s_at	1.1	0.9	cisplatin resistance-associated overexpressed protein	LUC7A
208851_s_at	-0.7	-1	hypothetical protein	DKFZp761B15121
208864_s_at	1	1	thioredoxin	TXN
208909_at	0.9	1	ubiquinol-cytochrome c reductase, Rieskeiron-sulfur polypeptide 1	UQCRFS1
208910_s_at	0.8	4.1	splicing factor	C1QBP
208940_at	0.5	1.2	SELENOPHOSPHATE SYNTHETASE ; Human selenium donor protein	SPS
208993_s_at	1.7	0.3	peptidyl-prolyl isomerase G (cyclophilin G)	PPIG
209009_at	0.6	1.1	Similar to esterase 10	ESD
209024_s_at	1.2	1	NS1-associated protein 1	NSAP1
209040_s_at	1.5	3.4	proteasome subunit LMP7	LMP7
209043_at	0.5	1.2	bifunctional ATP sulfurylaseadenosine5-phosphosulfate kinase	PAPSS1
209059_s_at	0.2	1.6	hMBF1alpha	EDF1
209104_s_at	0.7	1.5	likely homolog of yeast Nhp2, component of theHACA snoRNP; hypothetical protein FLJ20479	NOLA2
209118_s_at	-0.8	-1.1	alpha-tubulin	TUBA3
209140_x_at	1	2	major histocompatibility complex	HLA-B39
209161_at	0.9	2.4	PRP4STKWD splicing factor	HPRP4P
209168_at	-1.5	-1.3	glycoprotein M6B	GPM6B
209170_s_at	-2.5	-1.7	glycoprotein M6B	m6b1
209242_at	-0.9	-1.2	paternally expressed 3	PEG3
209288_s_at	-1.4	-0.9	hypothetical protein	DKFZp434A0530
209301_at	1.2	0.9	carbonic anhydrase II	CA2
209330_s_at	1.3	0.9	heterogeneous nuclear ribonucleoprotein D (hnRNPD)	HNRPD
209360_s_at	-2.3	-1.4	AML1b protein	AML1
209382_at	0.4	1.6	RNA polymerase III subunit	RPC62
209392_at	-2	-1.7	autotaxin	ENPP2
209393_s_at	0.9	2.6	cap-binding protein 4EHP	EIF4EL3
209409_at	-1.1	-1.8	growth factor receptor-bound protein 10	KIAA0207
209421_at	0.7	1.3	mutS (E. coli) homolog 2 (colon cancer, nonpolyposis type 1)	hMSH2
209435_s_at	-1.3	-1	Unknown (protein for MGC:3182)	NA
