Gene	Description
LFNG	O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
7-Sep	Septin 7
C19orf53	Chromosome 19 open reading frame 53
FRS3	Fibroblast growth factor receptor substrate 3
HNRPK	Heterogeneous nuclear ribonucleoprotein K
CDH4	Cadherin 4, type 1, R-cadherin (retinal)
LRP6	Low density lipoprotein receptor-related protein 6
APH1B	Anterior pharynx defective 1 homolog B (C. elegans)
RAB2B	RAB2B, member RAS oncogene family
ELOF1	Elongation factor 1 homolog (S. cerevisiae)
FAM124B	Family with sequence similarity 124B
GDPD3	Glycerophosphodiester phosphodiesterase domain containing 3
FAT	FAT tumor suppressor homolog 1 (Drosophila)
TSEN34	TRNA splicing endonuclease 34 homolog (S. cerevisiae)
SUPT3H	Suppressor of Ty 3 homolog (S. cerevisiae)
ANAPC11	APC11 anaphase promoting complex subunit 11 homolog (yeast)
HERC6	Hect domain and RLD 6
NFKB2	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)
RBPMS	RNA binding protein with multiple splicing
C1orf51	Chromosome 1 open reading frame 51
SEMA6C	Sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C
EFS	Embryonal Fyn-associated substrate
RPS6KB2	Ribosomal protein S6 kinase, 70kDa, polypeptide 2
CBLL1	Cas-Br-M (murine) ecotropic retroviral transforming sequence-like 1
PGBD5	PiggyBac transposable element derived 5
SPINK1	Serine peptidase inhibitor, Kazal type 1
KIAA0427	KIAA0427
CFLAR	CASP8 and FADD-like apoptosis regulator
FAM70A	Family with sequence similarity 70, member A
SPRR1B	Small proline-rich protein 1B (cornifin)
INTS7	Integrator complex subunit 7
ZMIZ2	Zinc finger, MIZ-type containing 2
	Hypothetical protein FLJ23584
DEFB119	Defensin, beta 119
YIF1A	Yip1 interacting factor homolog A (S. cerevisiae)
SLC29A2	Solute carrier family 29 (nucleoside transporters), member 2
CABIN1	Calcineurin binding protein 1
LBP	Lipopolysaccharide binding protein
C19orf56	Chromosome 19 open reading frame 56
OTUB2	OTU domain, ubiquitin aldehyde binding 2
KRT32	Keratin 32
SCO1	SCO cytochrome oxidase deficient homolog 1 (yeast)
RAB40B	RAB40B, member RAS oncogene family
ASXL2	Additional sex combs like 2 (Drosophila)
KCNG2	Potassium voltage-gated channel, subfamily G, member 2
PJA1	Praja 1
TXNL5	Thioredoxin-like 5
BTN2A3	Butyrophilin, subfamily 2, member A3
RAD9A	RAD9 homolog A (S. pombe)
ABCC10	ATP-binding cassette, sub-family C (CFTR/MRP), member 10
TUSC2	Tumor suppressor candidate 2
TCP10L	T-complex 10 (mouse)-like
RPP21	Ribonuclease P 21kDa subunit
CRYAA	Crystallin, alpha A
FKBP1A	FK506 binding protein 1A, 12kDa
LRRC8A	Leucine rich repeat containing 8 family, member A
ATP5G1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)
HPS6	Hermansky-Pudlak syndrome 6
CDC42EP4	CDC42 effector protein (Rho GTPase binding) 4
DDX54	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54
AP2S1	Adaptor-related protein complex 2, sigma 1 subunit
JARID2	Jumonji, AT rich interactive domain 2
RPS23	Ribosomal protein S23
MTCH2	Mitochondrial carrier homolog 2 (C. elegans)
CUTA	CutA divalent cation tolerance homolog (E. coli)
PNPLA5	Patatin-like phospholipase domain containing 5
5-Mar	Membrane-associated ring finger (C3HC4) 5
TRIM47	Tripartite motif-containing 47
HMCN1	Hemicentin 1
SLC12A7	Solute carrier family 12 (potassium/chloride transporters), member 7
BCL7C	B-cell CLL/lymphoma 7C
PLXNB1	Plexin B1
DLGAP3	Discs, large (Drosophila) homolog-associated protein 3
WDR67	WD repeat domain 67
CENTD3	Centaurin, delta 3
TUB	Tubby homolog (mouse)
IGF2AS	Insulin-like growth factor 2 antisense
SERF2	Small EDRK-rich factor 2
PITPNM1	Phosphatidylinositol transfer protein, membrane-associated 1
PPAN	Peter pan homolog (Drosophila)
FAM55D	Family with sequence similarity 55, member D
SNRPB	Small nuclear ribonucleoprotein polypeptides B and B1
NRIP2	Nuclear receptor interacting protein 2
IGSF9B	Immunoglobulin superfamily, member 9B
FNDC3B	Fibronectin type III domain containing 3B
GDF10	Growth differentiation factor 10
GSTO1	Glutathione S-transferase omega 1
YIPF3	Yip1 domain family, member 3
ATP11A	ATPase, Class VI, type 11A
POLR1E	Polymerase (RNA) I polypeptide E, 53kDa
PLEKHA5	Pleckstrin homology domain containing, family A member 5
GPR88	G protein-coupled receptor 88
PTCHD2	Patched domain containing 2
MTA1	Metastasis associated 1
