Probe Set	Gene Title	Symbol	Entrez	Location	Spearman	P-value	Pearson	P-Value	Spearman	P-value	Pearson	P-Value
202057_at	KPNA1	karyopherin alpha 1 (importin alpha 5)	3836	3q21	0.14783	0.4906	0.17953	0.4012	0.63217	0.0009	0.65256	0.0005
202490_at	IKBKAP	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein	8518	9q31	0.13217	0.5381	0.04669	0.8285	-0.08435	0.6952	-0.08877	0.68
202497_x_at	SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	6515	12p13.3	-0.02522	0.9069	-0.04734	0.8261	-0.15217	0.4778	-0.20681	0.3322
202616_s_at	MECP2	methyl CpG binding protein 2 (Rett syndrome)	4204	Xq28	-0.03652	0.8655	-0.05723	0.7905	0.25391	0.2312	0.25808	0.2234
203597_s_at	WBP4	WW domain binding protein 4 (formin binding protein 21)	11193	13q14.11	0.21304	0.3175	0.23722	0.2644	-0.14	0.5141	-0.12104	0.5732
203914_x_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	3248	4q34-q35	0.46522	0.022	0.46553	0.0219	0.54435	0.006	0.4324	0.0348
204284_at	PPP1R3C	protein phosphatase 1, regulatory (inhibitor) subunit 3C	5507	10q23-q24	0.08087	0.7072	0.10259	0.6334	0.28261	0.1809	0.20909	0.3268
204442_x_at	LTBP4	latent transforming growth factor beta binding protein 4	8425	19q13.1-q13.2	0.28696	0.174	0.21009	0.3245	0.3113	0.1387	0.17749	0.4067
204671_s_at	ANKRD6	ankyrin repeat domain 6	22881	6q14.2-q16.1	0.27217	0.1982	0.26411	0.2124	0.39826	0.0539	0.35301	0.0906
205051_s_at	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	3815	4q11-q12	0.35652	0.0873	0.37657	0.0697	0.46174	0.0231	0.47639	0.0186
205415_s_at	ATXN3	ataxin 3	4287	14q24.3-q32.2	0.15304	0.4753	0.16222	0.4489	-0.09913	0.6449	0.05179	0.8101
205528_s_at	RUNX1T1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	862	8q22	0.1	0.642	0.03633	0.8662	-0.15217	0.4778	-0.14553	0.4975
205941_s_at	COL10A1	collagen, type X, alpha 1(Schmid metaphyseal chondrodysplasia)	1300	6q21-q22	-0.52087	0.0091	-0.5406	0.0064	-0.56348	0.0041	-0.49553	0.0138
206134_at	ADAMDEC 1	ADAM-like, decysin 1	27299	8p21.2	0.16087	0.4527	0.10223	0.6346	0.47391	0.0193	0.46802	0.0211
206244_at	CR1	complement component (3b/4b) receptor 1 (Knops blood group)	1378	1q32	0.06435	0.7652	0.03632	0.8662	-0.07478	0.7284	-0.08185	0.7038
206281_at	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)	116	18p11	0.29217	0.1659	0.19019	0.3734	0.17304	0.4187	0.11044	0.6074
206569_at	IL24	interleukin 24	11009	1q32	0.02522	0.9069	-0.01202	0.9555	0.10609	0.6218	0.15091	0.4815
207158_at	APOBEC1	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1	339	12p13.1	0.14783	0.4906	0.07514	0.7271	-0.21304	0.3175	-0.22455	0.2915
207417_s_at	ZNF177	zinc finger protein 177	7730	19p13.2	0.07304	0.7345	0.07893	0.7139	-0.32522	0.121	-0.24113	0.2564
207859_s_at	CHRNB3	cholinergic receptor, nicotinic, beta 3	1142	8p11.2	0.31304	0.1364	0.29438	0.1626	-0.11565	0.5905	-0.06918	0.748
208289_s_at	EI24	etoposide induced 2.4 mRNA	9538	11q24	-0.01217	0.955	-0.09576	0.6563	-0.43652	0.033	-0.33809	0.1061
208835_s_at	CROP	cisplatin resistance-associated overexpressed protein	51747	17q21.33	0.18613	0.3839	0.26845	0.2047	0.12348	0.5654	0.06965	0.7464
208933_s_at	LGALS8	lectin, galactoside-binding, soluble, 8 (galectin 8)	3964	1q42-q43	0.25304	0.2329	0.29424	0.1628	0.3087	0.1422	0.33857	0.1056
208940_at	SEPHS1	selenophosphate synthetase 1	22929	10p14	0.42261	0.0397	0.46332	0.0226	0.40957	0.0469	0.39762	0.0543
209377_s_at	HMGN3	high mobility group nucleosomal binding domain 3	9324	6q14.1	0.07652	0.7223	0.05406	0.8019	0.12435	0.5626	0.02134	0.9212
209468_at	LRP5	low density lipoprotein receptor-related protein 5	4041	11q13.4	0.33826	0.1059	0.40174	0.0517	0.13565	0.5274	0.24094	0.2567
209815_at	PTCH1	patched homolog 1 (Drosophila)	5727	9q22.3	0.27913	0.1865	0.19252	0.3674	0.21478	0.3135	0.13773	0.521
210111_s_at	KIAA0265	KIAA0265 protein	23008	7q32.2	-0.23913	0.2604	-0.18822	0.3784	-0.43304	0.0345	-0.41606	0.0432
210312_s_at	IFT20	intraflagellar transport 20 homolog (Chlamydomonas)	90410	17q11.2	0.01826	0.9325	0.04135	0.8479	0.02696	0.9005	0.00136	0.995
210356_x_at	MS4A1	membrane-spanning 4-domains, subfamily A, member 1	931	11q12	0.18261	0.3931	0.24698	0.2446	0.16696	0.4355	0.27369	0.1956
210536_s_at	SPAM1	sperm adhesion molecule 1 (PH-20 hyaluronidase, zona pellucida binding)	6677	7q31.3	0.06783	0.7528	0.07195	0.7383	-0.03304	0.8782	0.16839	0.4316
210741_at	ARHGEF12	Rho guanine nucleotide exchange factor (GEF) 12	23365	11q23.3	0.4713	0.0201	0.416	0.0432	0.42696	0.0375	0.44923	0.0277
211548_s_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	3248	4q34-q35	0.50609	0.0116	0.47659	0.0185	0.56348	0.0041	0.50538	0.0118
211565_at	SH3GL3	SH3-domain GRB2-like 3	6457	15q24	-0.02783	0.8973	0.12337	0.5657	-0.14783	0.4906	-0.12177	0.5708
212179_at	SFRS18	splicing factor, arginine/serine-rich 18	25957	6q16.3	0.37304	0.0726	0.35379	0.0899	-0.23304	0.2731	-0.19586	0.359
212263_at	QKI	quaking homolog, KH domain RNA binding (mouse)	9444	6q26-q27	-0.04261	0.8433	0.01024	0.9621	-0.22174	0.2977	-0.15551	0.4681
212781_at	RBBP6	retinoblastoma binding protein 6	5930	16p12.2	0.23304	0.2731	0.14768	0.4911	0.28957	0.1699	0.36683	0.0779
212785_s_at	LARP7	La ribonucleoprotein domain family, member 7	51574	4q25	0.20696	0.3319	0.2451	0.2483	0.16783	0.4331	0.09997	0.6421
213156_at	---	Homo sapiens, clone IMAGE:4214654, mRNA		---	0.10087	0.6391	0.11406	0.5956	0.09826	0.6478	0.16841	0.4315
213265_at	PGA3 /// PGA4 /// PGA5	pepsinogen 5, group I (pepsinogen A) /// pepsinogen 3, group I (pepsinogen A) /// pepsinogen 4, group I (pepsinogen A)		11q12.2 /// 11q13	-0.12348	0.5654	-0.08094	0.7069	0.13304	0.5354	0.06921	0.748
213269_at	ZNF248	zinc finger protein 248	57209	---	0.12435	0.5626	0.03085	0.8862	0.4313	0.0354	0.49375	0.0142
213650_at	GOLGA8A /// GOLGA8B	golgi autoantigen, golgin subfamily a, 8A /// golgi autoantigen, golgin subfamily a, 8B		15q11.2 /// 15q14	-0.26696	0.2073	-0.26895	0.2038	0.07739	0.7193	0.0318	0.8827
213668_s_at	SOX4	SRY (sex determining region Y)-box 4	6659	6p22.3	-0.2113	0.3216	-0.31451	0.1344	-0.35478	0.0889	-0.3836	0.0643
213715_s_at	ANKRD47	ankyrin repeat domain 47	256949	19p13.2	0.02	0.9261	0.09224	0.6681	0.4087	0.0474	0.36349	0.0808
213878_at	LOC642732	similar to CG10721-PA	642732	11q22.3	0.04	0.8528	0.22411	0.2925	-0.01217	0.955	-0.11169	0.6034
213934_s_at	ZNF19 /// ZNF23	zinc finger protein 19 /// zinc finger protein 23 (KOX 16)		16q22	-0.13304	0.5354	-0.07588	0.7245	0.11826	0.5821	0.13329	0.5347
214381_at	LOC441601	septin 7 pseudogene	441601	11p11.12	0.23913	0.2604	-0.02292	0.9153	0.15391	0.4727	0.11553	0.5909
214823_at	ZNF204	zinc finger protein 204	7754	6p21.3	0.53739	0.0068	0.44594	0.029	0.19304	0.3661	0.17611	0.4104
214881_s_at	UBTF	upstream binding transcription factor, RNA polymerase I	7343	17q21.3	-0.18261	0.3931	-0.20396	0.3391	0.33043	0.1148	0.41439	0.0441
