Number	Symbol	Centroid IBC	Centroid nIBC
1	ABAT	-0.3458	0.1482
2	ACADSB	-0.0933	0.04
3	AFF3	-0.384	0.1646
4	AKR7A3	-0.0125	0.0054
5	ALDH6A1	-0.0061	0.0026
6	ANKRD30A	-0.535	0.2293
7	ANKRD57	-0.0307	0.0132
8	ANXA9	-0.0311	0.0133
9	AP1M2	-0.06825	0.02925
10	APBB2	-0.0363	0.0155
11	BBS1	-0.0538	0.0231
12	BCAR3	-0.0218	0.0093
13	BCL2	-0.0224	0.0096
14	BCMP11	-0.5338	0.2288
15	BHLHB2	-0.0112	0.0048
16	BSPRY	-0.088	0.0377
17	C1orf162	0.066	-0.0283
18	C1orf34	-0.2396	0.1027
19	C1orf74	-0.141	0.0604
20	C1QA	0.0105	-0.0045
21	C1QB	0.0221	-0.0095
22	C4A	-0.0869	0.0372
23	C4B	-0.143	0.0613
24	C5orf30	-0.2597	0.1113
25	C6orf211	-1.00E-04	0
26	CA12	-0.34428	0.14754
27	CAP2	-0.0294	0.0126
28	CCDC74B	-0.3414	0.1463
29	CCL5	0.04686667	-0.0201
30	CCND1	-0.0068	0.0029
31	CD163	0.14925	-0.06395
32	CD2	0.0241	-0.0103
33	CD48	2.00E-04	-1.00E-04
34	CD53	0.0242	-0.0104
35	CDS1	-3.00E-04	1.00E-04
36	CELSR1	-0.1056	0.0453
37	CELSR2	-0.1719	0.0737
38	CFLAR	0.0791	-0.0339
39	CIRBP	-0.0522	0.0224
40	CORO1A	0.0282	-0.0121
41	COTL1	0.0118	-0.0051
42	CPEB2	-0.0545	0.0233
43	CPVL	0.0347	-0.0149
44	CSAD	-0.0329	0.0141
45	CSTA	0.075	-0.0321
46	CTSC	0.11536667	-0.049466667
47	CTSF	-0.0137	0.0059
48	CTSS	0.08686667	-0.037266667
49	CXCL10	0.0294	-0.0126
50	CXCL9	0.068	-0.0292
51	CYB5R1	-0.0384	0.0164
52	CYBB	0.0071	-0.003
53	CYHR1	-0.0179	0.0077
54	CYP4X1	-0.2485	0.1065
55	DACH1	-0.0724	0.031
56	DBF4	0.0504	-0.0216
57	DNAJC12	-0.37695	0.16155
58	DNAJC16	-0.0502	0.0215
59	DNALI1	-0.4525	0.1939
60	EFHC1	-0.0133	0.0057
61	ELOVL2	-0.0244	0.0105
62	EML2	-0.026	0.0112
63	ENPP5	-0.4595	0.1969
64	EPSTI1	0.0574	-0.0246
65	ERBB3	-0.0110667	0.004733333
66	ESR1	-0.5147	0.2206
67	FAM110C	-0.2028	0.0869
68	FAM73A	-0.0307	0.0131
69	FBXL16	-0.1006	0.0431
70	FGD3	-0.0237	0.0102
71	FLJ20152	-0.296	0.1269
72	FLJ20366	-0.1042	0.0447
73	FLJ27352	-0.0972	0.0416
74	FLJ90013	-0.0133	0.0057
75	FLNB	-0.178	0.0763
76	FOXA1	-0.2145	0.09195
77	FPRL2	0.1236	-0.053
78	FSIP1	-0.008	0.0034
79	FYB	0.051	-0.0218
80	GAL3ST4	0.0455	-0.0195
81	GARNL1	-0.03525	0.0151
82	GATA3	-0.2636333	0.113
83	GIMAP4	0.0082	-0.0035
84	GLI3	-0.1155	0.0495
85	GREB1	-0.154	0.066
86	GSTM3	-0.1325	0.0568
87	HMGA1	0.0028	-0.0012
88	HOOK1	-0.1977	0.0847
89	IFT88	-0.0018	8.00E-04
90		0.0082	-0.0035
91	IGHA1	0.0653	-0.028
92	IGHM	0.0225	-0.00965
93		0.0795	-0.0341
94	IGLJ3	0.0285	-0.0122
95	IGLV1-44	0.0657	-0.02815
96	IL10RA	0.0349	-0.0149
97	IL6ST	-0.0071	0.003
98	IRF6	-0.0922	0.0395
99	IRS1	-0.0729	0.0312
100	IRX5	-0.0398	0.0171
101	ITPR1	-0.0286	0.0122
102	IVD	-0.033	0.0141
103	JMJD2B	-0.15355	0.0658
104	KARCA1	-0.1147	0.0491
105	KIAA0040	-0.0677	0.029
106	KIAA0319L	-0.1435	0.0615
107	KIAA1026	-0.0061	2.60E-03
108	KIAA1244	-0.0243	0.0104
109	KIAA1324	-0.2015	0.086366667
110	KIAA1522	-0.0748	0.0321
111	KLHL23	-0.0991	0.0425
112	LCP2	0.0324	-0.0139
113	LGALS9	0.08	-0.0343
114	LILRB1	0.0224	-0.0096
115	LOC124220	-0.1277	0.0547
116	LOC143381	-0.046	0.0197
117	LOC201895	-0.0543	0.0233
118	LOC202451	-0.0452	0.0194
119	LOC339745	-0.0062	0.0027
120	LOC646360	-0.4208	0.1804
121	LY96	0.0988	-0.0424
122	LYN	0.083	-0.0356
123	LZTFL1	-0.0151	0.0065
124	MAGED2	-0.0874	0.0375
125	MALAT1	-0.05335	0.02285
126	MAP7	-0.0291	0.01245
127	MAP9	-0.061	0.0262
128	MARVELD2	-0.051	0.0218
129	MAST4	-0.0254	0.0109
130	MCAM	0.1196	-0.0513
131	MKL2	-0.0083	0.0035
132	MLPH	-0.0857	0.0367
133	MS4A4A	0.1263	-0.05415
134	MS4A6A	0.07076667	-0.030333333
135	MSI2	-0.0073	0.0031
136	MUC1	-0.0177	0.0076
137	MYB	-0.3131	0.1342
138	MYLIP	-0.0141	0.0061
