Gene	C57Bl/6J p-value	C57Bl/6J W	DBA/2 p-valu	DBA/2 W	ICR p-value	ICR W	Group
Casp12	0,776	0,420	0,938	0,925	0,836	0,446	Control
Ccl6	0,887	0,614	0,978	0,925	0,921	0,740	Control
Ch3l3	0,844	0,545	0,978	0,925	0,971	0,884	Control
Col3a1	0,964	0,921	0,915	0,925	0,834	0,446	Control
Eln	0,984	0,954	0,864	0,891	0,864	0,446	Control
F2r	0,851	0,545	0,795	0,805	0,879	0,480	Control
Il6st	0,896	0,614	0,972	0,925	0,855	0,446	Control
Serpinf1	0,941	0,825	0,864	0,891	0,720	0,170	Control
Spi1-6	0,797	0,420	0,961	0,925	0,849	0,446	Control
Tgfb1	0,925	0,771	0,948	0,925	0,949	0,801	Control
Timp2	0,869	0,575	0,890	0,925	0,944	0,801	Control
Casp12	0,877	0,563	0,985	0,960	0,877	0,815	Smoke
Ccl6	0,856	0,563	0,919	0,960	0,994	0,991	Smoke
Ch3l3	0,888	0,563	0,922	0,960	0,971	0,991	Smoke
Col3a1	0,767	0,466	0,835	0,834	0,814	0,383	Smoke
Eln	0,993	0,990	0,961	0,960	0,712	0,141	Smoke
F2r	0,909	0,563	0,984	0,960	0,929	0,991	Smoke
Il6st	0,951	0,818	0,960	0,960	0,993	0,991	Smoke
Serpinf1	0,905	0,563	0,973	0,960	0,930	0,991	Smoke
Spi1-6	0,897	0,563	0,811	0,834	0,797	0,383	Smoke
Tgfb1	0,874	0,563	0,860	0,834	0,966	0,991	Smoke
Timp2	0,887	0,563	0,969	0,960	0,986	0,991	Smoke
