No.	microRNA	Ratio	Locus	Presence of Alu repeats in the upstream region of each miRNA
1	hsa-mir-512	136	19q13	yes
2	hsa-mir-517b	84	19q13	yes
3	hsa-mir-517a	79	19q13	yes
4	hsa-mir-526b	42	19q13	yes
5	hsa-mir-518b	55	19q13	yes
6	hsa-mir-515	45	19q13	yes
7	hsa-mir-512	50	19q13	yes
8	hsa-mir-516	50	19q13	yes
9	hsa-mir-520h	29	19q13	yes
10	hsa-mir-524	26	19q13	yes
11	hsa-mir-127	23	14q32	no
12	hsa-mir-520g	23	19q13	yes
13	hsa-mir-526a	22	19q13	yes
14	hsa-mir-520a	21	19q13	yes
15	hsa-mir-525	20	19q13	yes
