PROBE	Gene Symbol	GENE  - NAME	Expected score (dExp)	Observed score(d)	Numerator(r)	Denominator (s+s0)	Fold change	q-value (%)
36207_at	SEC14L1	SEC14L1 - SEC14-like 1 (S. cerevisiae)	-0.17615342	-2.6388438	-2.8451922	1.0781965	0.14347547	0
41114_at	MAST2	MAST2 - microtubule associated serine/threonine kinase 2	-0.10703023	-2.2825613	-2.5240967	1.1058177	0.18644445	0
41097_at	TERF2	TERF2 - telomeric repeat binding factor 2	-0.112102725	-2.155705	-2.8801103	1.336041	0.17849079	0
39092_at	H2AFV	H2AFV - H2A histone family, member V	-0.33142006	-2.1423736	-2.3763494	1.1092134	0.20496935	0
40151_s_at	PEX5	PEX5 - peroxisomal biogenesis factor 5	-0.12285456	-2.142096	-2.622745	1.2243825	0.18282227	0
41815_at	SYNE2	SYNE2 - spectrin repeat containing, nuclear envelope 2	-0.054650906	-2.138124	-2.4627116	1.1518096	0.19280013	0
38065_at	HMGB2	HMGB2 - high-mobility group box 2	0.1628589	-2.135227	-2.7427676	1.2845321	0.19374318	0
40009_at	AFF2	AFF2 - AF4/FMR2 family, member 2	-0.1610567	-2.0521107	-2.2286649	1.0860354	0.21367626	0
36003_at	PARN	PARN - poly(A)-specific ribonuclease (deadenylation nuclease)	0.005790962	-2.0336046	-2.5536034	1.255703	0.18233754	0
37333_at	DNMT1	DNMT1 - DNA (cytosine-5-)-methyltransferase 1	0.3453789	-2.03253	-2.327671	1.1452087	0.21286255	0
33145_at	FANCA	FANCA - Fanconi anemia, complementation group A	-0.2320257	-1.9884809	-2.3030484	1.1581949	0.22132371	0
40684_at	GCHFR	GCHFR - GTP cyclohydrolase I feedback regulator	-0.07080778	-1.9851098	-2.1867173	1.1015599	0.23501709	0
37173_at	CENPE	CENPE - centromere protein E, 312kDa	-0.61192465	-1.9850054	-2.378814	1.1983917	0.23094879	0
31848_at	CADPS	CADPS - Ca2+-dependent secretion activator	-0.4439566	-1.9700967	-2.2278078	1.1308113	0.21622272	0
40785_g_at	PPP2R5C	PPP2R5C - protein phosphatase 2, regulatory subunit B (B56), gamma isoform	-0.14044672	-1.9644349	-2.115343	1.0768201	0.22556472	0
39331_at	TUBB2A	TUBB2A - tubulin, beta 2A	0.42467445	-1.9512756	-2.1523757	1.1030608	0.2236177	0
41400_at	TK1	TK1 - thymidine kinase 1, soluble	-0.12917642	-1.9345212	-2.3977075	1.239432	0.23164888	0
1782_s_at	STMN1	STMN1 - stathmin 1/oncoprotein 18	0.15724583	-1.9240465	-1.9824083	1.0303328	0.26012838	0
296_at	---	--- - ---	0.2967208	-1.9240298	-2.2139297	1.1506733	0.23041789	0
297_g_at	---	--- - ---	-0.19766788	-1.9237312	-2.0487604	1.064993	0.2379625	0
40041_at	KNTC2	KNTC2 - kinetochore associated 2	-0.11818784	-1.910926	-2.1577907	1.1291859	0.24675484	0
348_at	KIFC1	KIFC1 - kinesin family member C1	-0.10270381	-1.8993679	-2.0368443	1.0723801	0.24467202	0
1584_at	CDC25C	CDC25C - cell division cycle 25C	0.1867655	-1.8772986	-2.2014503	1.1726693	0.2380926	0
40602_at	SPRED2	SPRED2 - sprouty-related, EVH1 domain containing 2	-0.26833212	-1.8742526	-2.0844681	1.1121597	0.23975524	0
356_at	KIF22	KIF22 - kinesin family member 22	-0.049527764	-1.8692139	-2.1668432	1.1592269	0.2559214	0
36863_at	HMMR	HMMR - hyaluronan-mediated motility receptor (RHAMM)	-0.19142373	-1.8650763	-2.122905	1.1382403	0.25116172	0
41853_at	PRPSAP2	PRPSAP2 - phosphoribosyl pyrophosphate synthetase-associated protein 2	-0.17995836	-1.8649251	-2.0085788	1.0770291	0.25314197	0
1030_s_at	TOP1	TOP1 - topoisomerase (DNA) I	0.23651342	-1.8646295	-2.1598074	1.1583039	0.24425723	0
35314_at	CNAP1	CNAP1 - chromosome condensation-related SMC-associated protein 1	0.05598315	-1.859864	-2.159867	1.1613038	0.25003976	0
34723_at	COX11	COX11 - COX11 homolog, cytochrome c oxidase assembly protein (yeast)	-0.3719664	-1.8595209	-1.9934342	1.0720149	0.2550363	0
40784_at	PPP2R5C	PPP2R5C - protein phosphatase 2, regulatory subunit B (B56), gamma isoform	-0.19996287	-1.8552063	-2.015705	1.0865127	0.24560034	0
40412_at	PTTG1	PTTG1 - pituitary tumor-transforming 1	0.32537678	-1.8550744	-2.1596131	1.1641653	0.25309184	0
1465_s_at	MYBL1	MYBL1 - v-myb myeloblastosis viral oncogene homolog (avian)-like 1	0.03039575	-1.848736	-2.0769074	1.1234202	0.25165203	0
40418_at	RBBP4	RBBP4 - retinoblastoma binding protein 4	-0.35127005	-1.8462265	-2.4940815	1.3509077	0.23552062	0
34563_at	KIF14	KIF14 - kinesin family member 14	0.47578514	-1.8456581	-2.0388749	1.1046872	0.26249197	0
38114_at	RAD21	RAD21 - RAD21 homolog (S. pombe)	0.007882987	-1.825532	-2.0643053	1.1307966	0.25551122	0
41149_at	LOC81691	LOC81691 - exonuclease NEF-sp	-0.21808705	-1.819892	-2.0070462	1.102838	0.2413897	0
33127_at	LOXL2	LOXL2 - lysyl oxidase-like 2	0.25897044	-1.8032519	-1.9556739	1.0845262	0.26260814	0
37672_at	USP7	USP7 - ubiquitin specific peptidase 7 (herpes virus-associated)	0.15091111	-1.7924714	-1.8164731	1.0133903	0.28212652	0
36053_at	CDKN2C	CDKN2C - cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	-0.050285682	-1.7749777	-2.0334206	1.1456034	0.26783535	0
39872_at	GTSE1	GTSE1 - G-2 and S-phase expressed 1	0.42685273	-1.7679257	-1.9132057	1.0821754	0.2802797	0
33753_at	DAAM1	DAAM1 - dishevelled associated activator of morphogenesis 1	-0.32647	-1.7503484	-1.9925258	1.1383595	0.27402493	0
35907_at	CCNF	CCNF - cyclin F	-0.247952	-1.7499255	-1.9922669	1.1384867	0.2637066	0
37293_at	CKAP5	CKAP5 - cytoskeleton associated protein 5	0.13061123	-1.7466284	-2.1052501	1.2053223	0.26566333	0
40145_at	TOP2A	TOP2A - topoisomerase (DNA) II alpha 170kDa	0.0788277	-1.743881	-2.0632665	1.1831464	0.2738088	0
1592_at	TOP2A	TOP2A - topoisomerase (DNA) II alpha 170kDa	-0.014723362	-1.7408473	-1.9785297	1.1365325	0.28042904	0
40726_at	KIF11	KIF11 - kinesin family member 11	-0.149913	-1.7387091	-2.2653608	1.3028982	0.2699347	0
41094_at	PIP	PIP - prolactin-induced protein	-0.17207997	-1.7377515	-2.0952685	1.2057354	0.25923327	0
35232_f_at	CETN3	CETN3 - centrin, EF-hand protein, 3 (CDC31 homolog, yeast)	0.045365628	-1.7336732	-2.2679853	1.3081965	0.25925824	0
33891_at	CLIC4	CLIC4 - chloride intracellular channel 4	0.10561232	-1.7312424	-1.9819168	1.1447945	0.27172515	0
38385_at	DSTN	DSTN - destrin (actin depolymerizing factor)	0.010388109	-1.7310526	-1.843127	1.0647435	0.2742255	0
37985_at	LMNB1	LMNB1 - lamin B1	-0.46548915	-1.7222811	-2.167179	1.258319	0.2812403	0
