Probe_Id	Gene_Symbol
202705_at	CCNB2
214160_at	CDK6
207143_at	CDK6
217190_x_at	ESR1
211235_s_at	ESR1
205225_at	ESR1
217163_at	ESR1
211234_x_at	ESR1
211627_x_at	ESR1
211233_x_at	ESR1
215552_s_at	ESR1
215551_at	ESR1
33323_r_at	SFN
33322_i_at	SFN
209260_at	SFN
215589_at	SMURF1
212666_at	SMURF1
215458_s_at	SMURF1
212668_at	SMURF1
201746_at	TP53
211300_s_at	TP53
206911_at	TRIM25
208852_s_at	CANX
208853_s_at	CANX
200068_s_at	CANX
207614_s_at	CUL1
203279_at	EDEM1
219305_x_at	FBXO2
214626_s_at	GANAB
211934_x_at	GANAB
210627_s_at	GCS1
218604_at	LEMD3
202032_s_at	MAN2A2
218117_at	RBX1
217946_s_at	SAE1
217716_s_at	SEC61A1
207974_s_at	SKP1A
200718_s_at	SKP1A
200719_at	SKP1A
211008_s_at	UBE2I
213536_s_at	UBE2I
213535_s_at	UBE2I
208760_at	UBE2I
218257_s_at	UGCGL1
205345_at	BARD1
211851_x_at	BRCA1
204531_s_at	BRCA1
215530_at	FANCA
203806_s_at	FANCA
203805_s_at	FANCA
213778_x_at	FANCA
205189_s_at	FANCC
220255_at	FANCE
218689_at	FANCF
203564_at	FANCG
210720_s_at	APBA2BP
209903_s_at	ATR
209902_at	ATR
205899_at	CCNA1
208711_s_at	CCND1
214019_at	CCND1
208712_at	CCND1
213523_at	CCNE1
210559_s_at	CDC2
203213_at	CDC2
203214_x_at	CDC2
204695_at	CDC25A
204696_s_at	CDC25A
211804_s_at	CDK2
204252_at	CDK2
211803_at	CDK2
202246_s_at	CDK4
202284_s_at	CDKN1A
209112_at	CDKN1B
211156_at	CDKN2A
209644_x_at	CDKN2A
207039_at	CDKN2A
207530_s_at	CDKN2B
202532_s_at	DHFR
48808_at	DHFR
202533_s_at	DHFR
202534_x_at	DHFR
219325_s_at	ELAC1
209945_s_at	GSK3B
205659_at	HDAC9
205675_at	MTTP
203132_at	RB1
211540_s_at	RB1
203625_x_at	SKP2
203626_s_at	SKP2
210567_s_at	SKP2
205397_x_at	SMAD3
205398_s_at	SMAD3
205396_at	SMAD3
212330_at	TFDP1
204147_s_at	TFDP1
203084_at	TGFB1
203085_s_at	TGFB1
214710_s_at	CCNB1
212540_at	CDC34
213586_at	CDKN2D
210240_s_at	CDKN2D
205394_at	CHEK1
205393_s_at	CHEK1
210416_s_at	CHEK2
202221_s_at	EP300
213579_s_at	EP300
203725_at	GADD45A
205386_s_at	MDM2
211832_s_at	MDM2
205385_at	MDM2
217373_x_at	MDM2
212406_s_at	MYT1
215822_x_at	MYT1
210341_at	MYT1
202240_at	PLK1
215757_at	PRKDC
210543_s_at	PRKDC
208694_at	PRKDC
210550_s_at	RASGRF1
215688_at	RASGRF1
203379_at	RPS6KA1
215711_s_at	WEE1
212533_at	WEE1
201020_at	YWHAH
212426_s_at	YWHAQ
200693_at	YWHAQ
213699_s_at	YWHAQ
