Probe ID	Symbol	GeneName	total.gpi	gpi.imp.	gpi.kclust.
M31166_at	PTX3	pentraxin-related gene, rapidly induced by IL-1 beta	0.4175	0.2278	0.1898
L09209_s_at	APLP2	amyloid beta (A4) precursor-like protein 2	0.302	0.0664	0.2355
X70297_at	CHRFAM7A	CHRNA7 (cholinergic receptor, nicotinic, alpha 7, exons 5-10) and FAM7A (family with sequence similarity 7A, exons A-E) fusion	0.2733	0.2244	0.0489
M77142_at	TIA1	TIA1 cytotoxic granule-associated RNA binding protein	0.1985	0.0402	0.1582
D88422_at	CSTA	cystatin A (stefin A)	0.1454	0.1359	0.0095
Y12670_at	LEPROT	leptin receptor overlapping transcript	0.1188	0.1126	0.0061
M31523_at	TCF3	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	0.0922	0.035	0.0573
M98399_s_at	CD36	CD36 molecule (thrombospondin receptor)	0.0749	0.0214	0.0535
U46499_at	MGST1	microsomal glutathione S-transferase 1	0.0612	0.0605	0.0007
M12959_s_at	TRA@, TRAC, TRAJ17, TRAV20	T cell receptor alpha locus, T cell receptor alpha constant, T cell receptor alpha joining 17, T cell receptor alpha variable 20	0.0604	0	0.0604
M92287_at	CCND3	cyclin D3	0.0437	0.0163	0.0273
U22376_cds2_s_at	MYB	v-myb myeloblastosis viral oncogene homolog (avian)	0.0418	0.0214	0.0205
X85116_rna1_s_at	STOM	stomatin	0.0406	0.0004	0.0402
M54995_at	PPBP	pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)	0.0303	0.02	0.0103
L05148_at	ZAP70	zeta-chain (TCR) associated protein kinase 70kDa	0.0125	0	0.0125
U02020_at	NAMPT	nicotinamide phosphoribosyltransferase	0.0065	0.0052	0.0013
U46751_at	SQSTM1	sequestosome 1	0.0064	0.0048	0.0016
D14874_at	ADM	adrenomedullin	0.0047	0.0011	0.0036
M63138_at	CTSD	cathepsin D	0.0041	0.0008	0.0033
M31303_rna1_at	STMN1	stathmin 1/oncoprotein 18	0.004	0.0004	0.0036
M80254_at	PPIF	peptidylprolyl isomerase F (cyclophilin F)	0.0036	0.0004	0.0032
L38608_at	ALCAM	activated leukocyte cell adhesion molecule	0.0036	0	0.0036
M11722_at	DNTT	deoxynucleotidyltransferase, terminal	0.0036	0	0.0036
M96326_rna1_at	AZU1	azurocidin 1	0.0036	0	0.0036
M62762_at	ATP6V0C	ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c	0.0032	0	0.0032
U09087_s_at	TMPO	thymopoietin	0.003	0	0.003
Y00339_s_at	CA2	carbonic anhydrase II	0.003	0	0.003
J05243_at	SPTAN1	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)	0.0022	0.0004	0.0018
M91432_at	ACADM	acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain	0.0022	0	0.0022
Z48501_s_at	PABPC1	poly(A) binding protein, cytoplasmic 1	0.0022	0	0.0022
X74262_at	RBBP4	retinoblastoma binding protein 4	0.0022	0.0004	0.0018
X62654_rna1_at	CD63	CD63 molecule	0.002	0.0012	0.0008
X59417_at	KIAA0391, LOC100130308, PSMA6	KIAA0391	0.0018	0.0004	0.0014
D49950_at	IL18	interleukin 18 (interferon-gamma-inducing factor)	0.0017	0.0004	0.0013
S82470_at	MBOAT7	membrane bound O-acyltransferase domain containing 7	0.0014	0	0.0014
M28209_at	RAB1A	RAB1A, member RAS oncogene family	0.0014	0	0.0014
D26308_at	BLVRB	biliverdin reductase B (flavin reductase (NADPH))	0.0013	0.0004	0.0009
J04615_at	SNRPN, SNURF	small nuclear ribonucleoprotein polypeptide N, SNRPN upstream reading frame	0.0009	0	0.0009
Y00787_s_at	IL8	interleukin 8	0.0009	0	0.0009
Z15115_at	TOP2B	topoisomerase (DNA) II beta 180kDa	0.0009	0	0.0009
M30703_s_at	AREG, AREGB	amphiregulin, amphiregulin B	0.0007	0	0.0007
Z69881_at	ATP2A3	ATPase, Ca++ transporting, ubiquitous	0.0006	0	0.0006
L28821_at	MAN2A2	mannosidase, alpha, class 2A, member 2	0.0006	0	0.0006
X04085_rna1_at	CAT	catalase	0.0006	0	0.0006
X17042_at	SRGN	serglycin	0.0004	0	0.0004
X62320_at	GRN	granulin	0.0003	0	0.0003
