Affymetrix	Entrezgenename	Symbol	CvCSE	CvDex	CvCSEandDex
219500_at	Cardiotrophin-likecytokinefactor1	CLCF1	2.438	?2.966	0
1555167_s_at	Nicotinamidephosphoribosyltransferase	NAMPT	2.045	?2.303	0
219424_at	Epstein–Barrvirusinduced3	EBI3	0	2.71	0
241819_at	Tumornecrosisfactor(ligand)superfamily,member8	TNFSF8	0	2.522	0
210865_at	Fasligand(TNFsuperfamily,member6)	FASLG	0	0	?2.024
210607_at	fms-relatedtyrosinekinase3ligand	FLT3LG	0	0	?3.361
205266_at	Leukemiainhibitoryfactor(cholinergicdifferentiationfactor)	LIF	0	0	?2.704
206366_x_at	Chemokine(Cmotif)ligand1	XCL1	0	?2.357	?3.528
207339_s_at	Lymphotoxinbeta(TNFsuperfamily,member3)	LTB	0	?2.564	?2.618
214567_s_at	Chemokine(Cmotif)ligand2	XCL2	0	?2.576	?3.893
210229_s_at	Colonystimulatingfactor2(granulocyte-macrophage)	CSF2	0	?2.742	?3.373
205114_s_at	Chemokine(C–Cmotif)ligand3	CCL3	0	?2.941	?3.716
207907_at	Tumornecrosisfactor(ligand)superfamily,member14	TNFSF14	0	?3.291	0
221085_at	Tumornecrosisfactor(ligand)superfamily,member15	TNFSF15	0	?3.347	?4.303
207533_at	Chemokine(C–Cmotif)ligand1	CCL1	0	?3.358	?3.250
208075_s_at	Chemokine(C–Cmotif)ligand7	CCL7	0	?3.790	?3.623
211839_s_at	Colonystimulatingfactor1(macrophage)	CSF1	0	?5.003	?4.649
207850_at	Chemokine(C–X–Cmotif)ligand3	CXCL3	0	?5.591	?4.807
216243_s_at	Interleukin1receptorantagonist	IL1RN	0	?5.919	?4.408
209774_x_at	Chemokine(C–X–Cmotif)ligand2	CXCL2	0	?6.745	?7.040
207113_s_at	Tumornecrosisfactor(TNFsuperfamily,member2)	TNF	0	?6.851	?8.731
211506_s_at	Interleukin8	IL8	0	?10.375	?7.764
216598_s_at	Chemokine(C–Cmotif)ligand2	CCL2	0	?11.477	?9.806
201149_s_at	TIMPmetallopeptidaseinhibitor3	TIMP3	0	?2.585	?2.076
201150_s_at	TIMPmetallopeptidaseinhibitor3	TIMP3	0	?2.470	?2.780
201147_s_at	TIMPmetallopeptidaseinhibitor3	TIMP3	0	0	?2.127
204575_s_at	Matrixmetallopeptidase19	MMP19	0	0	?2.601
202827_s_at	Matrixmetallopeptidase14	MMP14	0	?2.23	2.022
217279_x_at	Matrixmetallopeptidase14	MMP14	0	?2.01	0
207433_at	Interleukin10	IL10	?2.091	0	0
205611_at	Tumornecrosisfactor(ligand)superfamily,member12	TNFSF12	?2.105	0	0
210390_s_at	Chemokine(C–Cmotif)ligand14	CCL14	?2.527	?2.146	?3.406
204103_at	Chemokine(C–Cmotif)ligand4	CCL4	?2.643	?2.830	?4.409
204470_at	Chemokine(C–X–Cmotif)ligand1(melanomagrowthstimulatingactivity,alpha)	CXCL1	?2.836	?3.543	?6.569
205207_at	Interleukin6(interferon,beta2)	IL6	?3.209	?3.540	?4.469
205067_at	Interleukin1,beta	IL1B	?3.369	?5.987	?6.971
202687_s_at	Tumornecrosisfactor(ligand)superfamily,member10	TNFSF10	?3.676	?3.166	?4.874
214038_at	Chemokine(C–Cmotif)ligand8	CCL8	?4.354	?11.799	?11.918
204533_at	Chemokine(C–X–Cmotif)ligand10	CXCL10	?5.181	?4.619	?6.683
205476_at	Chemokine(C–Cmotif)ligand20	CCL20	?9.658	0	?15.774
