P value	Gene symbol	Descriptor
0.0033	TRIM33	Tripartite motif-containing 33
0.0003	RAB5C	RAB5C, member RAS oncogene family
0.0086	PRIM2	primase, polypeptide 2A, 58 kDa
0.0071	RAB21	RAB21, member RAS oncogene family
0.0029	SSTK	Serine/threonine protein kinase SSTK
0.0001	ST6GAL1	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1
0.0052	IRF4	Interferon regulatory factor 4
0.0067	LRBA	LPS-responsive vesicle trafficking, beach and anchor containing
0.0036	IL13RA1	Interleukin 13 receptor, alpha 1
0.0033	ESR1	Estrogen receptor 1
0.0017	MFAP2	Microfibrillar-associated protein 2
0.0031	STAT1	Signal transducer and activator of transcription 1, 91 kDa
0.0013	PPFIA1	Protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1
0.0061	MYO1C	Myosin IC
0.0082	PPFIA4	Protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4
0.006	RAB31	RAB31, member RAS oncogene family
0.0026	INPP4B	Inositol polyphosphate-4-phosphatase, type II, 105 kDa
