Gene ID	Chi Squared Score	Chi Squared Rank	Gain ratio Score	Gain ratio Rank	Symmetrical uncertainty Score	Symmetrical uncertainty Rank	Relief Score	Relief Rank
EDNRB	27.000	1	1.000	1	0.975	1	0.132	35
PPAPDC3	27.000	1	1.000	1	0.975	1	0.329	4
SCRN2	23.203	2	0.805	2	0.791	2	0.207	19
ATP2B4	23.203	2	0.806	2	0.791	2	0.239	13
TGFB1I1	23.203	2	0.807	2	0.791	2	0.201	20
SULF1	23.203	2	0.694	4	0.791	2	0.081	59
WDR32	23.203	2	0.805	2	0.791	2	0.179	24
FMO5	23.203	2	0.805	2	0.791	2	0.182	22
MUM1L1	23.102	3	0.802	3	0.772	3	0.265	9
CLEC3B	23.102	3	0.802	3	0.772	3	0.161	27
