Gene Symbol	Expression
POSTN	Up-Regulated
SPP1	Up-Regulated
BMP2	Up-Regulated
BMPR2	Up-Regulated
POSTN	Up-Regulated
BMP6	No expression
BST1	Up-Regulated
SPP1	Up-Regulated
PRG2	Up-Regulated
BMP8B	Up-Regulated
BMP7	Up-Regulated
BMPR2	Up-Regulated
BMP1	Up-Regulated
BMP1	Up-Regulated
OTP	Up-Regulated
BMP1	Up-Regulated
BMP1	Up-Regulated
BMP10	Up-Regulated
BMP15	Up-Regulated
BMPR1B	Up-Regulated
BMP7	Up-Regulated
BMPR2	Up-Regulated
BMP6	Up-Regulated
BMP6	Up-Regulated
BMP1	Up-Regulated
BMP7	Up-Regulated
BMP8A	Up-Regulated
ALPL	Up-Regulated
BMP8A	Up-Regulated
BMP8B	Up-Regulated
ALPL	Up-Regulated
BMP8A	Up-Regulated
BMP8B	Up-Regulated
IBSP	Up-Regulated
BMP3	Up-Regulated
BMP1	Up-Regulated
MEPE	Up-Regulated
IBSP	Up-Regulated
UBL7	No expression
BMPR2	Up-Regulated
BMP2	No expression
BGLAP	No expression
BMP8B	Up-Regulated
OTP	Up-Regulated
BMPR1A	Down-Regulated
BMP4	Down-Regulated
BMPR2	No expression
BMP7	Down-Regulated
BMPR1A	Down-Regulated
BST2	Down-Regulated
BMP5	Down-Regulated
BMP5	Down-Regulated
