Probe Set ID	Gene Symbol	scp51/scp58Fold Change	sw480/scp58Fold Change	Gene Title
230560_at	STXBP6	21.37268836	12.9280637	syntaxin binding protein 6 (amisyn)
220994_s_at	STXBP6	8.689967804	4.621379803	syntaxin binding protein 6 (amisyn)
203234_at	UPP1	6.339958014	5.106050916	uridine phosphorylase 1
201669_s_at	MARCKS	6.010137138	5.084353647	myristoylated alanine-rich protein kinase C substrate
201670_s_at	MARCKS	4.572413335	3.78186402	myristoylated alanine-rich protein kinase C substrate
213002_at	MARCKS	4.532943834	3.154074923	myristoylated alanine-rich protein kinase C substrate
214321_at	NOV	4.319242002	3.250309581	nephroblastoma overexpressed gene
218671_s_at	ATPIF1	4.202519244	4.799907711	ATPase inhibitory factor 1
238029_s_at	SLC16A14	4.030202599	5.279010402	solute carrier family 16, member 14 (monocarboxylic acid transporter 14)
209301_at	CA2	3.859045655	3.669075122	carbonic anhydrase II
220318_at	EPN3	3.679409662	4.0102204	epsin 3
218692_at	GOLSYN	3.663820199	3.837816176	Golgi-localized protein
206542_s_at	SMARCA2	3.373065546	5.273667676	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
209824_s_at	ARNTL	3.301525957	3.235993359	aryl hydrocarbon receptor nuclear translocator-like
202484_s_at	MBD2	3.106021658	3.219719364	methyl-CpG binding domain protein 2
225820_at	PHF17	3.05624537	3.40422126	PHD finger protein 17
225681_at	CTHRC1	3.039161605	2.281998858	collagen triple helix repeat containing 1
226068_at	SYK	3.032098338	2.097628831	spleen tyrosine kinase
226066_at	MITF	3.00734835	2.78923014	microphthalmia-associated transcription factor
226463_at	ATP6V1C1	2.941948084	3.541645257	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1
201668_x_at	MARCKS	2.846911785	2.280371805	myristoylated alanine-rich protein kinase C substrate
225897_at	MARCKS	2.830464222	2.163069599	myristoylated alanine-rich protein kinase C substrate
202626_s_at	LYN	2.535398549	3.072062403	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
219388_at	GRHL2	2.444860601	2.206885725	grainyhead-like 2 (Drosophila)
226123_at	CHD7	2.405233165	1.747363092	chromodomain helicase DNA binding protein 7
214721_x_at	CDC42EP4	2.353230868	2.682788926	CDC42 effector protein (Rho GTPase binding) 4
213568_at	OSR2	2.28881145	2.323170355	odd-skipped related 2 (Drosophila)
208734_x_at	RAB2A	2.253204329	2.403145718	RAB2A, member RAS oncogene family
203560_at	GGH	2.180418139	2.214532995	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)
202625_at	LYN	2.173494738	2.310488025	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
219215_s_at	SLC39A4	2.153474711	2.899461971	solute carrier family 39 (zinc transporter), member 4
206571_s_at	MAP4K4	2.150650586	2.476262854	mitogen-activated protein kinase kinase kinase kinase 4
202723_s_at	FOXO1	2.149243209	2.090416654	forkhead box O1
223013_at	TBL1XR1	2.087244223	2.377402636	transducin (beta)-like 1 X-linked receptor 1
223110_at	KIAA1429	2.066271651	2.614020202	KIAA1429
226420_at	EVI1	2.057592946	3.046251403	ecotropic viral integration site 1
208731_at	RAB2A	2.023192279	2.302675536	RAB2A, member RAS oncogene family
222668_at	KCTD15	2.002979427	1.803017344	potassium channel tetramerisation domain containing 15
219412_at	RAB38	1.989601263	1.878340706	RAB38, member RAS oncogene family
217707_x_at	SMARCA2	1.978741013	3.33429053	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
238005_s_at	SIN3A	1.955199105	2.431396985	SIN3 homolog A, transcription regulator (yeast)
226857_at	ARHGEF19	1.92484551	1.927419247	Rho guanine nucleotide exchange factor (GEF) 19
228284_at	TLE1	1.912819321	2.552737463	transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)
209454_s_at	TEAD3	1.87223867	2.089532462	TEA domain family member 3
204254_s_at	VDR	1.844091826	2.206746564	vitamin D (1,25- dihydroxyvitamin D3) receptor
209066_x_at	UQCRB	1.827271785	1.977471247	ubiquinol-cytochrome c reductase binding protein
214061_at	WDR67	1.813993847	2.101294931	WD repeat domain 67
200958_s_at	SDCBP	1.798430763	2.027483566	syndecan binding protein (syntenin)
209868_s_at	RBMS1	1.783123687	1.763148684	RNA binding motif, single stranded interacting protein 1
226817_at	DSC2	1.782690187	2.106127136	desmocollin 2
214239_x_at	PCGF2	1.697859113	1.898155809	polycomb group ring finger 2
205761_s_at	DUS4L	1.628430289	1.709990089	dihydrouridine synthase 4-like (S. cerevisiae)
229396_at	OVOL1	1.572739839	1.695999248	ovo-like 1(Drosophila)
222763_s_at	WDR33	0.575521451	0.467263747	WD repeat domain 33
205932_s_at	MSX1	0.5633891	0.386654599	msh homeobox 1
203300_x_at	AP1S2	0.557342104	0.421976389	adaptor-related protein complex 1, sigma 2 subunit
213428_s_at	COL6A1	0.553015254	0.551696037	collagen, type VI, alpha 1
210377_at	ACSM3	0.550777125	0.536317056	acyl-CoA synthetase medium-chain family member 3
210150_s_at	LAMA5	0.530482021	0.497431427	laminin, alpha 5
212912_at	RPS6KA2	0.529632671	0.564818078	ribosomal protein S6 kinase, 90kDa, polypeptide 2
208650_s_at	CD24	0.526919438	0.436965196	CD24 molecule
204602_at	DKK1	0.523588427	0.408146187	dickkopf homolog 1 (Xenopus laevis)
218276_s_at	SAV1	0.493878509	0.553805437	salvador homolog 1 (Drosophila)
203710_at	ITPR1	0.491702354	0.440539532	inositol 1,4,5-triphosphate receptor, type 1
203624_at	SFRS17A	0.487950548	0.4679163	splicing factor, arginine/serine-rich 17A
225548_at	SHROOM3	0.468653546	0.441004131	shroom family member 3
266_s_at	CD24	0.458399414	0.446387192	CD24 molecule
210269_s_at	SFRS17A	0.453410405	0.399892689	splicing factor, arginine/serine-rich 17A
204702_s_at	NFE2L3	0.43473322	0.367238285	nuclear factor (erythroid-derived 2)-like 3
204061_at	PRKX	0.426481859	0.309238654	protein kinase, X-linked
